id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
570154000001,"City of Alma, Precinct 1",157,112,26,3
570154000002,"City of Alma, Precinct 2",121,156,28,3
570154000003,"City of Alma, Precinct 3",96,122,47,2
574134000001,"City of Ithaca, Precinct 1",160,121,29,1
577100000001,"City of St. Louis, Precinct 1",103,158,41,1
570326000001,"Arcada Township, Precinct 1",76,45,31,1
570802000001,"Bethany Township, Precinct 1",32,36,3,0
572512000001,"Elba Township, Precinct 1",26,53,16,1
572588000001,"Emerson Township, Precinct 1",22,26,21,0
573108000001,"Fulton Township, Precinct 1",89,122,27,2
573616000001,"Hamilton Township, Precinct 1",17,20,5,0
574408000001,"Lafayette Township, Precinct 1",11,13,9,0
575736000001,"New Haven Township, Precinct 1",25,37,4,0
575704000001,"Newark Township, Precinct 1",35,32,7,0
575880000001,"North Shade Township, Precinct 1",12,11,5,0
575888000001,"North Star Township, Precinct 1",35,28,8,0
576436000001,"Pine River Township, Precinct 1",84,100,28,0
577258000001,"Seville Township, Precinct 1",78,79,17,1
577730000001,"Sumner Township, Precinct 1",52,50,23,1
578408000001,"Washington Township, Precinct 1",37,23,4,2
578662000001,"Wheeler Township, Precinct 1",81,86,35,1
