id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
,"City of Hillsdale, Ward I, Precinct 1",6,,,0,5,1
,"City of Hillsdale, Ward II, Precinct 1",4,,,0,4,0
,"City of Hillsdale, Ward III, Precinct 1",8,,,0,8,0
,"City of Hillsdale, Ward IV, Precinct 1",9,,,0,8,1
594192000001,"City of Jonesville, Precinct 1",10,,,0,10,0
594798000001,"City of Litchfield, Precinct 1",4,,,0,3,1
596750000001,"City of Reading, Precinct 1",4,,,0,4,0
590030000001,"Adams Township, Precinct 1",9,,,0,8,1
590132000001,"Allen Township, Precinct 1",8,,,0,8,0
590202000001,"Amboy Township, Precinct 1",1,,,0,1,0
591270000001,"Cambria Township, Precinct 1",8,,,0,6,2
591278000001,"Camden Township, Precinct 1",0,,,0,0,0
592758000001,"Fayette Township, Precinct 1",1,,,0,1,0
593848000001,"Hillsdale Township, Precinct 1",18,,,0,16,2
594162000001,"Jefferson Township, Precinct 1",6,,,0,6,0
594800000001,"Litchfield Township, Precinct 1",0,,,0,0,0
595564000001,"Moscow Township, Precinct 1",1,,,0,1,0
596462000001,"Pittsford Township, Precinct 1",4,,,0,3,1
596712000001,"Ransom Township, Precinct 1",1,,,0,0,1
596752000001,"Reading Township, Precinct 1",4,,,0,4,0
597198000001,"Scipio Township, Precinct 1",1,,,0,1,0
597456000001,"Somerset Township, Precinct 1",178,,,0,158,20
597456000002,"Somerset Township, Precinct 2",174,,,0,155,19
598654000001,"Wheatland Township, Precinct 1",5,,,0,5,0
598830000001,"Woodbridge Township, Precinct 1",2,,,0,1,1
598878000001,"Wright Township, Precinct 1",1,,,0,0,1
