id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
,"City of Hillsdale, Ward I, Precinct 1",49,,,0,42,7
,"City of Hillsdale, Ward II, Precinct 1",50,,,0,44,6
,"City of Hillsdale, Ward III, Precinct 1",112,,,0,105,7
,"City of Hillsdale, Ward IV, Precinct 1",126,,,0,111,15
594192000001,"City of Jonesville, Precinct 1",159,,,0,141,18
594798000001,"City of Litchfield, Precinct 1",79,,,0,71,8
596750000001,"City of Reading, Precinct 1",53,,,0,43,10
590030000001,"Adams Township, Precinct 1",127,,,0,114,13
590132000001,"Allen Township, Precinct 1",85,,,0,62,23
590202000001,"Amboy Township, Precinct 1",73,,,0,66,7
591270000001,"Cambria Township, Precinct 1",125,,,0,112,13
591278000001,"Camden Township, Precinct 1",78,,,0,57,21
592758000001,"Fayette Township, Precinct 1",75,,,0,66,9
593848000001,"Hillsdale Township, Precinct 1",139,,,0,120,19
594162000001,"Jefferson Township, Precinct 1",163,,,0,142,21
594800000001,"Litchfield Township, Precinct 1",45,,,0,41,4
595564000001,"Moscow Township, Precinct 1",95,,,0,81,14
596462000001,"Pittsford Township, Precinct 1",68,,,0,55,13
596712000001,"Ransom Township, Precinct 1",38,,,0,32,6
596752000001,"Reading Township, Precinct 1",143,,,0,126,17
597198000001,"Scipio Township, Precinct 1",93,,,0,80,13
597456000001,"Somerset Township, Precinct 1",49,,,0,38,11
597456000002,"Somerset Township, Precinct 2",76,,,0,63,13
598654000001,"Wheatland Township, Precinct 1",68,,,0,59,9
598830000001,"Woodbridge Township, Precinct 1",33,,,0,27,6
598878000001,"Wright Township, Precinct 1",75,,,0,58,17
