id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
,"City of Hillsdale, Ward I, Precinct 1",55,,,0,47,8
,"City of Hillsdale, Ward II, Precinct 1",54,,,0,48,6
,"City of Hillsdale, Ward III, Precinct 1",120,,,0,113,7
,"City of Hillsdale, Ward IV, Precinct 1",135,,,0,119,16
594192000001,"City of Jonesville, Precinct 1",169,,,0,151,18
594798000001,"City of Litchfield, Precinct 1",83,,,0,74,9
596750000001,"City of Reading, Precinct 1",57,,,0,47,10
590030000001,"Adams Township, Precinct 1",136,,,0,122,14
590132000001,"Allen Township, Precinct 1",93,,,0,70,23
590202000001,"Amboy Township, Precinct 1",74,,,0,67,7
591270000001,"Cambria Township, Precinct 1",133,,,0,118,15
591278000001,"Camden Township, Precinct 1",78,,,0,57,21
592758000001,"Fayette Township, Precinct 1",76,,,0,67,9
593848000001,"Hillsdale Township, Precinct 1",157,,,0,136,21
594162000001,"Jefferson Township, Precinct 1",169,,,0,148,21
594800000001,"Litchfield Township, Precinct 1",45,,,0,41,4
595564000001,"Moscow Township, Precinct 1",96,,,0,82,14
596462000001,"Pittsford Township, Precinct 1",72,,,0,58,14
596712000001,"Ransom Township, Precinct 1",39,,,0,32,7
596752000001,"Reading Township, Precinct 1",147,,,0,130,17
597198000001,"Scipio Township, Precinct 1",94,,,0,81,13
597456000001,"Somerset Township, Precinct 1",227,,,0,196,31
597456000002,"Somerset Township, Precinct 2",250,,,0,218,32
598654000001,"Wheatland Township, Precinct 1",73,,,0,64,9
598830000001,"Woodbridge Township, Precinct 1",35,,,0,28,7
598878000001,"Wright Township, Precinct 1",76,,,0,58,18
