id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
,"City of Hillsdale, Ward I, Precinct 1",125,,,0,73,40,9,3
,"City of Hillsdale, Ward II, Precinct 1",90,,,0,57,19,10,4
,"City of Hillsdale, Ward III, Precinct 1",227,,,0,121,74,24,8
,"City of Hillsdale, Ward IV, Precinct 1",191,,,0,119,44,22,6
594192000001,"City of Jonesville, Precinct 1",221,,,0,114,75,30,2
594798000001,"City of Litchfield, Precinct 1",170,,,0,91,55,20,4
596750000001,"City of Reading, Precinct 1",83,,,0,48,23,11,1
590030000001,"Adams Township, Precinct 1",336,,,0,163,107,56,10
590132000001,"Allen Township, Precinct 1",217,,,0,100,80,31,6
590202000001,"Amboy Township, Precinct 1",168,,,0,87,61,19,1
591270000001,"Cambria Township, Precinct 1",290,,,0,139,102,42,7
591278000001,"Camden Township, Precinct 1",175,,,0,88,58,24,5
592758000001,"Fayette Township, Precinct 1",162,,,0,76,57,27,2
593848000001,"Hillsdale Township, Precinct 1",340,,,0,163,121,49,7
594162000001,"Jefferson Township, Precinct 1",353,,,0,170,126,51,6
594800000001,"Litchfield Township, Precinct 1",143,,,0,56,62,20,5
595564000001,"Moscow Township, Precinct 1",166,,,0,89,46,30,1
596462000001,"Pittsford Township, Precinct 1",167,,,0,82,62,21,2
596712000001,"Ransom Township, Precinct 1",95,,,0,51,28,9,7
596752000001,"Reading Township, Precinct 1",232,,,0,121,70,39,2
597198000001,"Scipio Township, Precinct 1",197,,,0,119,55,22,1
597456000001,"Somerset Township, Precinct 1",122,,,0,81,32,7,2
597456000002,"Somerset Township, Precinct 2",137,,,0,83,37,16,1
598654000001,"Wheatland Township, Precinct 1",167,,,0,85,57,24,1
598830000001,"Woodbridge Township, Precinct 1",113,,,0,55,43,14,1
598878000001,"Wright Township, Precinct 1",196,,,0,114,55,22,5
