id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
,"City of Hillsdale, Ward I, Precinct 1",134,,,0,78,44,9,3
,"City of Hillsdale, Ward II, Precinct 1",94,,,0,61,19,10,4
,"City of Hillsdale, Ward III, Precinct 1",240,,,0,133,75,24,8
,"City of Hillsdale, Ward IV, Precinct 1",204,,,0,127,47,24,6
594192000001,"City of Jonesville, Precinct 1",226,,,0,118,76,30,2
594798000001,"City of Litchfield, Precinct 1",173,,,0,92,55,22,4
596750000001,"City of Reading, Precinct 1",87,,,0,49,26,11,1
590030000001,"Adams Township, Precinct 1",340,,,0,166,108,56,10
590132000001,"Allen Township, Precinct 1",225,,,0,102,86,31,6
590202000001,"Amboy Township, Precinct 1",168,,,0,87,61,19,1
591270000001,"Cambria Township, Precinct 1",303,,,0,150,104,42,7
591278000001,"Camden Township, Precinct 1",177,,,0,90,58,24,5
592758000001,"Fayette Township, Precinct 1",168,,,0,81,58,27,2
593848000001,"Hillsdale Township, Precinct 1",356,,,0,175,123,51,7
594162000001,"Jefferson Township, Precinct 1",370,,,0,177,133,54,6
594800000001,"Litchfield Township, Precinct 1",143,,,0,56,62,20,5
595564000001,"Moscow Township, Precinct 1",170,,,0,91,48,30,1
596462000001,"Pittsford Township, Precinct 1",174,,,0,87,64,21,2
596712000001,"Ransom Township, Precinct 1",95,,,0,51,28,9,7
596752000001,"Reading Township, Precinct 1",233,,,0,122,70,39,2
597198000001,"Scipio Township, Precinct 1",200,,,0,120,57,22,1
597456000001,"Somerset Township, Precinct 1",299,,,0,168,88,38,5
597456000002,"Somerset Township, Precinct 2",269,,,0,151,86,29,3
598654000001,"Wheatland Township, Precinct 1",172,,,0,89,57,25,1
598830000001,"Woodbridge Township, Precinct 1",115,,,0,56,44,14,1
598878000001,"Wright Township, Precinct 1",203,,,0,119,56,22,6
