id,name,total,over_votes,under_votes,Write-in,Christian Vukasovich
,"City of Hillsdale, Ward I, Precinct 1",41,,,0,41
,"City of Hillsdale, Ward II, Precinct 1",45,,,0,45
,"City of Hillsdale, Ward III, Precinct 1",95,,,0,95
,"City of Hillsdale, Ward IV, Precinct 1",107,,,0,107
594192000001,"City of Jonesville, Precinct 1",129,,,0,129
594798000001,"City of Litchfield, Precinct 1",63,,,0,63
596750000001,"City of Reading, Precinct 1",50,,,0,50
590030000001,"Adams Township, Precinct 1",112,,,0,112
590132000001,"Allen Township, Precinct 1",71,,,0,71
590202000001,"Amboy Township, Precinct 1",67,,,0,67
591270000001,"Cambria Township, Precinct 1",109,,,0,109
591278000001,"Camden Township, Precinct 1",63,,,0,63
592758000001,"Fayette Township, Precinct 1",60,,,0,60
593848000001,"Hillsdale Township, Precinct 1",120,,,0,120
594162000001,"Jefferson Township, Precinct 1",140,,,0,140
594800000001,"Litchfield Township, Precinct 1",38,,,0,38
595564000001,"Moscow Township, Precinct 1",87,,,0,87
596462000001,"Pittsford Township, Precinct 1",55,,,0,55
596712000001,"Ransom Township, Precinct 1",34,,,0,34
596752000001,"Reading Township, Precinct 1",119,,,0,119
597198000001,"Scipio Township, Precinct 1",79,,,0,79
597456000001,"Somerset Township, Precinct 1",41,,,0,41
597456000002,"Somerset Township, Precinct 2",60,,,0,60
598654000001,"Wheatland Township, Precinct 1",57,,,0,57
598830000001,"Woodbridge Township, Precinct 1",33,,,0,33
598878000001,"Wright Township, Precinct 1",69,,,0,69
