id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
,"City of Hillsdale, Ward I, Precinct 1",7,,,0,5,2,0
,"City of Hillsdale, Ward II, Precinct 1",4,,,0,4,0,0
,"City of Hillsdale, Ward III, Precinct 1",9,,,0,5,4,0
,"City of Hillsdale, Ward IV, Precinct 1",9,,,0,9,0,0
594192000001,"City of Jonesville, Precinct 1",9,,,0,7,2,0
594798000001,"City of Litchfield, Precinct 1",4,,,0,3,1,0
596750000001,"City of Reading, Precinct 1",4,,,0,4,0,0
590030000001,"Adams Township, Precinct 1",9,,,0,4,3,2
590132000001,"Allen Township, Precinct 1",8,,,0,4,4,0
590202000001,"Amboy Township, Precinct 1",1,,,0,1,0,0
591270000001,"Cambria Township, Precinct 1",8,,,0,6,2,0
591278000001,"Camden Township, Precinct 1",0,,,0,0,0,0
592758000001,"Fayette Township, Precinct 1",1,,,0,1,0,0
593848000001,"Hillsdale Township, Precinct 1",18,,,0,11,4,3
594162000001,"Jefferson Township, Precinct 1",6,,,0,4,2,0
594800000001,"Litchfield Township, Precinct 1",0,,,0,0,0,0
595564000001,"Moscow Township, Precinct 1",1,,,0,0,0,1
596462000001,"Pittsford Township, Precinct 1",3,,,0,3,0,0
596712000001,"Ransom Township, Precinct 1",1,,,0,1,0,0
596752000001,"Reading Township, Precinct 1",4,,,0,4,0,0
597198000001,"Scipio Township, Precinct 1",2,,,0,2,0,0
597456000001,"Somerset Township, Precinct 1",176,,,0,53,105,18
597456000002,"Somerset Township, Precinct 2",177,,,0,53,104,20
598654000001,"Wheatland Township, Precinct 1",5,,,0,2,3,0
598830000001,"Woodbridge Township, Precinct 1",3,,,0,3,0,0
598878000001,"Wright Township, Precinct 1",1,,,0,1,0,0
