id,name,board,Jocelyn Benson,Christopher Robert Swanson,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
613630000001,"City of Hancock, Ward 1, Precinct 1",,188,27,1,1015,316,0,0,215,31.13
613630000002,"City of Hancock, Ward 2, Precinct 2",,196,34,0,1245,365,0,0,230,29.32
613630000003,"City of Hancock, Ward 3, Precinct 3",,174,13,1,1109,332,0,0,187,29.94
613936000001,"City of Houghton, Precinct 1",,119,12,0,628,231,0,0,131,36.78
613936000002,"City of Houghton, Precinct 2",,475,61,4,2615,712,0,0,536,27.23
610032000001,"Adams Township, Precinct 1",,233,36,1,2057,467,0,0,269,22.7
611260000001,"Calumet Charter Township, Precinct 1",,229,34,0,1727,543,0,0,263,31.44
611260000002,"Calumet Charter Township, Precinct 2",,131,19,0,1388,358,0,0,150,25.79
611260000005,"Calumet Charter Township, Precinct 5",,76,9,1,531,150,0,0,85,28.25
611260000009,"Calumet Charter Township, Precinct 9",,195,30,0,1636,470,0,0,225,28.73
611492000001,"Chassell Charter Township, Precinct 1",,195,29,0,1723,542,0,0,224,31.46
612334000001,"Duncan Township, Precinct 1",,10,0,0,108,41,0,0,10,37.96
612334000002,"Duncan Township, Precinct 2",,11,0,0,86,35,0,0,11,40.7
612566000001,"Elm River Township, Precinct 1",,43,6,0,208,91,0,0,49,43.75
613030000001,"Franklin Township, Precinct 1",,91,11,0,849,212,0,0,102,24.97
613030000002,"Franklin Township, Precinct 2",,60,4,0,351,114,0,0,64,32.48
613632000001,"Hancock Township, Precinct 1",,70,6,0,463,139,0,0,76,30.02
614422000001,"Laird Township, Precinct 1",,36,11,1,437,156,0,0,47,35.7
616126000001,"Osceola Township, Precinct 1",,64,12,0,429,142,0,0,76,33.1
616126000002,"Osceola Township, Precinct 2",,74,16,0,788,200,0,0,90,25.38
616126000004,"Osceola Township, Precinct 4",,55,7,0,404,139,0,0,62,34.41
616554000002,"Portage Township, Precinct 2",,270,33,4,2023,574,0,0,303,28.37
616554000004,"Portage Township, Precinct 4",,68,20,0,687,206,0,0,88,29.99
616668000001,"Quincy Township, Precinct 1",,25,2,0,265,56,0,0,27,21.13
617184000001,"Schoolcraft Township, Precinct 1",,196,21,0,1713,448,0,0,217,26.15
617620000001,"Stanton Township, Precinct 1",,162,27,0,1263,338,0,0,189,26.76
617620000002,"Stanton Township, Precinct 2",,32,7,0,121,61,0,0,39,50.41
618012000001,"Torch Lake Township, Precinct 1",,113,14,0,1010,266,0,0,127,26.34
618012000002,"Torch Lake Township, Precinct 2",,117,10,2,728,318,0,0,127,43.68
