id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
650080000001,"Alaiedon Township, Precinct 1",63,24,0
650080000002,"Alaiedon Township, Precinct 2",73,27,0
650424000001,"Aurelius Township, Precinct 1",98,41,1
650424000002,"Aurelius Township, Precinct 2",55,25,0
651164000001,"Bunker Hill Township, Precinct 1",186,43,1
652142000001,"Delhi Charter Township, Precinct 1",226,56,3
652142000002,"Delhi Charter Township, Precinct 2",146,39,1
652142000003,"Delhi Charter Township, Precinct 3",204,62,0
652142000004,"Delhi Charter Township, Precinct 4",189,45,1
652142000005,"Delhi Charter Township, Precinct 5",205,65,1
652142000006,"Delhi Charter Township, Precinct 6",64,27,0
652142000007,"Delhi Charter Township, Precinct 7",73,35,1
652412000001,"City of East Lansing, Precinct 1",418,59,3
652412000002,"City of East Lansing, Precinct 2",332,86,2
652412000003,"City of East Lansing, Precinct 3",225,35,3
652412000004,"City of East Lansing, Precinct 4",173,29,1
652412000005,"City of East Lansing, Precinct 5",87,12,1
652412000006,"City of East Lansing, Precinct 6",240,41,2
652412000007,"City of East Lansing, Precinct 7",215,41,0
652412000009,"City of East Lansing, Precinct 9",75,25,2
652412000010,"City of East Lansing, Precinct 10",19,6,1
652412000011,"City of East Lansing, Precinct 11",32,10,1
652412000012,"City of East Lansing, Precinct 12",3,2,0
652412000013,"City of East Lansing, Precinct 13",14,4,0
654064000001,"Ingham Township, Precinct 1",251,73,0
654600001001,"City of Lansing, Ward 1, Precinct 1",153,50,0
654600001002,"City of Lansing, Ward 1, Precinct 2",113,34,0
654600001003,"City of Lansing, Ward 1, Precinct 3",326,79,2
654600001005,"City of Lansing, Ward 1, Precinct 5",298,63,4
654600001008,"City of Lansing, Ward 1, Precinct 8",301,78,8
654600001009,"City of Lansing, Ward 1, Precinct 9",112,28,0
654600001010,"City of Lansing, Ward 1, Precinct 10",147,35,0
654600002012,"City of Lansing, Ward 2, Precinct 12",203,72,2
654600002013,"City of Lansing, Ward 2, Precinct 13",141,31,4
654600002014,"City of Lansing, Ward 2, Precinct 14",116,34,0
654600002015,"City of Lansing, Ward 2, Precinct 15",263,61,1
654600002017,"City of Lansing, Ward 2, Precinct 17",136,28,0
654600002018,"City of Lansing, Ward 2, Precinct 18",141,36,2
654600002020,"City of Lansing, Ward 2, Precinct 20",111,30,2
654600003023,"City of Lansing, Ward 3, Precinct 23",221,57,1
654600003025,"City of Lansing, Ward 3, Precinct 25",156,37,4
654600003027,"City of Lansing, Ward 3, Precinct 27",159,36,0
654600003028,"City of Lansing, Ward 3, Precinct 28",125,36,0
654600003030,"City of Lansing, Ward 3, Precinct 30",137,34,0
654600004032,"City of Lansing, Ward 4, Precinct 32",288,81,0
654600004034,"City of Lansing, Ward 4, Precinct 34",244,69,1
654600004035,"City of Lansing, Ward 4, Precinct 35",352,70,0
654600004036,"City of Lansing, Ward 4, Precinct 36",258,62,4
654600004037,"City of Lansing, Ward 4, Precinct 37",123,41,2
654600004038,"City of Lansing, Ward 4, Precinct 38",131,45,2
654600004039,"City of Lansing, Ward 4, Precinct 39",298,85,3
654602000001,"Lansing Charter Township, Precinct 1",285,94,1
654602000002,"Lansing Charter Township, Precinct 2",241,57,1
654708000001,"Leroy Township, Precinct 1",99,37,0
654718000001,"City of Leslie, Precinct 1",192,24,0
654720000001,"Leslie Township, Precinct 1",238,58,3
654904000001,"Locke Township, Precinct 1",193,50,0
655218000001,"City of Mason, Precinct 1",165,58,2
655218000002,"City of Mason, Precinct 2",217,110,1
655314000001,"Meridian Charter Township, Precinct 1",282,67,1
655314000002,"Meridian Charter Township, Precinct 2",289,84,2
655314000003,"Meridian Charter Township, Precinct 3",141,53,4
655314000004,"Meridian Charter Township, Precinct 4",269,57,2
655314000005,"Meridian Charter Township, Precinct 5",12,2,0
655314000006,"Meridian Charter Township, Precinct 6",130,27,0
655314000007,"Meridian Charter Township, Precinct 7",125,24,2
655314000008,"Meridian Charter Township, Precinct 8",318,64,2
655314000009,"Meridian Charter Township, Precinct 9",28,6,1
655314000010,"Meridian Charter Township, Precinct 10",134,23,0
655314000011,"Meridian Charter Township, Precinct 11",189,44,1
655314000012,"Meridian Charter Township, Precinct 12",89,14,0
655314000013,"Meridian Charter Township, Precinct 13",227,59,2
655314000014,"Meridian Charter Township, Precinct 14",289,57,0
656080000001,"Onondaga Township, Precinct 1",256,66,0
657658000001,"Stockbridge Township, Precinct 1",364,72,0
658222000001,"Vevay Township, Precinct 1",92,39,0
658652000001,"Wheatfield Township, Precinct 1",240,48,0
658690000001,"White Oak Township, Precinct 1",101,27,0
658742000001,"City of Williamston, Precinct 1",191,40,2
658744000001,"Williamstown Township, Precinct 1",104,37,0
658744000002,"Williamstown Township, Precinct 2",126,43,0
