id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
650080000001,"Alaiedon Township, Precinct 1",1,4,2,0,0
650080000002,"Alaiedon Township, Precinct 2",0,1,5,0,0
650424000001,"Aurelius Township, Precinct 1",2,7,3,0,0
650424000002,"Aurelius Township, Precinct 2",0,1,0,0,0
651164000001,"Bunker Hill Township, Precinct 1",1,8,1,0,0
652142000001,"Delhi Charter Township, Precinct 1",1,24,2,0,0
652142000002,"Delhi Charter Township, Precinct 2",2,17,9,1,0
652142000003,"Delhi Charter Township, Precinct 3",1,9,7,0,0
652142000004,"Delhi Charter Township, Precinct 4",2,14,13,0,0
652142000005,"Delhi Charter Township, Precinct 5",2,9,5,0,0
652142000006,"Delhi Charter Township, Precinct 6",1,4,1,0,0
652142000007,"Delhi Charter Township, Precinct 7",0,6,6,0,0
652412000001,"City of East Lansing, Precinct 1",0,1,2,0,0
652412000002,"City of East Lansing, Precinct 2",0,5,1,0,0
652412000003,"City of East Lansing, Precinct 3",0,4,2,0,0
652412000004,"City of East Lansing, Precinct 4",0,4,1,0,0
652412000005,"City of East Lansing, Precinct 5",0,3,0,0,0
652412000006,"City of East Lansing, Precinct 6",0,2,2,0,0
652412000007,"City of East Lansing, Precinct 7",0,2,4,0,0
652412000009,"City of East Lansing, Precinct 9",0,1,3,0,0
652412000010,"City of East Lansing, Precinct 10",0,0,0,0,0
652412000011,"City of East Lansing, Precinct 11",0,0,0,0,0
652412000012,"City of East Lansing, Precinct 12",0,0,0,0,0
652412000013,"City of East Lansing, Precinct 13",0,0,0,0,0
654064000001,"Ingham Township, Precinct 1",1,24,13,1,1
654600001001,"City of Lansing, Ward 1, Precinct 1",0,4,1,0,0
654600001002,"City of Lansing, Ward 1, Precinct 2",0,3,1,0,0
654600001003,"City of Lansing, Ward 1, Precinct 3",1,3,4,0,0
654600001005,"City of Lansing, Ward 1, Precinct 5",0,2,3,0,0
654600001008,"City of Lansing, Ward 1, Precinct 8",0,8,3,0,0
654600001009,"City of Lansing, Ward 1, Precinct 9",0,1,0,0,0
654600001010,"City of Lansing, Ward 1, Precinct 10",0,0,0,0,0
654600002012,"City of Lansing, Ward 2, Precinct 12",1,1,0,0,0
654600002013,"City of Lansing, Ward 2, Precinct 13",0,7,3,1,0
654600002014,"City of Lansing, Ward 2, Precinct 14",0,3,3,0,0
654600002015,"City of Lansing, Ward 2, Precinct 15",1,2,3,0,0
654600002017,"City of Lansing, Ward 2, Precinct 17",1,2,1,0,0
654600002018,"City of Lansing, Ward 2, Precinct 18",1,7,5,0,0
654600002020,"City of Lansing, Ward 2, Precinct 20",1,5,2,0,0
654600003023,"City of Lansing, Ward 3, Precinct 23",1,6,2,0,0
654600003025,"City of Lansing, Ward 3, Precinct 25",1,0,5,1,0
654600003027,"City of Lansing, Ward 3, Precinct 27",0,0,1,0,0
654600003028,"City of Lansing, Ward 3, Precinct 28",1,2,3,0,0
654600003030,"City of Lansing, Ward 3, Precinct 30",1,7,3,0,0
654600004032,"City of Lansing, Ward 4, Precinct 32",2,9,5,0,0
654600004034,"City of Lansing, Ward 4, Precinct 34",0,7,4,0,0
654600004035,"City of Lansing, Ward 4, Precinct 35",0,0,0,0,0
654600004036,"City of Lansing, Ward 4, Precinct 36",0,0,0,0,0
654600004037,"City of Lansing, Ward 4, Precinct 37",1,1,0,0,0
654600004038,"City of Lansing, Ward 4, Precinct 38",0,3,1,0,0
654600004039,"City of Lansing, Ward 4, Precinct 39",2,2,1,0,0
654602000001,"Lansing Charter Township, Precinct 1",0,11,6,0,0
654602000002,"Lansing Charter Township, Precinct 2",0,1,2,0,0
654708000001,"Leroy Township, Precinct 1",3,19,9,0,0
654718000001,"City of Leslie, Precinct 1",2,6,2,0,0
654720000001,"Leslie Township, Precinct 1",0,8,4,0,1
654904000001,"Locke Township, Precinct 1",0,17,11,1,0
655218000001,"City of Mason, Precinct 1",2,16,18,0,0
655218000002,"City of Mason, Precinct 2",6,9,12,0,0
655314000001,"Meridian Charter Township, Precinct 1",3,19,4,0,0
655314000002,"Meridian Charter Township, Precinct 2",1,7,4,0,1
655314000003,"Meridian Charter Township, Precinct 3",2,6,2,1,0
655314000004,"Meridian Charter Township, Precinct 4",2,16,6,0,0
655314000005,"Meridian Charter Township, Precinct 5",0,0,0,0,0
655314000006,"Meridian Charter Township, Precinct 6",0,3,3,0,0
655314000007,"Meridian Charter Township, Precinct 7",1,4,2,0,0
655314000008,"Meridian Charter Township, Precinct 8",3,8,3,0,0
655314000009,"Meridian Charter Township, Precinct 9",0,0,3,0,0
655314000010,"Meridian Charter Township, Precinct 10",0,8,4,0,0
655314000011,"Meridian Charter Township, Precinct 11",0,7,2,1,0
655314000012,"Meridian Charter Township, Precinct 12",0,3,1,0,0
655314000013,"Meridian Charter Township, Precinct 13",1,7,0,0,0
655314000014,"Meridian Charter Township, Precinct 14",0,9,7,0,0
656080000001,"Onondaga Township, Precinct 1",0,7,4,0,0
657658000001,"Stockbridge Township, Precinct 1",9,16,15,0,0
658222000001,"Vevay Township, Precinct 1",1,15,9,0,0
658652000001,"Wheatfield Township, Precinct 1",0,2,2,1,0
658690000001,"White Oak Township, Precinct 1",2,4,3,0,0
658742000001,"City of Williamston, Precinct 1",6,10,7,0,0
658744000001,"Williamstown Township, Precinct 1",1,25,7,0,0
658744000002,"Williamstown Township, Precinct 2",1,11,5,0,0
