id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
650080000001,"Alaiedon Township, Precinct 1",20,108,53,0,0
650080000002,"Alaiedon Township, Precinct 2",31,117,80,5,0
650424000001,"Aurelius Township, Precinct 1",40,165,97,1,2
650424000002,"Aurelius Township, Precinct 2",35,114,85,3,0
651164000001,"Bunker Hill Township, Precinct 1",38,96,102,5,0
652142000001,"Delhi Charter Township, Precinct 1",24,205,75,3,0
652142000002,"Delhi Charter Township, Precinct 2",36,163,105,4,1
652142000003,"Delhi Charter Township, Precinct 3",58,170,111,7,2
652142000004,"Delhi Charter Township, Precinct 4",88,266,160,5,1
652142000005,"Delhi Charter Township, Precinct 5",38,185,76,4,1
652142000006,"Delhi Charter Township, Precinct 6",19,102,81,5,0
652142000007,"Delhi Charter Township, Precinct 7",41,127,87,5,2
652412000001,"City of East Lansing, Precinct 1",9,59,23,2,0
652412000002,"City of East Lansing, Precinct 2",17,79,28,2,0
652412000003,"City of East Lansing, Precinct 3",12,56,27,1,0
652412000004,"City of East Lansing, Precinct 4",13,81,22,0,0
652412000005,"City of East Lansing, Precinct 5",9,22,4,0,0
652412000006,"City of East Lansing, Precinct 6",2,46,7,1,0
652412000007,"City of East Lansing, Precinct 7",10,54,32,0,0
652412000009,"City of East Lansing, Precinct 9",1,11,9,0,0
652412000010,"City of East Lansing, Precinct 10",0,1,0,0,0
652412000011,"City of East Lansing, Precinct 11",1,1,0,0,0
652412000012,"City of East Lansing, Precinct 12",0,1,1,0,0
652412000013,"City of East Lansing, Precinct 13",0,1,0,0,0
654064000001,"Ingham Township, Precinct 1",50,168,109,6,2
654600001001,"City of Lansing, Ward 1, Precinct 1",24,75,67,3,0
654600001002,"City of Lansing, Ward 1, Precinct 2",9,18,22,1,0
654600001003,"City of Lansing, Ward 1, Precinct 3",52,141,61,3,1
654600001005,"City of Lansing, Ward 1, Precinct 5",16,60,37,2,0
654600001008,"City of Lansing, Ward 1, Precinct 8",12,55,45,3,0
654600001009,"City of Lansing, Ward 1, Precinct 9",7,16,20,4,0
654600001010,"City of Lansing, Ward 1, Precinct 10",7,32,23,0,0
654600002012,"City of Lansing, Ward 2, Precinct 12",26,101,67,0,1
654600002013,"City of Lansing, Ward 2, Precinct 13",25,70,60,3,0
654600002014,"City of Lansing, Ward 2, Precinct 14",15,46,31,1,0
654600002015,"City of Lansing, Ward 2, Precinct 15",23,71,49,3,0
654600002017,"City of Lansing, Ward 2, Precinct 17",17,57,39,2,0
654600002018,"City of Lansing, Ward 2, Precinct 18",27,98,96,1,0
654600002020,"City of Lansing, Ward 2, Precinct 20",26,53,66,1,0
654600003023,"City of Lansing, Ward 3, Precinct 23",30,123,71,6,0
654600003025,"City of Lansing, Ward 3, Precinct 25",28,75,73,4,1
654600003027,"City of Lansing, Ward 3, Precinct 27",10,39,24,2,0
654600003028,"City of Lansing, Ward 3, Precinct 28",18,50,42,1,0
654600003030,"City of Lansing, Ward 3, Precinct 30",17,71,64,0,0
654600004032,"City of Lansing, Ward 4, Precinct 32",33,142,64,2,0
654600004034,"City of Lansing, Ward 4, Precinct 34",16,70,38,2,0
654600004035,"City of Lansing, Ward 4, Precinct 35",12,35,12,0,0
654600004036,"City of Lansing, Ward 4, Precinct 36",4,24,11,1,0
654600004037,"City of Lansing, Ward 4, Precinct 37",8,19,21,0,1
654600004038,"City of Lansing, Ward 4, Precinct 38",8,37,30,1,4
654600004039,"City of Lansing, Ward 4, Precinct 39",53,132,115,6,0
654602000001,"Lansing Charter Township, Precinct 1",46,120,82,1,1
654602000002,"Lansing Charter Township, Precinct 2",24,78,38,1,1
654708000001,"Leroy Township, Precinct 1",79,242,142,8,3
654718000001,"City of Leslie, Precinct 1",25,57,40,1,0
654720000001,"Leslie Township, Precinct 1",41,158,120,5,1
654904000001,"Locke Township, Precinct 1",37,171,89,6,1
655218000001,"City of Mason, Precinct 1",66,188,109,7,2
655218000002,"City of Mason, Precinct 2",108,237,142,5,0
655314000001,"Meridian Charter Township, Precinct 1",44,202,80,3,0
655314000002,"Meridian Charter Township, Precinct 2",34,165,97,1,1
655314000003,"Meridian Charter Township, Precinct 3",43,147,73,2,1
655314000004,"Meridian Charter Township, Precinct 4",62,190,97,4,0
655314000005,"Meridian Charter Township, Precinct 5",0,1,0,0,0
655314000006,"Meridian Charter Township, Precinct 6",11,63,32,1,0
655314000007,"Meridian Charter Township, Precinct 7",32,120,56,3,1
655314000008,"Meridian Charter Township, Precinct 8",37,142,54,3,0
655314000009,"Meridian Charter Township, Precinct 9",1,6,9,0,0
655314000010,"Meridian Charter Township, Precinct 10",15,87,38,1,0
655314000011,"Meridian Charter Township, Precinct 11",24,99,40,4,0
655314000012,"Meridian Charter Township, Precinct 12",15,34,12,0,0
655314000013,"Meridian Charter Township, Precinct 13",17,110,49,4,0
655314000014,"Meridian Charter Township, Precinct 14",36,171,74,1,0
656080000001,"Onondaga Township, Precinct 1",66,157,132,9,0
657658000001,"Stockbridge Township, Precinct 1",84,262,199,11,1
658222000001,"Vevay Township, Precinct 1",84,245,188,5,0
658652000001,"Wheatfield Township, Precinct 1",42,120,90,6,0
658690000001,"White Oak Township, Precinct 1",29,79,80,1,0
658742000001,"City of Williamston, Precinct 1",77,184,104,3,1
658744000001,"Williamstown Township, Precinct 1",38,204,61,3,0
658744000002,"Williamstown Township, Precinct 2",52,199,94,10,0
