id,name,Bridget Brink,William Lawrence,Matt Maasdam,Write-in
650080000001,"Alaiedon Township, Precinct 1",26,43,18,0
650080000002,"Alaiedon Township, Precinct 2",19,60,25,1
650424000001,"Aurelius Township, Precinct 1",37,64,35,0
650424000002,"Aurelius Township, Precinct 2",19,54,6,0
651164000001,"Bunker Hill Township, Precinct 1",53,70,91,1
652142000001,"Delhi Charter Township, Precinct 1",55,179,46,2
652142000002,"Delhi Charter Township, Precinct 2",52,102,33,0
652142000003,"Delhi Charter Township, Precinct 3",49,168,48,2
652142000004,"Delhi Charter Township, Precinct 4",47,142,45,0
652142000005,"Delhi Charter Township, Precinct 5",62,149,51,0
652142000006,"Delhi Charter Township, Precinct 6",22,51,16,0
652142000007,"Delhi Charter Township, Precinct 7",18,64,19,1
652412000001,"City of East Lansing, Precinct 1",105,336,55,1
652412000002,"City of East Lansing, Precinct 2",66,310,46,2
652412000003,"City of East Lansing, Precinct 3",61,162,43,1
652412000004,"City of East Lansing, Precinct 4",47,111,51,1
652412000005,"City of East Lansing, Precinct 5",14,71,13,0
652412000006,"City of East Lansing, Precinct 6",62,199,31,2
652412000007,"City of East Lansing, Precinct 7",47,178,35,0
652412000009,"City of East Lansing, Precinct 9",13,78,11,1
652412000010,"City of East Lansing, Precinct 10",2,25,0,1
652412000011,"City of East Lansing, Precinct 11",2,40,1,1
652412000012,"City of East Lansing, Precinct 12",1,3,2,0
652412000013,"City of East Lansing, Precinct 13",2,14,3,0
654064000001,"Ingham Township, Precinct 1",88,127,103,0
654600001001,"City of Lansing, Ward 1, Precinct 1",37,143,29,0
654600001002,"City of Lansing, Ward 1, Precinct 2",26,117,9,0
654600001003,"City of Lansing, Ward 1, Precinct 3",48,326,41,0
654600001005,"City of Lansing, Ward 1, Precinct 5",42,303,41,1
654600001008,"City of Lansing, Ward 1, Precinct 8",43,342,20,1
654600001009,"City of Lansing, Ward 1, Precinct 9",23,100,17,0
654600001010,"City of Lansing, Ward 1, Precinct 10",32,132,22,0
654600002012,"City of Lansing, Ward 2, Precinct 12",54,194,33,0
654600002013,"City of Lansing, Ward 2, Precinct 13",39,117,17,2
654600002014,"City of Lansing, Ward 2, Precinct 14",24,106,19,0
654600002015,"City of Lansing, Ward 2, Precinct 15",51,248,32,0
654600002017,"City of Lansing, Ward 2, Precinct 17",26,109,29,0
654600002018,"City of Lansing, Ward 2, Precinct 18",41,116,23,1
654600002020,"City of Lansing, Ward 2, Precinct 20",42,80,17,3
654600003023,"City of Lansing, Ward 3, Precinct 23",53,180,44,0
654600003025,"City of Lansing, Ward 3, Precinct 25",38,138,25,1
654600003027,"City of Lansing, Ward 3, Precinct 27",42,123,30,0
654600003028,"City of Lansing, Ward 3, Precinct 28",38,98,22,0
654600003030,"City of Lansing, Ward 3, Precinct 30",46,111,18,0
654600004032,"City of Lansing, Ward 4, Precinct 32",85,253,37,0
654600004034,"City of Lansing, Ward 4, Precinct 34",42,251,27,2
654600004035,"City of Lansing, Ward 4, Precinct 35",86,304,38,4
654600004036,"City of Lansing, Ward 4, Precinct 36",54,262,28,1
654600004037,"City of Lansing, Ward 4, Precinct 37",35,125,10,0
654600004038,"City of Lansing, Ward 4, Precinct 38",23,144,22,1
654600004039,"City of Lansing, Ward 4, Precinct 39",78,269,46,0
654602000001,"Lansing Charter Township, Precinct 1",63,258,55,2
654602000002,"Lansing Charter Township, Precinct 2",45,224,34,0
654708000001,"Leroy Township, Precinct 1",33,71,27,2
654718000001,"City of Leslie, Precinct 1",72,83,57,0
654720000001,"Leslie Township, Precinct 1",93,84,118,1
654904000001,"Locke Township, Precinct 1",67,82,86,0
655218000001,"City of Mason, Precinct 1",53,134,42,0
655218000002,"City of Mason, Precinct 2",72,203,43,1
655314000001,"Meridian Charter Township, Precinct 1",80,201,70,0
655314000002,"Meridian Charter Township, Precinct 2",75,256,43,0
655314000003,"Meridian Charter Township, Precinct 3",38,133,27,0
655314000004,"Meridian Charter Township, Precinct 4",66,204,57,1
655314000005,"Meridian Charter Township, Precinct 5",1,13,1,0
655314000006,"Meridian Charter Township, Precinct 6",48,86,23,1
655314000007,"Meridian Charter Township, Precinct 7",26,97,33,0
655314000008,"Meridian Charter Township, Precinct 8",89,236,65,1
655314000009,"Meridian Charter Township, Precinct 9",7,23,6,0
655314000010,"Meridian Charter Township, Precinct 10",44,88,26,0
655314000011,"Meridian Charter Township, Precinct 11",49,153,41,0
655314000012,"Meridian Charter Township, Precinct 12",19,77,12,0
655314000013,"Meridian Charter Township, Precinct 13",47,191,54,3
655314000014,"Meridian Charter Township, Precinct 14",96,174,76,1
656080000001,"Onondaga Township, Precinct 1",113,98,102,0
657658000001,"Stockbridge Township, Precinct 1",147,127,160,1
658222000001,"Vevay Township, Precinct 1",37,55,39,0
658652000001,"Wheatfield Township, Precinct 1",84,94,104,0
658690000001,"White Oak Township, Precinct 1",43,42,41,0
658742000001,"City of Williamston, Precinct 1",59,140,33,0
658744000001,"Williamstown Township, Precinct 1",43,68,32,0
658744000002,"Williamstown Township, Precinct 2",33,102,26,1
