id,name,Tom Barrett,Write-in
650080000001,"Alaiedon Township, Precinct 1",6,0
650080000002,"Alaiedon Township, Precinct 2",6,0
650424000001,"Aurelius Township, Precinct 1",12,0
650424000002,"Aurelius Township, Precinct 2",1,0
651164000001,"Bunker Hill Township, Precinct 1",10,0
652142000001,"Delhi Charter Township, Precinct 1",26,0
652142000002,"Delhi Charter Township, Precinct 2",28,0
652142000003,"Delhi Charter Township, Precinct 3",18,0
652142000004,"Delhi Charter Township, Precinct 4",26,1
652142000005,"Delhi Charter Township, Precinct 5",15,0
652142000006,"Delhi Charter Township, Precinct 6",5,1
652142000007,"Delhi Charter Township, Precinct 7",10,0
652412000001,"City of East Lansing, Precinct 1",3,0
652412000002,"City of East Lansing, Precinct 2",6,0
652412000003,"City of East Lansing, Precinct 3",5,0
652412000004,"City of East Lansing, Precinct 4",5,0
652412000005,"City of East Lansing, Precinct 5",3,0
652412000006,"City of East Lansing, Precinct 6",4,0
652412000007,"City of East Lansing, Precinct 7",5,0
652412000009,"City of East Lansing, Precinct 9",4,0
652412000010,"City of East Lansing, Precinct 10",0,0
652412000011,"City of East Lansing, Precinct 11",0,0
652412000012,"City of East Lansing, Precinct 12",0,0
652412000013,"City of East Lansing, Precinct 13",0,0
654064000001,"Ingham Township, Precinct 1",37,0
654600001001,"City of Lansing, Ward 1, Precinct 1",5,0
654600001002,"City of Lansing, Ward 1, Precinct 2",3,0
654600001003,"City of Lansing, Ward 1, Precinct 3",7,0
654600001005,"City of Lansing, Ward 1, Precinct 5",5,0
654600001008,"City of Lansing, Ward 1, Precinct 8",10,0
654600001009,"City of Lansing, Ward 1, Precinct 9",1,0
654600001010,"City of Lansing, Ward 1, Precinct 10",0,0
654600002012,"City of Lansing, Ward 2, Precinct 12",2,0
654600002013,"City of Lansing, Ward 2, Precinct 13",11,0
654600002014,"City of Lansing, Ward 2, Precinct 14",6,0
654600002015,"City of Lansing, Ward 2, Precinct 15",4,0
654600002017,"City of Lansing, Ward 2, Precinct 17",4,0
654600002018,"City of Lansing, Ward 2, Precinct 18",13,0
654600002020,"City of Lansing, Ward 2, Precinct 20",8,0
654600003023,"City of Lansing, Ward 3, Precinct 23",8,0
654600003025,"City of Lansing, Ward 3, Precinct 25",7,0
654600003027,"City of Lansing, Ward 3, Precinct 27",1,0
654600003028,"City of Lansing, Ward 3, Precinct 28",6,0
654600003030,"City of Lansing, Ward 3, Precinct 30",10,0
654600004032,"City of Lansing, Ward 4, Precinct 32",15,0
654600004034,"City of Lansing, Ward 4, Precinct 34",9,0
654600004035,"City of Lansing, Ward 4, Precinct 35",0,0
654600004036,"City of Lansing, Ward 4, Precinct 36",0,0
654600004037,"City of Lansing, Ward 4, Precinct 37",2,0
654600004038,"City of Lansing, Ward 4, Precinct 38",3,0
654600004039,"City of Lansing, Ward 4, Precinct 39",5,0
654602000001,"Lansing Charter Township, Precinct 1",16,0
654602000002,"Lansing Charter Township, Precinct 2",3,0
654708000001,"Leroy Township, Precinct 1",31,0
654718000001,"City of Leslie, Precinct 1",10,0
654720000001,"Leslie Township, Precinct 1",10,0
654904000001,"Locke Township, Precinct 1",26,0
655218000001,"City of Mason, Precinct 1",28,1
655218000002,"City of Mason, Precinct 2",23,0
655314000001,"Meridian Charter Township, Precinct 1",23,0
655314000002,"Meridian Charter Township, Precinct 2",11,0
655314000003,"Meridian Charter Township, Precinct 3",10,0
655314000004,"Meridian Charter Township, Precinct 4",20,0
655314000005,"Meridian Charter Township, Precinct 5",0,0
655314000006,"Meridian Charter Township, Precinct 6",6,0
655314000007,"Meridian Charter Township, Precinct 7",7,0
655314000008,"Meridian Charter Township, Precinct 8",12,1
655314000009,"Meridian Charter Township, Precinct 9",3,0
655314000010,"Meridian Charter Township, Precinct 10",12,0
655314000011,"Meridian Charter Township, Precinct 11",7,0
655314000012,"Meridian Charter Township, Precinct 12",4,0
655314000013,"Meridian Charter Township, Precinct 13",7,1
655314000014,"Meridian Charter Township, Precinct 14",14,0
656080000001,"Onondaga Township, Precinct 1",11,0
657658000001,"Stockbridge Township, Precinct 1",38,0
658222000001,"Vevay Township, Precinct 1",25,0
658652000001,"Wheatfield Township, Precinct 1",2,0
658690000001,"White Oak Township, Precinct 1",8,0
658742000001,"City of Williamston, Precinct 1",23,0
658744000001,"Williamstown Township, Precinct 1",32,0
658744000002,"Williamstown Township, Precinct 2",15,0
