id,name,Tom Barrett,Write-in
650080000001,"Alaiedon Township, Precinct 1",168,1
650080000002,"Alaiedon Township, Precinct 2",221,0
650424000001,"Aurelius Township, Precinct 1",291,1
650424000002,"Aurelius Township, Precinct 2",232,1
651164000001,"Bunker Hill Township, Precinct 1",230,1
652142000001,"Delhi Charter Township, Precinct 1",289,0
652142000002,"Delhi Charter Township, Precinct 2",295,2
652142000003,"Delhi Charter Township, Precinct 3",318,6
652142000004,"Delhi Charter Township, Precinct 4",485,4
652142000005,"Delhi Charter Township, Precinct 5",276,6
652142000006,"Delhi Charter Township, Precinct 6",197,1
652142000007,"Delhi Charter Township, Precinct 7",240,3
652412000001,"City of East Lansing, Precinct 1",87,0
652412000002,"City of East Lansing, Precinct 2",118,0
652412000003,"City of East Lansing, Precinct 3",88,0
652412000004,"City of East Lansing, Precinct 4",109,1
652412000005,"City of East Lansing, Precinct 5",32,0
652412000006,"City of East Lansing, Precinct 6",54,0
652412000007,"City of East Lansing, Precinct 7",88,2
652412000009,"City of East Lansing, Precinct 9",19,0
652412000010,"City of East Lansing, Precinct 10",1,0
652412000011,"City of East Lansing, Precinct 11",2,0
652412000012,"City of East Lansing, Precinct 12",2,0
652412000013,"City of East Lansing, Precinct 13",1,0
654064000001,"Ingham Township, Precinct 1",316,2
654600001001,"City of Lansing, Ward 1, Precinct 1",162,0
654600001002,"City of Lansing, Ward 1, Precinct 2",47,2
654600001003,"City of Lansing, Ward 1, Precinct 3",249,0
654600001005,"City of Lansing, Ward 1, Precinct 5",104,1
654600001008,"City of Lansing, Ward 1, Precinct 8",105,0
654600001009,"City of Lansing, Ward 1, Precinct 9",44,1
654600001010,"City of Lansing, Ward 1, Precinct 10",57,0
654600002012,"City of Lansing, Ward 2, Precinct 12",181,2
654600002013,"City of Lansing, Ward 2, Precinct 13",152,2
654600002014,"City of Lansing, Ward 2, Precinct 14",85,0
654600002015,"City of Lansing, Ward 2, Precinct 15",134,0
654600002017,"City of Lansing, Ward 2, Precinct 17",104,0
654600002018,"City of Lansing, Ward 2, Precinct 18",205,3
654600002020,"City of Lansing, Ward 2, Precinct 20",136,1
654600003023,"City of Lansing, Ward 3, Precinct 23",204,2
654600003025,"City of Lansing, Ward 3, Precinct 25",169,0
654600003027,"City of Lansing, Ward 3, Precinct 27",65,2
654600003028,"City of Lansing, Ward 3, Precinct 28",100,4
654600003030,"City of Lansing, Ward 3, Precinct 30",146,0
654600004032,"City of Lansing, Ward 4, Precinct 32",224,4
654600004034,"City of Lansing, Ward 4, Precinct 34",124,0
654600004035,"City of Lansing, Ward 4, Precinct 35",57,3
654600004036,"City of Lansing, Ward 4, Precinct 36",40,0
654600004037,"City of Lansing, Ward 4, Precinct 37",46,0
654600004038,"City of Lansing, Ward 4, Precinct 38",68,1
654600004039,"City of Lansing, Ward 4, Precinct 39",285,3
654602000001,"Lansing Charter Township, Precinct 1",243,1
654602000002,"Lansing Charter Township, Precinct 2",130,1
654708000001,"Leroy Township, Precinct 1",445,3
654718000001,"City of Leslie, Precinct 1",116,0
654720000001,"Leslie Township, Precinct 1",305,0
654904000001,"Locke Township, Precinct 1",274,3
655218000001,"City of Mason, Precinct 1",351,1
655218000002,"City of Mason, Precinct 2",455,1
655314000001,"Meridian Charter Township, Precinct 1",301,1
655314000002,"Meridian Charter Township, Precinct 2",287,0
655314000003,"Meridian Charter Township, Precinct 3",265,1
655314000004,"Meridian Charter Township, Precinct 4",324,0
655314000005,"Meridian Charter Township, Precinct 5",1,0
655314000006,"Meridian Charter Township, Precinct 6",98,0
655314000007,"Meridian Charter Township, Precinct 7",198,1
655314000008,"Meridian Charter Township, Precinct 8",218,1
655314000009,"Meridian Charter Township, Precinct 9",16,0
655314000010,"Meridian Charter Township, Precinct 10",138,0
655314000011,"Meridian Charter Township, Precinct 11",159,2
655314000012,"Meridian Charter Township, Precinct 12",60,0
655314000013,"Meridian Charter Township, Precinct 13",157,1
655314000014,"Meridian Charter Township, Precinct 14",259,0
656080000001,"Onondaga Township, Precinct 1",346,0
657658000001,"Stockbridge Township, Precinct 1",526,1
658222000001,"Vevay Township, Precinct 1",495,2
658652000001,"Wheatfield Township, Precinct 1",238,0
658690000001,"White Oak Township, Precinct 1",182,2
658742000001,"City of Williamston, Precinct 1",351,1
658744000001,"Williamstown Township, Precinct 1",287,1
658744000002,"Williamstown Township, Precinct 2",335,0
