id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
650080000001,"Alaiedon Township, Precinct 1",3,0,6,0
650080000002,"Alaiedon Township, Precinct 2",7,0,1,0
650424000001,"Aurelius Township, Precinct 1",10,1,11,0
650424000002,"Aurelius Township, Precinct 2",4,0,5,0
651164000001,"Bunker Hill Township, Precinct 1",10,0,4,0
652142000001,"Delhi Charter Township, Precinct 1",41,0,10,0
652142000002,"Delhi Charter Township, Precinct 2",41,0,14,0
652142000003,"Delhi Charter Township, Precinct 3",49,2,26,0
652142000004,"Delhi Charter Township, Precinct 4",52,2,19,0
652142000005,"Delhi Charter Township, Precinct 5",36,2,10,0
652142000006,"Delhi Charter Township, Precinct 6",15,1,3,0
652142000007,"Delhi Charter Township, Precinct 7",24,1,6,0
652412000001,"City of East Lansing, Precinct 1",121,2,36,0
652412000002,"City of East Lansing, Precinct 2",101,0,20,0
652412000003,"City of East Lansing, Precinct 3",66,0,14,0
652412000004,"City of East Lansing, Precinct 4",36,1,11,0
652412000005,"City of East Lansing, Precinct 5",35,1,11,0
652412000006,"City of East Lansing, Precinct 6",87,0,23,0
652412000007,"City of East Lansing, Precinct 7",51,1,10,0
652412000009,"City of East Lansing, Precinct 9",14,1,6,0
652412000010,"City of East Lansing, Precinct 10",7,0,1,0
652412000011,"City of East Lansing, Precinct 11",6,1,0,0
652412000012,"City of East Lansing, Precinct 12",3,0,0,0
652412000013,"City of East Lansing, Precinct 13",5,0,0,0
654064000001,"Ingham Township, Precinct 1",4,0,8,0
654600001001,"City of Lansing, Ward 1, Precinct 1",21,0,2,0
654600001002,"City of Lansing, Ward 1, Precinct 2",33,1,7,0
654600001003,"City of Lansing, Ward 1, Precinct 3",64,0,10,0
654600001005,"City of Lansing, Ward 1, Precinct 5",105,3,14,0
654600001008,"City of Lansing, Ward 1, Precinct 8",110,3,16,0
654600001009,"City of Lansing, Ward 1, Precinct 9",14,1,1,0
654600001010,"City of Lansing, Ward 1, Precinct 10",30,2,3,0
654600002012,"City of Lansing, Ward 2, Precinct 12",33,3,7,0
654600002013,"City of Lansing, Ward 2, Precinct 13",33,0,9,0
654600002014,"City of Lansing, Ward 2, Precinct 14",23,0,4,0
654600002015,"City of Lansing, Ward 2, Precinct 15",53,0,6,0
654600002017,"City of Lansing, Ward 2, Precinct 17",31,0,5,0
654600002018,"City of Lansing, Ward 2, Precinct 18",42,1,16,0
654600002020,"City of Lansing, Ward 2, Precinct 20",47,2,11,0
654600003023,"City of Lansing, Ward 3, Precinct 23",56,1,17,0
654600003025,"City of Lansing, Ward 3, Precinct 25",41,0,14,0
654600003027,"City of Lansing, Ward 3, Precinct 27",20,0,10,0
654600003028,"City of Lansing, Ward 3, Precinct 28",25,0,8,0
654600003030,"City of Lansing, Ward 3, Precinct 30",30,0,6,0
654600004032,"City of Lansing, Ward 4, Precinct 32",45,1,22,0
654600004034,"City of Lansing, Ward 4, Precinct 34",63,0,9,0
654600004035,"City of Lansing, Ward 4, Precinct 35",35,1,8,0
654600004036,"City of Lansing, Ward 4, Precinct 36",64,1,4,0
654600004037,"City of Lansing, Ward 4, Precinct 37",27,1,4,0
654600004038,"City of Lansing, Ward 4, Precinct 38",24,1,7,0
654600004039,"City of Lansing, Ward 4, Precinct 39",53,2,10,0
654602000001,"Lansing Charter Township, Precinct 1",40,0,13,0
654602000002,"Lansing Charter Township, Precinct 2",24,2,14,0
654708000001,"Leroy Township, Precinct 1",9,0,7,0
654718000001,"City of Leslie, Precinct 1",8,0,1,0
654720000001,"Leslie Township, Precinct 1",14,0,5,0
654904000001,"Locke Township, Precinct 1",9,1,1,0
655218000001,"City of Mason, Precinct 1",50,5,22,0
655218000002,"City of Mason, Precinct 2",58,2,19,0
655314000001,"Meridian Charter Township, Precinct 1",90,1,26,0
655314000002,"Meridian Charter Township, Precinct 2",89,0,23,0
655314000003,"Meridian Charter Township, Precinct 3",60,0,16,0
655314000004,"Meridian Charter Township, Precinct 4",78,0,21,0
655314000005,"Meridian Charter Township, Precinct 5",2,0,0,0
655314000006,"Meridian Charter Township, Precinct 6",36,0,9,0
655314000007,"Meridian Charter Township, Precinct 7",30,1,8,0
655314000008,"Meridian Charter Township, Precinct 8",75,1,24,0
655314000009,"Meridian Charter Township, Precinct 9",8,0,2,0
655314000010,"Meridian Charter Township, Precinct 10",47,0,15,0
655314000011,"Meridian Charter Township, Precinct 11",46,1,14,0
655314000012,"Meridian Charter Township, Precinct 12",17,0,4,0
655314000013,"Meridian Charter Township, Precinct 13",83,1,28,0
655314000014,"Meridian Charter Township, Precinct 14",85,0,30,0
656080000001,"Onondaga Township, Precinct 1",4,0,1,0
657658000001,"Stockbridge Township, Precinct 1",21,1,15,0
658222000001,"Vevay Township, Precinct 1",33,2,11,0
658652000001,"Wheatfield Township, Precinct 1",8,0,8,0
658690000001,"White Oak Township, Precinct 1",2,0,0,0
658742000001,"City of Williamston, Precinct 1",30,0,15,0
658744000001,"Williamstown Township, Precinct 1",31,2,23,0
658744000002,"Williamstown Township, Precinct 2",19,2,15,0
