id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
650080000001,"Alaiedon Township, Precinct 1",159,17,132,0
650080000002,"Alaiedon Township, Precinct 2",188,18,134,0
650424000001,"Aurelius Township, Precinct 1",223,25,182,1
650424000002,"Aurelius Township, Precinct 2",137,20,140,0
651164000001,"Bunker Hill Township, Precinct 1",96,21,120,1
652142000001,"Delhi Charter Township, Precinct 1",576,36,441,1
652142000002,"Delhi Charter Township, Precinct 2",446,55,358,0
652142000003,"Delhi Charter Township, Precinct 3",541,62,372,0
652142000004,"Delhi Charter Township, Precinct 4",584,57,511,1
652142000005,"Delhi Charter Township, Precinct 5",566,71,430,0
652142000006,"Delhi Charter Township, Precinct 6",228,38,152,0
652142000007,"Delhi Charter Township, Precinct 7",309,22,198,2
652412000001,"City of East Lansing, Precinct 1",984,32,375,0
652412000002,"City of East Lansing, Precinct 2",784,44,371,1
652412000003,"City of East Lansing, Precinct 3",501,23,294,0
652412000004,"City of East Lansing, Precinct 4",364,29,220,0
652412000005,"City of East Lansing, Precinct 5",220,12,107,1
652412000006,"City of East Lansing, Precinct 6",611,12,208,0
652412000007,"City of East Lansing, Precinct 7",524,35,340,0
652412000009,"City of East Lansing, Precinct 9",183,7,57,0
652412000010,"City of East Lansing, Precinct 10",41,0,2,0
652412000011,"City of East Lansing, Precinct 11",78,1,0,0
652412000012,"City of East Lansing, Precinct 12",8,1,0,0
652412000013,"City of East Lansing, Precinct 13",31,0,0,0
654064000001,"Ingham Township, Precinct 1",152,21,164,0
654600001001,"City of Lansing, Ward 1, Precinct 1",359,25,214,0
654600001002,"City of Lansing, Ward 1, Precinct 2",335,17,121,0
654600001003,"City of Lansing, Ward 1, Precinct 3",738,50,351,2
654600001005,"City of Lansing, Ward 1, Precinct 5",798,38,257,1
654600001008,"City of Lansing, Ward 1, Precinct 8",891,45,204,1
654600001009,"City of Lansing, Ward 1, Precinct 9",248,20,106,0
654600001010,"City of Lansing, Ward 1, Precinct 10",360,14,113,1
654600002012,"City of Lansing, Ward 2, Precinct 12",536,42,272,2
654600002013,"City of Lansing, Ward 2, Precinct 13",334,34,257,0
654600002014,"City of Lansing, Ward 2, Precinct 14",384,29,150,0
654600002015,"City of Lansing, Ward 2, Precinct 15",571,31,217,1
654600002017,"City of Lansing, Ward 2, Precinct 17",369,31,209,1
654600002018,"City of Lansing, Ward 2, Precinct 18",424,33,386,1
654600002020,"City of Lansing, Ward 2, Precinct 20",328,37,219,0
654600003023,"City of Lansing, Ward 3, Precinct 23",548,57,517,1
654600003025,"City of Lansing, Ward 3, Precinct 25",453,55,332,0
654600003027,"City of Lansing, Ward 3, Precinct 27",296,26,279,0
654600003028,"City of Lansing, Ward 3, Precinct 28",301,24,285,1
654600003030,"City of Lansing, Ward 3, Precinct 30",401,33,231,0
654600004032,"City of Lansing, Ward 4, Precinct 32",725,68,508,0
654600004034,"City of Lansing, Ward 4, Precinct 34",656,36,248,1
654600004035,"City of Lansing, Ward 4, Precinct 35",784,48,323,0
654600004036,"City of Lansing, Ward 4, Precinct 36",641,23,165,0
654600004037,"City of Lansing, Ward 4, Precinct 37",338,16,127,0
654600004038,"City of Lansing, Ward 4, Precinct 38",414,35,193,0
654600004039,"City of Lansing, Ward 4, Precinct 39",682,81,451,2
654602000001,"Lansing Charter Township, Precinct 1",554,51,358,1
654602000002,"Lansing Charter Township, Precinct 2",497,25,199,0
654708000001,"Leroy Township, Precinct 1",222,24,210,0
654718000001,"City of Leslie, Precinct 1",129,4,96,0
654720000001,"Leslie Township, Precinct 1",117,28,180,0
654904000001,"Locke Township, Precinct 1",121,14,123,0
655218000001,"City of Mason, Precinct 1",392,53,330,0
655218000002,"City of Mason, Precinct 2",549,68,394,0
655314000001,"Meridian Charter Township, Precinct 1",771,63,493,0
655314000002,"Meridian Charter Township, Precinct 2",854,40,451,1
655314000003,"Meridian Charter Township, Precinct 3",521,65,400,0
655314000004,"Meridian Charter Township, Precinct 4",747,71,528,0
655314000005,"Meridian Charter Township, Precinct 5",26,2,3,0
655314000006,"Meridian Charter Township, Precinct 6",288,19,138,0
655314000007,"Meridian Charter Township, Precinct 7",383,40,311,0
655314000008,"Meridian Charter Township, Precinct 8",902,56,567,1
655314000009,"Meridian Charter Township, Precinct 9",68,3,35,0
655314000010,"Meridian Charter Township, Precinct 10",387,35,290,0
655314000011,"Meridian Charter Township, Precinct 11",559,33,358,0
655314000012,"Meridian Charter Township, Precinct 12",222,16,101,0
655314000013,"Meridian Charter Township, Precinct 13",705,60,420,0
655314000014,"Meridian Charter Township, Precinct 14",757,37,521,0
656080000001,"Onondaga Township, Precinct 1",153,23,151,1
657658000001,"Stockbridge Township, Precinct 1",234,45,203,0
658222000001,"Vevay Township, Precinct 1",288,48,282,0
658652000001,"Wheatfield Township, Precinct 1",134,12,159,0
658690000001,"White Oak Township, Precinct 1",59,12,61,0
658742000001,"City of Williamston, Precinct 1",488,45,379,0
658744000001,"Williamstown Township, Precinct 1",331,29,293,1
658744000002,"Williamstown Township, Precinct 2",337,41,316,0
