id,name,Mike Rogers,Write-in
650080000001,"Alaiedon Township, Precinct 1",170,1
650080000002,"Alaiedon Township, Precinct 2",220,0
650424000001,"Aurelius Township, Precinct 1",293,0
650424000002,"Aurelius Township, Precinct 2",235,1
651164000001,"Bunker Hill Township, Precinct 1",236,0
652142000001,"Delhi Charter Township, Precinct 1",291,0
652142000002,"Delhi Charter Township, Precinct 2",300,1
652142000003,"Delhi Charter Township, Precinct 3",320,5
652142000004,"Delhi Charter Township, Precinct 4",492,2
652142000005,"Delhi Charter Township, Precinct 5",285,4
652142000006,"Delhi Charter Township, Precinct 6",201,1
652142000007,"Delhi Charter Township, Precinct 7",251,0
652412000001,"City of East Lansing, Precinct 1",88,0
652412000002,"City of East Lansing, Precinct 2",120,0
652412000003,"City of East Lansing, Precinct 3",92,0
652412000004,"City of East Lansing, Precinct 4",110,1
652412000005,"City of East Lansing, Precinct 5",33,0
652412000006,"City of East Lansing, Precinct 6",54,0
652412000007,"City of East Lansing, Precinct 7",88,1
652412000009,"City of East Lansing, Precinct 9",21,0
652412000010,"City of East Lansing, Precinct 10",1,0
652412000011,"City of East Lansing, Precinct 11",2,0
652412000012,"City of East Lansing, Precinct 12",2,0
652412000013,"City of East Lansing, Precinct 13",1,0
654064000001,"Ingham Township, Precinct 1",321,1
654600001001,"City of Lansing, Ward 1, Precinct 1",161,0
654600001002,"City of Lansing, Ward 1, Precinct 2",50,0
654600001003,"City of Lansing, Ward 1, Precinct 3",249,1
654600001005,"City of Lansing, Ward 1, Precinct 5",105,1
654600001008,"City of Lansing, Ward 1, Precinct 8",108,0
654600001009,"City of Lansing, Ward 1, Precinct 9",43,0
654600001010,"City of Lansing, Ward 1, Precinct 10",59,1
654600002012,"City of Lansing, Ward 2, Precinct 12",188,2
654600002013,"City of Lansing, Ward 2, Precinct 13",154,1
654600002014,"City of Lansing, Ward 2, Precinct 14",85,0
654600002015,"City of Lansing, Ward 2, Precinct 15",140,0
654600002017,"City of Lansing, Ward 2, Precinct 17",107,0
654600002018,"City of Lansing, Ward 2, Precinct 18",211,1
654600002020,"City of Lansing, Ward 2, Precinct 20",138,1
654600003023,"City of Lansing, Ward 3, Precinct 23",218,0
654600003025,"City of Lansing, Ward 3, Precinct 25",173,0
654600003027,"City of Lansing, Ward 3, Precinct 27",69,0
654600003028,"City of Lansing, Ward 3, Precinct 28",103,2
654600003030,"City of Lansing, Ward 3, Precinct 30",142,1
654600004032,"City of Lansing, Ward 4, Precinct 32",228,4
654600004034,"City of Lansing, Ward 4, Precinct 34",121,0
654600004035,"City of Lansing, Ward 4, Precinct 35",61,0
654600004036,"City of Lansing, Ward 4, Precinct 36",41,0
654600004037,"City of Lansing, Ward 4, Precinct 37",47,0
654600004038,"City of Lansing, Ward 4, Precinct 38",72,1
654600004039,"City of Lansing, Ward 4, Precinct 39",293,0
654602000001,"Lansing Charter Township, Precinct 1",245,0
654602000002,"Lansing Charter Township, Precinct 2",133,0
654708000001,"Leroy Township, Precinct 1",447,2
654718000001,"City of Leslie, Precinct 1",120,0
654720000001,"Leslie Township, Precinct 1",313,0
654904000001,"Locke Township, Precinct 1",291,1
655218000001,"City of Mason, Precinct 1",363,0
655218000002,"City of Mason, Precinct 2",470,2
655314000001,"Meridian Charter Township, Precinct 1",312,0
655314000002,"Meridian Charter Township, Precinct 2",290,1
655314000003,"Meridian Charter Township, Precinct 3",264,1
655314000004,"Meridian Charter Township, Precinct 4",334,1
655314000005,"Meridian Charter Township, Precinct 5",1,0
655314000006,"Meridian Charter Township, Precinct 6",101,0
655314000007,"Meridian Charter Township, Precinct 7",201,0
655314000008,"Meridian Charter Township, Precinct 8",225,1
655314000009,"Meridian Charter Township, Precinct 9",16,0
655314000010,"Meridian Charter Township, Precinct 10",141,0
655314000011,"Meridian Charter Township, Precinct 11",163,2
655314000012,"Meridian Charter Township, Precinct 12",59,0
655314000013,"Meridian Charter Township, Precinct 13",162,1
655314000014,"Meridian Charter Township, Precinct 14",265,0
656080000001,"Onondaga Township, Precinct 1",353,0
657658000001,"Stockbridge Township, Precinct 1",535,3
658222000001,"Vevay Township, Precinct 1",508,0
658652000001,"Wheatfield Township, Precinct 1",243,0
658690000001,"White Oak Township, Precinct 1",186,0
658742000001,"City of Williamston, Precinct 1",357,0
658744000001,"Williamstown Township, Precinct 1",291,1
658744000002,"Williamstown Township, Precinct 2",341,0
