id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
690076000001,"Alabaster Township, Precinct 1",67,18,0
690430000001,"AuSable Township, Precinct 1",205,81,0
690492000001,"Baldwin Township, Precinct 1",185,69,1
691174000001,"Burleigh Township, Precinct 1",36,33,0
693428000001,"Grant Township, Precinct 1",138,79,0
696134000001,"Oscoda Township, Precinct 1",438,159,1
696134000002,"Oscoda Township, Precinct 2",248,109,1
696464000001,"Plainfield Township, Precinct 1",103,72,0
696464000002,"Plainfield Township, Precinct 2",198,112,0
696796000001,"Reno Township, Precinct 1",48,27,1
697318000001,"Sherman Township, Precinct 1",11,26,0
697810000001,"Tawas Township, Precinct 1",103,61,1
698718000001,"Wilber Township, Precinct 1",83,38,0
692442000001,"City of East Tawas, Precinct 1",303,145,1
697814000001,"City of Tawas City, Precinct 1",156,59,0
698714000001,"City of Whittemore, Precinct 1",15,16,0
