id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
690076000001,"Alabaster Township, Precinct 1",42,27,11,0
690430000001,"AuSable Township, Precinct 1",159,85,20,1
690492000001,"Baldwin Township, Precinct 1",153,62,22,2
691174000001,"Burleigh Township, Precinct 1",34,21,3,0
693428000001,"Grant Township, Precinct 1",109,63,24,1
696134000001,"Oscoda Township, Precinct 1",319,159,73,1
696134000002,"Oscoda Township, Precinct 2",213,94,25,0
696464000001,"Plainfield Township, Precinct 1",88,54,14,0
696464000002,"Plainfield Township, Precinct 2",168,62,46,1
696796000001,"Reno Township, Precinct 1",39,17,6,1
697318000001,"Sherman Township, Precinct 1",16,14,2,1
697810000001,"Tawas Township, Precinct 1",87,52,16,0
698718000001,"Wilber Township, Precinct 1",67,30,14,0
692442000001,"City of East Tawas, Precinct 1",234,142,42,1
697814000001,"City of Tawas City, Precinct 1",94,75,29,2
698714000001,"City of Whittemore, Precinct 1",11,13,4,0
