id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
690076000001,"Alabaster Township, Precinct 1",4,0,1,0
690430000001,"AuSable Township, Precinct 1",0,0,0,0
690492000001,"Baldwin Township, Precinct 1",4,1,1,0
691174000001,"Burleigh Township, Precinct 1",0,2,2,0
693428000001,"Grant Township, Precinct 1",10,5,3,0
696134000001,"Oscoda Township, Precinct 1",6,0,1,0
696134000002,"Oscoda Township, Precinct 2",2,1,0,0
696464000001,"Plainfield Township, Precinct 1",0,0,0,0
696464000002,"Plainfield Township, Precinct 2",4,1,2,0
696796000001,"Reno Township, Precinct 1",2,0,0,0
697318000001,"Sherman Township, Precinct 1",0,1,1,0
697810000001,"Tawas Township, Precinct 1",23,4,1,0
698718000001,"Wilber Township, Precinct 1",8,0,0,0
692442000001,"City of East Tawas, Precinct 1",9,1,1,0
697814000001,"City of Tawas City, Precinct 1",3,3,1,0
698714000001,"City of Whittemore, Precinct 1",0,1,1,0
