id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
690076000001,"Alabaster Township, Precinct 1",76,25,13,0
690430000001,"AuSable Township, Precinct 1",191,54,22,1
690492000001,"Baldwin Township, Precinct 1",181,45,33,0
691174000001,"Burleigh Township, Precinct 1",65,4,17,0
693428000001,"Grant Township, Precinct 1",182,30,31,5
696134000001,"Oscoda Township, Precinct 1",183,41,31,2
696134000002,"Oscoda Township, Precinct 2",119,24,15,0
696464000001,"Plainfield Township, Precinct 1",134,50,26,2
696464000002,"Plainfield Township, Precinct 2",294,44,67,0
696796000001,"Reno Township, Precinct 1",43,13,10,0
697318000001,"Sherman Township, Precinct 1",37,14,15,1
697810000001,"Tawas Township, Precinct 1",193,33,49,1
698718000001,"Wilber Township, Precinct 1",91,21,11,0
692442000001,"City of East Tawas, Precinct 1",316,78,41,4
697814000001,"City of Tawas City, Precinct 1",119,29,34,0
698714000001,"City of Whittemore, Precinct 1",21,4,14,0
