id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
690076000001,"Alabaster Township, Precinct 1",80,25,14,0
690430000001,"AuSable Township, Precinct 1",191,54,22,1
690492000001,"Baldwin Township, Precinct 1",185,46,34,0
691174000001,"Burleigh Township, Precinct 1",65,6,19,0
693428000001,"Grant Township, Precinct 1",192,35,34,5
696134000001,"Oscoda Township, Precinct 1",376,81,59,3
696134000002,"Oscoda Township, Precinct 2",218,46,23,0
696464000001,"Plainfield Township, Precinct 1",134,50,26,2
696464000002,"Plainfield Township, Precinct 2",298,45,69,0
696796000001,"Reno Township, Precinct 1",45,13,10,0
697318000001,"Sherman Township, Precinct 1",37,15,16,1
697810000001,"Tawas Township, Precinct 1",216,37,50,1
698718000001,"Wilber Township, Precinct 1",99,21,11,0
692442000001,"City of East Tawas, Precinct 1",325,79,42,4
697814000001,"City of Tawas City, Precinct 1",122,32,35,0
698714000001,"City of Whittemore, Precinct 1",21,5,15,0
