id,name,Mike Rogers,Write-in
690076000001,"Alabaster Township, Precinct 1",121,0
690430000001,"AuSable Township, Precinct 1",266,1
690492000001,"Baldwin Township, Precinct 1",255,1
691174000001,"Burleigh Township, Precinct 1",87,0
693428000001,"Grant Township, Precinct 1",254,1
696134000001,"Oscoda Township, Precinct 1",268,2
696134000002,"Oscoda Township, Precinct 2",164,1
696464000001,"Plainfield Township, Precinct 1",207,0
696464000002,"Plainfield Township, Precinct 2",407,0
696796000001,"Reno Township, Precinct 1",71,0
697318000001,"Sherman Township, Precinct 1",66,1
697810000001,"Tawas Township, Precinct 1",284,0
698718000001,"Wilber Township, Precinct 1",127,0
692442000001,"City of East Tawas, Precinct 1",449,1
697814000001,"City of Tawas City, Precinct 1",182,1
698714000001,"City of Whittemore, Precinct 1",42,0
