id,name,board,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout,Mike Cox,John James,Perry Johnson,Aric Nesbitt
711386000001,"City of Caspian, Precinct 1",,0,769,173,0,0,90,22.5,17,34,38,1
711914000001,"City of Crystal Falls, Precinct 1",,2,1392,341,0,0,164,24.5,26,67,71,0
713116000001,"City of Gaastra, Precinct 1",,0,267,85,0,0,46,31.84,4,16,25,1
714098000001,"City of Iron River, Precinct 1",,1,1314,307,0,0,173,23.36,20,77,70,6
714098000002,"City of Iron River, Precinct 2",,1,1231,308,0,0,154,25.02,23,70,56,5
710586000001,"Bates Township, Precinct 1",,1,961,322,0,0,180,33.51,22,69,86,3
711915000001,"Crystal Falls Township, Precinct 1",,2,1515,511,0,0,239,33.73,21,77,137,4
713758000001,"Hematite Township, Precinct 1",,0,282,97,0,0,45,34.4,8,18,18,1
714100000001,"Iron River Township, Precinct 1",,0,1118,343,0,0,216,30.68,39,97,76,4
715086000001,"Mansfield Township, Precinct 1",,0,268,99,0,0,66,36.94,8,34,22,2
715230000001,"Mastodon Township, Precinct 1",,0,635,272,0,0,169,42.83,17,73,76,3
717608000001,"Stambaugh Township, Precinct 1",,0,1241,424,0,0,215,34.17,29,98,84,4
