id,name,board,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout,Mike Rogers
711386000001,"City of Caspian, Precinct 1",,0,769,173,0,0,85,22.5,85
711914000001,"City of Crystal Falls, Precinct 1",,1,1392,341,0,0,160,24.5,160
713116000001,"City of Gaastra, Precinct 1",,0,267,85,0,0,46,31.84,46
714098000001,"City of Iron River, Precinct 1",,3,1314,307,0,0,157,23.36,157
714098000002,"City of Iron River, Precinct 2",,0,1231,308,0,0,147,25.02,147
710586000001,"Bates Township, Precinct 1",,0,961,322,0,0,168,33.51,168
711915000001,"Crystal Falls Township, Precinct 1",,0,1515,511,0,0,235,33.73,235
713758000001,"Hematite Township, Precinct 1",,0,282,97,0,0,46,34.4,46
714100000001,"Iron River Township, Precinct 1",,0,1118,343,0,0,207,30.68,207
715086000001,"Mansfield Township, Precinct 1",,0,268,99,0,0,63,36.94,63
715230000001,"Mastodon Township, Precinct 1",,0,635,272,0,0,158,42.83,158
717608000001,"Stambaugh Township, Precinct 1",,2,1241,424,0,0,204,34.17,204
