id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",58,19,0
735602000002,"City of Mt. Pleasant, Precinct 2",64,27,0
735602000003,"City of Mt. Pleasant, Precinct 3",60,15,0
731114000001,"Broomfield Township, Precinct 1",3,1,0
731558000001,"Chippewa Township, Precinct 1",6,0,0
731558000002,"Chippewa Township, Precinct 2",11,0,0
731688000001,"Coe Township, Precinct 1",9,3,0
731706000001,"Coldwater Township, Precinct 1",1,0,0
732114000001,"Deerfield Township, Precinct 1",19,4,0
732114000002,"Deerfield Township, Precinct 2",5,1,0
732168000001,"Denver Township, Precinct 1",7,2,0
733068000001,"Fremont Township, Precinct 1",8,3,0
733220000001,"Gilmore Township, Precinct 1",1,1,0
734116000001,"Isabella Township, Precinct 1",8,5,0
734766000001,"Lincoln Township, Precinct 1",5,7,0
735936000001,"Nottawa Township, Precinct 1",8,3,0
736930000001,"Rolland Township, Precinct 1",0,1,0
737320000001,"Sherman Township, Precinct 1",11,2,0
737320000002,"Sherman Township, Precinct 2",5,0,0
738134000001,"Union Charter Township, Precinct 1",57,25,1
738134000002,"Union Charter Township, Precinct 2",37,16,0
738200000001,"Vernon Township, Precinct 1",0,1,0
738804000001,"Wise Township, Precinct 1",2,0,0
