id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",14,86,45,0,0
735602000002,"City of Mt. Pleasant, Precinct 2",17,119,65,6,1
735602000003,"City of Mt. Pleasant, Precinct 3",5,35,20,1,0
731114000001,"Broomfield Township, Precinct 1",36,107,89,3,3
731558000001,"Chippewa Township, Precinct 1",29,97,80,5,0
731558000002,"Chippewa Township, Precinct 2",20,61,53,3,0
731688000001,"Coe Township, Precinct 1",17,95,75,2,0
731706000001,"Coldwater Township, Precinct 1",14,51,33,2,0
732114000001,"Deerfield Township, Precinct 1",13,86,52,3,0
732114000002,"Deerfield Township, Precinct 2",13,55,30,1,0
732168000001,"Denver Township, Precinct 1",13,51,47,3,1
733068000001,"Fremont Township, Precinct 1",15,78,78,3,0
733220000001,"Gilmore Township, Precinct 1",30,101,84,2,0
734116000001,"Isabella Township, Precinct 1",25,98,65,5,0
734766000001,"Lincoln Township, Precinct 1",35,137,111,0,0
735936000001,"Nottawa Township, Precinct 1",57,130,98,7,1
736930000001,"Rolland Township, Precinct 1",18,73,50,2,0
737320000001,"Sherman Township, Precinct 1",9,56,62,3,0
737320000002,"Sherman Township, Precinct 2",14,45,25,0,0
738134000001,"Union Charter Township, Precinct 1",22,116,60,4,1
738134000002,"Union Charter Township, Precinct 2",8,73,34,1,0
738200000001,"Vernon Township, Precinct 1",25,85,57,7,1
738804000001,"Wise Township, Precinct 1",29,81,66,2,0
