id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",152,170,38,5
735602000002,"City of Mt. Pleasant, Precinct 2",143,170,39,3
735602000003,"City of Mt. Pleasant, Precinct 3",104,99,34,0
731114000001,"Broomfield Township, Precinct 1",75,80,19,3
731558000001,"Chippewa Township, Precinct 1",91,101,25,4
731558000002,"Chippewa Township, Precinct 2",61,63,15,2
731688000001,"Coe Township, Precinct 1",59,56,21,1
731706000001,"Coldwater Township, Precinct 1",23,26,11,0
732114000001,"Deerfield Township, Precinct 1",58,39,15,1
732114000002,"Deerfield Township, Precinct 2",21,29,3,0
732168000001,"Denver Township, Precinct 1",34,38,12,0
733068000001,"Fremont Township, Precinct 1",34,41,24,1
733220000001,"Gilmore Township, Precinct 1",50,37,12,1
734116000001,"Isabella Township, Precinct 1",84,103,27,0
734766000001,"Lincoln Township, Precinct 1",76,66,35,0
735936000001,"Nottawa Township, Precinct 1",85,89,16,0
736930000001,"Rolland Township, Precinct 1",29,68,15,0
737320000001,"Sherman Township, Precinct 1",18,22,8,0
737320000002,"Sherman Township, Precinct 2",15,16,2,0
738134000001,"Union Charter Township, Precinct 1",116,137,24,8
738134000002,"Union Charter Township, Precinct 2",65,103,21,5
738200000001,"Vernon Township, Precinct 1",66,47,8,1
738804000001,"Wise Township, Precinct 1",33,37,10,0
