id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",394,391,82,6
735602000002,"City of Mt. Pleasant, Precinct 2",412,424,98,3
735602000003,"City of Mt. Pleasant, Precinct 3",256,205,83,0
731114000001,"Broomfield Township, Precinct 1",77,82,19,3
731558000001,"Chippewa Township, Precinct 1",93,105,25,4
731558000002,"Chippewa Township, Precinct 2",66,67,16,2
731688000001,"Coe Township, Precinct 1",161,123,45,1
731706000001,"Coldwater Township, Precinct 1",23,27,11,0
732114000001,"Deerfield Township, Precinct 1",159,81,39,1
732114000002,"Deerfield Township, Precinct 2",51,57,7,0
732168000001,"Denver Township, Precinct 1",36,42,12,0
733068000001,"Fremont Township, Precinct 1",39,44,26,1
733220000001,"Gilmore Township, Precinct 1",51,38,12,1
734116000001,"Isabella Township, Precinct 1",89,109,28,0
734766000001,"Lincoln Township, Precinct 1",82,71,35,0
735936000001,"Nottawa Township, Precinct 1",92,91,17,0
736930000001,"Rolland Township, Precinct 1",29,69,15,0
737320000001,"Sherman Township, Precinct 1",73,58,22,0
737320000002,"Sherman Township, Precinct 2",68,65,11,0
738134000001,"Union Charter Township, Precinct 1",350,316,77,9
738134000002,"Union Charter Township, Precinct 2",175,212,70,6
738200000001,"Vernon Township, Precinct 1",67,47,8,1
738804000001,"Wise Township, Precinct 1",33,38,10,0
