id,name,Mike Rogers,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",287,2
735602000002,"City of Mt. Pleasant, Precinct 2",421,2
735602000003,"City of Mt. Pleasant, Precinct 3",147,0
731114000001,"Broomfield Township, Precinct 1",238,0
731558000001,"Chippewa Township, Precinct 1",200,0
731558000002,"Chippewa Township, Precinct 2",140,1
731688000001,"Coe Township, Precinct 1",316,0
731706000001,"Coldwater Township, Precinct 1",98,0
732114000001,"Deerfield Township, Precinct 1",261,0
732114000002,"Deerfield Township, Precinct 2",146,1
732168000001,"Denver Township, Precinct 1",113,0
733068000001,"Fremont Township, Precinct 1",171,0
733220000001,"Gilmore Township, Precinct 1",211,1
734116000001,"Isabella Township, Precinct 1",188,0
734766000001,"Lincoln Township, Precinct 1",282,3
735936000001,"Nottawa Township, Precinct 1",288,2
736930000001,"Rolland Township, Precinct 1",135,0
737320000001,"Sherman Township, Precinct 1",237,0
737320000002,"Sherman Township, Precinct 2",188,0
738134000001,"Union Charter Township, Precinct 1",450,0
738134000002,"Union Charter Township, Precinct 2",203,2
738200000001,"Vernon Township, Precinct 1",175,0
738804000001,"Wise Township, Precinct 1",172,0
