id,name,board,Jocelyn Benson,Christopher Robert Swanson,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
754142001001,"City of Jackson, Ward 1, Precinct 1",,422,53,6,4031,615,0,0,481,15.26
754142002002,"City of Jackson, Ward 2, Precinct 2",,77,12,1,959,120,0,0,90,12.51
754142002003,"City of Jackson, Ward 2, Precinct 3",,198,39,1,3049,402,0,0,238,13.18
754142003004,"City of Jackson, Ward 3, Precinct 4",,188,30,1,1911,360,0,0,219,18.84
754142003005,"City of Jackson, Ward 3, Precinct 5",,225,48,0,2254,433,0,0,273,19.21
754142004006,"City of Jackson, Ward 4, Precinct 6",,234,46,0,2114,445,0,0,280,21.05
754142004007,"City of Jackson, Ward 4, Precinct 7",,148,15,0,2069,298,0,0,163,14.4
754142005008,"City of Jackson, Ward 5, Precinct 8",,357,75,7,4256,673,0,0,439,15.81
754142006009,"City of Jackson, Ward 6, Precinct 9",,468,75,3,2719,920,0,0,546,33.84
754142006010,"City of Jackson, Ward 6, Precinct 10",,339,42,2,1634,586,0,0,383,35.86
750876000001,"Blackman Charter Township, Precinct 1",,214,31,1,2738,479,0,0,246,17.49
750876000002,"Blackman Charter Township, Precinct 2",,294,43,0,2460,626,0,0,337,25.45
750876000003,"Blackman Charter Township, Precinct 3",,278,37,0,2965,634,0,0,315,21.38
750876000004,"Blackman Charter Township, Precinct 4",,234,32,1,2951,451,0,0,267,15.28
750876000005,"Blackman Charter Township, Precinct 5",,194,37,0,2751,439,0,0,231,15.96
750876000006,"Blackman Charter Township, Precinct 6",,303,61,1,2333,719,0,0,365,30.82
751740000001,"Columbia Charter Township, Precinct 1",,298,53,1,2409,696,0,0,352,28.89
751740000002,"Columbia Charter Township, Precinct 2",,229,29,0,1733,547,0,0,258,31.56
751740000003,"Columbia Charter Township, Precinct 3",,357,64,0,2607,893,0,0,421,34.25
751776000001,"Concord Township, Precinct 1",,203,36,0,2318,601,0,0,239,25.93
753450000001,"Grass Lake Charter Township, Precinct 1",,288,51,2,2331,722,0,0,341,30.97
753450000002,"Grass Lake Charter Township, Precinct 2",,422,87,2,3058,1028,0,0,511,33.62
753640000001,"Hanover Township, Precinct 1",,156,26,0,1340,416,0,0,182,31.04
753640000002,"Hanover Township, Precinct 2",,116,26,0,1760,408,0,0,142,23.18
753770000001,"Henrietta Township, Precinct 1",,246,25,1,1832,573,0,0,272,31.28
753770000002,"Henrietta Township, Precinct 2",,210,34,0,2205,562,0,0,244,25.49
754698000001,"Leoni Township, Precinct 1",,285,54,0,2799,756,0,0,339,27.01
754698000002,"Leoni Township, Precinct 2",,256,42,2,3100,682,0,0,300,22.0
754698000003,"Leoni Township, Precinct 3",,281,56,1,2760,691,0,0,338,25.04
754698000004,"Leoni Township, Precinct 4",,331,70,1,2929,815,0,0,402,27.83
754736000001,"Liberty Township, Precinct 1",,291,47,1,2727,862,0,0,339,31.61
755664000001,"Napoleon Township, Precinct 1",,288,40,1,3009,803,0,0,329,26.69
755664000002,"Napoleon Township, Precinct 2",,297,62,1,2881,773,0,0,360,26.83
755918000001,"Norvell Township, Precinct 1",,146,27,1,1157,383,0,0,174,33.1
755918000002,"Norvell Township, Precinct 2",,173,28,0,1415,466,0,0,201,32.93
756276000001,"Parma Township, Precinct 1",,194,40,0,2278,501,0,0,234,21.99
756644000001,"Pulaski Township, Precinct 1",,96,8,0,1530,355,0,0,104,23.2
756892000001,"Rives Township, Precinct 1",,156,47,3,2346,593,0,0,206,25.28
756892000002,"Rives Township, Precinct 2",,155,27,1,1694,588,0,0,183,34.71
757150000001,"Sandstone Charter Township, Precinct 1",,130,30,0,1420,423,0,0,160,29.79
757150000002,"Sandstone Charter Township, Precinct 2",,97,11,0,990,321,0,0,108,32.42
757150000003,"Sandstone Charter Township, Precinct 3",,94,18,0,959,230,0,0,112,23.98
757564000001,"Spring Arbor Township, Precinct 1",,179,23,0,1480,470,0,0,202,31.76
757564000002,"Spring Arbor Township, Precinct 2",,260,53,0,2414,697,0,0,313,28.87
757564000003,"Spring Arbor Township, Precinct 3",,217,26,0,2217,560,0,0,243,25.26
757588000001,"Springport Township, Precinct 1",,104,31,0,1745,383,0,0,135,21.95
757720000001,"Summit Township, Precinct 1",,258,54,1,2455,530,0,0,313,21.59
757720000002,"Summit Township, Precinct 2",,463,56,2,2609,1069,0,0,521,40.97
757720000003,"Summit Township, Precinct 3",,363,46,1,2223,794,0,0,410,35.72
757720000004,"Summit Township, Precinct 4",,384,53,2,2242,882,0,0,439,39.34
757720000005,"Summit Township, Precinct 5",,332,42,1,2123,832,0,0,375,39.19
757720000006,"Summit Township, Precinct 6",,228,38,0,1534,562,0,0,266,36.64
757720000007,"Summit Township, Precinct 7",,331,48,2,3153,807,0,0,381,25.59
757720000008,"Summit Township, Precinct 8",,281,44,0,2973,648,0,0,325,21.8
757998000001,"Tompkins Township, Precinct 1",,190,40,1,2203,547,0,0,231,24.83
758430000001,"Waterloo Township, Precinct 1",,314,76,2,2499,765,0,0,392,30.61
