id,name,board,Christian Vukasovich,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
754142001001,"City of Jackson, Ward 1, Precinct 1",,420,14,4031,615,0,0,434,15.26
754142002002,"City of Jackson, Ward 2, Precinct 2",,76,4,959,120,0,0,80,12.51
754142002003,"City of Jackson, Ward 2, Precinct 3",,213,3,3049,402,0,0,216,13.18
754142003004,"City of Jackson, Ward 3, Precinct 4",,196,1,1911,360,0,0,197,18.84
754142003005,"City of Jackson, Ward 3, Precinct 5",,232,5,2254,433,0,0,237,19.21
754142004006,"City of Jackson, Ward 4, Precinct 6",,253,1,2114,445,0,0,254,21.05
754142004007,"City of Jackson, Ward 4, Precinct 7",,149,1,2069,298,0,0,150,14.4
754142005008,"City of Jackson, Ward 5, Precinct 8",,390,11,4256,673,0,0,401,15.81
754142006009,"City of Jackson, Ward 6, Precinct 9",,476,7,2719,920,0,0,483,33.84
754142006010,"City of Jackson, Ward 6, Precinct 10",,323,3,1634,586,0,0,326,35.86
750876000001,"Blackman Charter Township, Precinct 1",,222,4,2738,479,0,0,226,17.49
750876000002,"Blackman Charter Township, Precinct 2",,306,2,2460,626,0,0,308,25.45
750876000003,"Blackman Charter Township, Precinct 3",,293,1,2965,634,0,0,294,21.38
750876000004,"Blackman Charter Township, Precinct 4",,250,1,2951,451,0,0,251,15.28
750876000005,"Blackman Charter Township, Precinct 5",,215,2,2751,439,0,0,217,15.96
750876000006,"Blackman Charter Township, Precinct 6",,315,1,2333,719,0,0,316,30.82
751740000001,"Columbia Charter Township, Precinct 1",,325,4,2409,696,0,0,329,28.89
751740000002,"Columbia Charter Township, Precinct 2",,220,1,1733,547,0,0,221,31.56
751740000003,"Columbia Charter Township, Precinct 3",,380,2,2607,893,0,0,382,34.25
751776000001,"Concord Township, Precinct 1",,208,4,2318,601,0,0,212,25.93
753450000001,"Grass Lake Charter Township, Precinct 1",,301,2,2331,722,0,0,303,30.97
753450000002,"Grass Lake Charter Township, Precinct 2",,448,5,3058,1028,0,0,453,33.62
753640000001,"Hanover Township, Precinct 1",,164,1,1340,416,0,0,165,31.04
753640000002,"Hanover Township, Precinct 2",,118,0,1760,408,0,0,118,23.18
753770000001,"Henrietta Township, Precinct 1",,245,2,1832,573,0,0,247,31.28
753770000002,"Henrietta Township, Precinct 2",,212,1,2205,562,0,0,213,25.49
754698000001,"Leoni Township, Precinct 1",,298,1,2799,756,0,0,299,27.01
754698000002,"Leoni Township, Precinct 2",,271,2,3100,682,0,0,273,22.0
754698000003,"Leoni Township, Precinct 3",,309,4,2760,691,0,0,313,25.04
754698000004,"Leoni Township, Precinct 4",,363,3,2929,815,0,0,366,27.83
754736000001,"Liberty Township, Precinct 1",,301,3,2727,862,0,0,304,31.61
755664000001,"Napoleon Township, Precinct 1",,302,0,3009,803,0,0,302,26.69
755664000002,"Napoleon Township, Precinct 2",,318,1,2881,773,0,0,319,26.83
755918000001,"Norvell Township, Precinct 1",,151,0,1157,383,0,0,151,33.1
755918000002,"Norvell Township, Precinct 2",,183,0,1415,466,0,0,183,32.93
756276000001,"Parma Township, Precinct 1",,202,2,2278,501,0,0,204,21.99
756644000001,"Pulaski Township, Precinct 1",,90,1,1530,355,0,0,91,23.2
756892000001,"Rives Township, Precinct 1",,183,2,2346,593,0,0,185,25.28
756892000002,"Rives Township, Precinct 2",,154,0,1694,588,0,0,154,34.71
757150000001,"Sandstone Charter Township, Precinct 1",,132,2,1420,423,0,0,134,29.79
757150000002,"Sandstone Charter Township, Precinct 2",,89,0,990,321,0,0,89,32.42
757150000003,"Sandstone Charter Township, Precinct 3",,97,0,959,230,0,0,97,23.98
757564000001,"Spring Arbor Township, Precinct 1",,183,1,1480,470,0,0,184,31.76
757564000002,"Spring Arbor Township, Precinct 2",,272,1,2414,697,0,0,273,28.87
757564000003,"Spring Arbor Township, Precinct 3",,226,0,2217,560,0,0,226,25.26
757588000001,"Springport Township, Precinct 1",,117,1,1745,383,0,0,118,21.95
757720000001,"Summit Township, Precinct 1",,280,3,2455,530,0,0,283,21.59
757720000002,"Summit Township, Precinct 2",,463,2,2609,1069,0,0,465,40.97
757720000003,"Summit Township, Precinct 3",,348,4,2223,794,0,0,352,35.72
757720000004,"Summit Township, Precinct 4",,392,2,2242,882,0,0,394,39.34
757720000005,"Summit Township, Precinct 5",,316,1,2123,832,0,0,317,39.19
757720000006,"Summit Township, Precinct 6",,234,0,1534,562,0,0,234,36.64
757720000007,"Summit Township, Precinct 7",,333,5,3153,807,0,0,338,25.59
757720000008,"Summit Township, Precinct 8",,300,1,2973,648,0,0,301,21.8
757998000001,"Tompkins Township, Precinct 1",,199,3,2203,547,0,0,202,24.83
758430000001,"Waterloo Township, Precinct 1",,334,4,2499,765,0,0,338,30.61
