id,name,board,Mike Rogers,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
754142001001,"City of Jackson, Ward 1, Precinct 1",,75,2,4031,615,0,0,77,15.26
754142002002,"City of Jackson, Ward 2, Precinct 2",,20,0,959,120,0,0,20,12.51
754142002003,"City of Jackson, Ward 2, Precinct 3",,132,2,3049,402,0,0,134,13.18
754142003004,"City of Jackson, Ward 3, Precinct 4",,113,0,1911,360,0,0,113,18.84
754142003005,"City of Jackson, Ward 3, Precinct 5",,132,0,2254,433,0,0,132,19.21
754142004006,"City of Jackson, Ward 4, Precinct 6",,138,1,2114,445,0,0,139,21.05
754142004007,"City of Jackson, Ward 4, Precinct 7",,104,0,2069,298,0,0,104,14.4
754142005008,"City of Jackson, Ward 5, Precinct 8",,158,5,4256,673,0,0,163,15.81
754142006009,"City of Jackson, Ward 6, Precinct 9",,295,0,2719,920,0,0,295,33.84
754142006010,"City of Jackson, Ward 6, Precinct 10",,173,1,1634,586,0,0,174,35.86
blackman-charter-township-precinct-1,"Blackman Charter Township, Precinct 1",,207,1,2738,479,0,0,208,17.49
blackman-charter-township-precinct-2,"Blackman Charter Township, Precinct 2",,251,0,2460,626,0,0,251,25.45
blackman-charter-township-precinct-3,"Blackman Charter Township, Precinct 3",,281,0,2965,634,0,0,281,21.38
blackman-charter-township-precinct-4,"Blackman Charter Township, Precinct 4",,150,0,2951,451,0,0,150,15.28
blackman-charter-township-precinct-5,"Blackman Charter Township, Precinct 5",,169,3,2751,439,0,0,172,15.96
blackman-charter-township-precinct-6,"Blackman Charter Township, Precinct 6",,322,0,2333,719,0,0,322,30.82
columbia-charter-township-precinct-1,"Columbia Charter Township, Precinct 1",,317,0,2409,696,0,0,317,28.89
columbia-charter-township-precinct-2,"Columbia Charter Township, Precinct 2",,269,1,1733,547,0,0,270,31.56
columbia-charter-township-precinct-3,"Columbia Charter Township, Precinct 3",,430,0,2607,893,0,0,430,34.25
751776000001,"Concord Township, Precinct 1",,341,1,2318,601,0,0,342,25.93
753450000001,"Grass Lake Charter Township, Precinct 1",,345,0,2331,722,0,0,345,30.97
753450000002,"Grass Lake Charter Township, Precinct 2",,431,1,3058,1028,0,0,432,33.62
753640000001,"Hanover Township, Precinct 1",,216,1,1340,416,0,0,217,31.04
753640000002,"Hanover Township, Precinct 2",,245,0,1760,408,0,0,245,23.18
753770000001,"Henrietta Township, Precinct 1",,270,1,1832,573,0,0,271,31.28
753770000002,"Henrietta Township, Precinct 2",,297,0,2205,562,0,0,297,25.49
754698000001,"Leoni Township, Precinct 1",,365,0,2799,756,0,0,365,27.01
754698000002,"Leoni Township, Precinct 2",,328,4,3100,682,0,0,332,22.0
754698000003,"Leoni Township, Precinct 3",,302,3,2760,691,0,0,305,25.04
754698000004,"Leoni Township, Precinct 4",,358,3,2929,815,0,0,361,27.83
754736000001,"Liberty Township, Precinct 1",,468,4,2727,862,0,0,472,31.61
755664000001,"Napoleon Township, Precinct 1",,429,0,3009,803,0,0,429,26.69
755664000002,"Napoleon Township, Precinct 2",,372,1,2881,773,0,0,373,26.83
755918000001,"Norvell Township, Precinct 1",,188,2,1157,383,0,0,190,33.1
755918000002,"Norvell Township, Precinct 2",,247,1,1415,466,0,0,248,32.93
756276000001,"Parma Township, Precinct 1",,231,0,2278,501,0,0,231,21.99
756644000001,"Pulaski Township, Precinct 1",,223,1,1530,355,0,0,224,23.2
756892000001,"Rives Township, Precinct 1",,315,5,2346,593,0,0,320,25.28
756892000002,"Rives Township, Precinct 2",,333,0,1694,588,0,0,333,34.71
sandstone-charter-township-precinct-1,"Sandstone Charter Township, Precinct 1",,238,0,1420,423,0,0,238,29.79
sandstone-charter-township-precinct-2,"Sandstone Charter Township, Precinct 2",,192,0,990,321,0,0,192,32.42
sandstone-charter-township-precinct-3,"Sandstone Charter Township, Precinct 3",,106,2,959,230,0,0,108,23.98
757564000001,"Spring Arbor Township, Precinct 1",,245,0,1480,470,0,0,245,31.76
757564000002,"Spring Arbor Township, Precinct 2",,340,2,2414,697,0,0,342,28.87
757564000003,"Spring Arbor Township, Precinct 3",,280,3,2217,560,0,0,283,25.26
757588000001,"Springport Township, Precinct 1",,217,0,1745,383,0,0,217,21.95
757720000001,"Summit Township, Precinct 1",,191,0,2455,530,0,0,191,21.59
757720000002,"Summit Township, Precinct 2",,484,0,2609,1069,0,0,484,40.97
757720000003,"Summit Township, Precinct 3",,322,0,2223,794,0,0,322,35.72
757720000004,"Summit Township, Precinct 4",,390,2,2242,882,0,0,392,39.34
757720000005,"Summit Township, Precinct 5",,404,0,2123,832,0,0,404,39.19
757720000006,"Summit Township, Precinct 6",,254,0,1534,562,0,0,254,36.64
757720000007,"Summit Township, Precinct 7",,378,1,3153,807,0,0,379,25.59
757720000008,"Summit Township, Precinct 8",,277,0,2973,648,0,0,277,21.8
757998000001,"Tompkins Township, Precinct 1",,291,2,2203,547,0,0,293,24.83
758430000001,"Waterloo Township, Precinct 1",,333,1,2499,765,0,0,334,30.61
