id,name,Diop Harris II,Sean McCann,Write-in
770084000001,"Alamo Township, Precinct 1",27,116,0
770084000002,"Alamo Township, Precinct 2",34,193,0
771472000001,"Charleston Township, Precinct 1",28,119,1
771646000001,"Climax Township, Precinct 1",19,133,0
771768000001,"Comstock Charter Township, Precinct 1",60,159,0
771768000002,"Comstock Charter Township, Precinct 2",59,170,0
771768000003,"Comstock Charter Township, Precinct 3",32,122,0
771768000004,"Comstock Charter Township, Precinct 4",34,161,0
771768000005,"Comstock Charter Township, Precinct 5",66,279,0
771768000006,"Comstock Charter Township, Precinct 6",38,187,0
771798000001,"Cooper Charter Township, Precinct 1",22,92,0
771798000002,"Cooper Charter Township, Precinct 2",31,154,0
771798000003,"Cooper Charter Township, Precinct 3",78,282,2
771798000004,"Cooper Charter Township, Precinct 4",38,237,0
773126000001,"Galesburg City, Precinct 1",0,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",4,19,0
774218000002,"Kalamazoo Charter Township, Precinct 2",115,393,4
774218000003,"Kalamazoo Charter Township, Precinct 3",143,552,1
774218000004,"Kalamazoo Charter Township, Precinct 4",119,436,0
774218000005,"Kalamazoo Charter Township, Precinct 5",43,147,2
774218000006,"Kalamazoo Charter Township, Precinct 6",87,261,0
774216000002,"Kalamazoo City, Precinct 2",45,81,1
774216000003,"Kalamazoo City, Precinct 3",164,237,1
774216000004,"Kalamazoo City, Precinct 4",64,293,0
774216000005,"Kalamazoo City, Precinct 5",98,296,0
774216000006,"Kalamazoo City, Precinct 6",60,305,0
774216000007,"Kalamazoo City, Precinct 7",102,261,1
774216000008,"Kalamazoo City, Precinct 8",75,125,1
774216000009,"Kalamazoo City, Precinct 9",144,422,0
774216000010,"Kalamazoo City, Precinct 10",81,212,2
774216000011,"Kalamazoo City, Precinct 11",36,91,0
774216000012,"Kalamazoo City, Precinct 12",69,310,0
774216000013,"Kalamazoo City, Precinct 13",55,108,0
774216000014,"Kalamazoo City, Precinct 14",130,524,0
774216000015,"Kalamazoo City, Precinct 15",63,94,0
774216000016,"Kalamazoo City, Precinct 16",115,187,1
774216000017,"Kalamazoo City, Precinct 17",78,155,0
774216000018,"Kalamazoo City, Precinct 18",59,160,0
774216000019,"Kalamazoo City, Precinct 19",62,137,0
774216000020,"Kalamazoo City, Precinct 20",36,265,1
774216000021,"Kalamazoo City, Precinct 21",73,315,0
776140000001,"Oshtemo Charter Township, Precinct 1",31,189,1
776140000002,"Oshtemo Charter Township, Precinct 2",62,290,0
776140000003,"Oshtemo Charter Township, Precinct 3",68,292,0
776140000004,"Oshtemo Charter Township, Precinct 4",49,266,0
776140000005,"Oshtemo Charter Township, Precinct 5",85,367,1
776140000006,"Oshtemo Charter Township, Precinct 6",32,148,0
776140000007,"Oshtemo Charter Township, Precinct 7",59,208,0
776140000008,"Oshtemo Charter Township, Precinct 8",25,101,1
776140000009,"Oshtemo Charter Township, Precinct 9",75,271,1
776234000001,"Parchment City, Precinct 1",0,0,0
776296000001,"Charter Township of Pavilion, Precinct 1",29,189,0
776296000002,"Charter Township of Pavilion, Precinct 2",13,82,0
776296000003,"Charter Township of Pavilion, Precinct 3",29,108,0
776556000001,"Portage City, Precinct 1",100,262,0
776556000002,"Portage City, Precinct 2",26,91,0
776556000003,"Portage City, Precinct 3",114,501,0
776556000004,"Portage City, Precinct 4",81,471,0
776556000005,"Portage City, Precinct 5",111,681,1
776556000006,"Portage City, Precinct 6",83,324,0
776556000007,"Portage City, Precinct 7",74,356,0
776556000008,"Portage City, Precinct 8",112,446,0
776556000009,"Portage City, Precinct 9",78,242,1
776556000010,"Portage City, Precinct 10",113,411,0
776556000011,"Portage City, Precinct 11",76,265,0
776556000012,"Portage City, Precinct 12",63,206,0
776556000013,"Portage City, Precinct 13",144,379,0
776826000001,"Richland Township, Precinct 1",62,291,0
776826000002,"Richland Township, Precinct 2",83,359,0
776982000001,"Ross Township, Precinct 1",47,205,0
776982000002,"Ross Township, Precinct 2",43,254,0
777930000001,"Texas Charter Township, Precinct 1",46,220,1
777930000002,"Texas Charter Township, Precinct 2",30,224,0
777930000003,"Texas Charter Township, Precinct 3",54,271,0
777930000004,"Texas Charter Township, Precinct 4",108,307,0
777930000005,"Texas Charter Township, Precinct 5",85,435,0
777930000006,"Texas Charter Township, Precinct 6",50,367,0
