id,name,Diop Harris II,Sean McCann,Write-in
770084000001,"Alamo Township, Precinct 1",0,1,0
770084000002,"Alamo Township, Precinct 2",4,8,0
771472000001,"Charleston Township, Precinct 1",1,0,0
771646000001,"Climax Township, Precinct 1",4,5,0
771768000001,"Comstock Charter Township, Precinct 1",10,6,0
771768000002,"Comstock Charter Township, Precinct 2",23,11,0
771768000003,"Comstock Charter Township, Precinct 3",2,6,0
771768000004,"Comstock Charter Township, Precinct 4",8,9,0
771768000005,"Comstock Charter Township, Precinct 5",18,19,0
771768000006,"Comstock Charter Township, Precinct 6",1,11,0
771798000001,"Cooper Charter Township, Precinct 1",4,13,0
771798000002,"Cooper Charter Township, Precinct 2",3,10,0
771798000003,"Cooper Charter Township, Precinct 3",8,14,0
771798000004,"Cooper Charter Township, Precinct 4",8,23,1
773126000001,"Galesburg City, Precinct 1",1,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",1,0,0
774218000002,"Kalamazoo Charter Township, Precinct 2",33,30,0
774218000003,"Kalamazoo Charter Township, Precinct 3",28,31,1
774218000004,"Kalamazoo Charter Township, Precinct 4",28,32,0
774218000005,"Kalamazoo Charter Township, Precinct 5",8,10,0
774218000006,"Kalamazoo Charter Township, Precinct 6",13,7,0
774216000002,"Kalamazoo City, Precinct 2",29,7,0
774216000003,"Kalamazoo City, Precinct 3",47,6,1
774216000004,"Kalamazoo City, Precinct 4",8,21,0
774216000005,"Kalamazoo City, Precinct 5",30,26,0
774216000006,"Kalamazoo City, Precinct 6",13,9,0
774216000007,"Kalamazoo City, Precinct 7",33,20,0
774216000008,"Kalamazoo City, Precinct 8",19,15,0
774216000009,"Kalamazoo City, Precinct 9",27,24,0
774216000010,"Kalamazoo City, Precinct 10",8,8,0
774216000011,"Kalamazoo City, Precinct 11",3,3,0
774216000012,"Kalamazoo City, Precinct 12",12,16,0
774216000013,"Kalamazoo City, Precinct 13",21,4,0
774216000014,"Kalamazoo City, Precinct 14",21,29,0
774216000015,"Kalamazoo City, Precinct 15",10,11,0
774216000016,"Kalamazoo City, Precinct 16",19,12,0
774216000017,"Kalamazoo City, Precinct 17",9,13,1
774216000018,"Kalamazoo City, Precinct 18",8,9,0
774216000019,"Kalamazoo City, Precinct 19",17,8,0
774216000020,"Kalamazoo City, Precinct 20",6,11,0
774216000021,"Kalamazoo City, Precinct 21",8,9,0
776140000001,"Oshtemo Charter Township, Precinct 1",1,2,0
776140000002,"Oshtemo Charter Township, Precinct 2",9,5,0
776140000003,"Oshtemo Charter Township, Precinct 3",10,15,0
776140000004,"Oshtemo Charter Township, Precinct 4",6,8,0
776140000005,"Oshtemo Charter Township, Precinct 5",16,12,0
776140000006,"Oshtemo Charter Township, Precinct 6",2,3,0
776140000007,"Oshtemo Charter Township, Precinct 7",3,8,0
776140000008,"Oshtemo Charter Township, Precinct 8",6,4,0
776140000009,"Oshtemo Charter Township, Precinct 9",18,14,0
776234000001,"Parchment City, Precinct 1",1,2,0
776296000001,"Charter Township of Pavilion, Precinct 1",10,21,0
776296000002,"Charter Township of Pavilion, Precinct 2",3,5,0
776296000003,"Charter Township of Pavilion, Precinct 3",3,7,0
776556000001,"Portage City, Precinct 1",23,20,0
776556000002,"Portage City, Precinct 2",6,4,0
776556000003,"Portage City, Precinct 3",21,28,0
776556000004,"Portage City, Precinct 4",15,24,0
776556000005,"Portage City, Precinct 5",14,21,0
776556000006,"Portage City, Precinct 6",10,34,0
776556000007,"Portage City, Precinct 7",16,21,0
776556000008,"Portage City, Precinct 8",21,35,0
776556000009,"Portage City, Precinct 9",9,8,0
776556000010,"Portage City, Precinct 10",14,21,0
776556000011,"Portage City, Precinct 11",20,14,0
776556000012,"Portage City, Precinct 12",6,10,0
776556000013,"Portage City, Precinct 13",22,18,0
776826000001,"Richland Township, Precinct 1",11,11,0
776826000002,"Richland Township, Precinct 2",12,14,0
776982000001,"Ross Township, Precinct 1",11,6,0
776982000002,"Ross Township, Precinct 2",1,9,0
777930000001,"Texas Charter Township, Precinct 1",6,7,0
777930000002,"Texas Charter Township, Precinct 2",1,7,0
777930000003,"Texas Charter Township, Precinct 3",14,10,0
777930000004,"Texas Charter Township, Precinct 4",19,25,0
777930000005,"Texas Charter Township, Precinct 5",21,25,0
777930000006,"Texas Charter Township, Precinct 6",4,11,0
