id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
770084000001,"Alamo Township, Precinct 1",1,0,0,0
770084000002,"Alamo Township, Precinct 2",8,0,4,0
770992000001,"Brady Charter Township, Precinct 1",5,0,4,0
770992000002,"Brady Charter Township, Precinct 2",1,0,0,0
771472000001,"Charleston Township, Precinct 1",1,0,0,0
771646000001,"Climax Township, Precinct 1",4,0,5,0
771768000001,"Comstock Charter Township, Precinct 1",14,0,3,0
771768000002,"Comstock Charter Township, Precinct 2",32,0,4,0
771768000003,"Comstock Charter Township, Precinct 3",2,0,6,0
771768000004,"Comstock Charter Township, Precinct 4",14,0,3,0
771768000005,"Comstock Charter Township, Precinct 5",23,1,13,0
771768000006,"Comstock Charter Township, Precinct 6",3,0,9,0
771798000001,"Cooper Charter Township, Precinct 1",11,1,5,0
771798000002,"Cooper Charter Township, Precinct 2",5,2,6,0
771798000003,"Cooper Charter Township, Precinct 3",11,0,11,0
771798000004,"Cooper Charter Township, Precinct 4",20,2,11,0
773126000001,"Galesburg City, Precinct 1",1,0,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",1,0,0,0
774218000002,"Kalamazoo Charter Township, Precinct 2",45,2,17,0
774218000003,"Kalamazoo Charter Township, Precinct 3",55,0,10,0
774218000004,"Kalamazoo Charter Township, Precinct 4",53,0,8,0
774218000005,"Kalamazoo Charter Township, Precinct 5",15,1,4,0
774218000006,"Kalamazoo Charter Township, Precinct 6",13,0,7,0
774216000002,"Kalamazoo City, Precinct 2",35,1,2,0
774216000003,"Kalamazoo City, Precinct 3",53,0,3,0
774216000004,"Kalamazoo City, Precinct 4",22,2,6,0
774216000005,"Kalamazoo City, Precinct 5",49,0,9,0
774216000006,"Kalamazoo City, Precinct 6",15,0,7,0
774216000007,"Kalamazoo City, Precinct 7",32,0,22,0
774216000008,"Kalamazoo City, Precinct 8",22,2,11,0
774216000009,"Kalamazoo City, Precinct 9",45,0,6,0
774216000010,"Kalamazoo City, Precinct 10",13,0,3,0
774216000011,"Kalamazoo City, Precinct 11",1,1,4,0
774216000012,"Kalamazoo City, Precinct 12",24,0,4,0
774216000013,"Kalamazoo City, Precinct 13",22,0,4,0
774216000014,"Kalamazoo City, Precinct 14",41,0,11,0
774216000015,"Kalamazoo City, Precinct 15",11,1,9,0
774216000016,"Kalamazoo City, Precinct 16",28,0,3,0
774216000017,"Kalamazoo City, Precinct 17",16,0,7,0
774216000018,"Kalamazoo City, Precinct 18",13,0,4,0
774216000019,"Kalamazoo City, Precinct 19",21,0,5,0
774216000020,"Kalamazoo City, Precinct 20",15,0,2,0
774216000021,"Kalamazoo City, Precinct 21",11,0,7,0
776140000001,"Oshtemo Charter Township, Precinct 1",3,1,0,0
776140000002,"Oshtemo Charter Township, Precinct 2",8,0,7,0
776140000003,"Oshtemo Charter Township, Precinct 3",23,0,2,0
776140000004,"Oshtemo Charter Township, Precinct 4",11,1,3,0
776140000005,"Oshtemo Charter Township, Precinct 5",24,0,6,0
776140000006,"Oshtemo Charter Township, Precinct 6",3,0,2,0
776140000007,"Oshtemo Charter Township, Precinct 7",5,0,6,0
776140000008,"Oshtemo Charter Township, Precinct 8",8,0,2,0
776140000009,"Oshtemo Charter Township, Precinct 9",27,0,5,0
776234000001,"Parchment City, Precinct 1",1,0,2,0
776296000001,"Charter Township of Pavilion, Precinct 1",22,1,10,0
776296000002,"Charter Township of Pavilion, Precinct 2",4,0,6,0
776296000003,"Charter Township of Pavilion, Precinct 3",7,0,3,0
776556000001,"Portage City, Precinct 1",30,0,15,0
776556000002,"Portage City, Precinct 2",7,0,3,0
776556000003,"Portage City, Precinct 3",31,0,22,0
776556000004,"Portage City, Precinct 4",35,1,5,0
776556000005,"Portage City, Precinct 5",23,0,13,0
776556000006,"Portage City, Precinct 6",26,2,18,0
776556000007,"Portage City, Precinct 7",26,0,12,0
776556000008,"Portage City, Precinct 8",46,2,10,0
776556000009,"Portage City, Precinct 9",13,0,5,0
776556000010,"Portage City, Precinct 10",20,0,16,0
776556000011,"Portage City, Precinct 11",29,1,5,0
776556000012,"Portage City, Precinct 12",14,0,2,0
776556000013,"Portage City, Precinct 13",32,1,7,0
776620000001,"Prairie Ronde Township, Precinct 1",6,2,1,0
776826000001,"Richland Township, Precinct 1",16,1,6,0
776826000002,"Richland Township, Precinct 2",18,0,8,0
776982000001,"Ross Township, Precinct 1",18,0,0,0
776982000002,"Ross Township, Precinct 2",5,1,4,0
777188000001,"Schoolcraft Township, Precinct 1",11,0,3,0
777188000002,"Schoolcraft Township, Precinct 2",1,0,1,0
777188000003,"Schoolcraft Township, Precinct 3",10,0,2,0
777188000004,"Schoolcraft Township, Precinct 4",4,0,4,0
777930000001,"Texas Charter Township, Precinct 1",10,0,3,0
777930000002,"Texas Charter Township, Precinct 2",7,0,2,0
777930000003,"Texas Charter Township, Precinct 3",21,0,4,0
777930000004,"Texas Charter Township, Precinct 4",32,0,16,0
777930000005,"Texas Charter Township, Precinct 5",40,0,8,0
777930000006,"Texas Charter Township, Precinct 6",12,0,4,0
778284000001,"Wakeshma Township, Precinct 1",0,0,1,0
