id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
770084000001,"Alamo Township, Precinct 1",18,55,42,9,0
770084000002,"Alamo Township, Precinct 2",29,96,60,14,1
770992000001,"Brady Charter Township, Precinct 1",19,87,55,7,0
770992000002,"Brady Charter Township, Precinct 2",15,57,57,6,0
771472000001,"Charleston Township, Precinct 1",39,70,45,7,0
771646000001,"Climax Township, Precinct 1",17,59,45,3,0
771768000001,"Comstock Charter Township, Precinct 1",19,57,62,6,0
771768000002,"Comstock Charter Township, Precinct 2",14,40,28,5,1
771768000003,"Comstock Charter Township, Precinct 3",13,33,47,2,0
771768000004,"Comstock Charter Township, Precinct 4",15,66,33,2,0
771768000005,"Comstock Charter Township, Precinct 5",20,70,56,3,1
771768000006,"Comstock Charter Township, Precinct 6",16,51,38,3,1
771798000001,"Cooper Charter Township, Precinct 1",15,38,21,3,0
771798000002,"Cooper Charter Township, Precinct 2",9,42,31,7,1
771798000003,"Cooper Charter Township, Precinct 3",18,82,71,12,0
771798000004,"Cooper Charter Township, Precinct 4",30,117,91,18,0
773126000001,"Galesburg City, Precinct 1",0,0,0,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",3,4,4,0,0
774218000002,"Kalamazoo Charter Township, Precinct 2",25,78,40,8,0
774218000003,"Kalamazoo Charter Township, Precinct 3",26,86,44,8,0
774218000004,"Kalamazoo Charter Township, Precinct 4",10,35,27,2,0
774218000005,"Kalamazoo Charter Township, Precinct 5",6,24,19,2,0
774218000006,"Kalamazoo Charter Township, Precinct 6",14,23,16,1,0
774216000002,"Kalamazoo City, Precinct 2",0,6,6,0,0
774216000003,"Kalamazoo City, Precinct 3",7,24,8,1,0
774216000004,"Kalamazoo City, Precinct 4",12,23,19,2,0
774216000005,"Kalamazoo City, Precinct 5",9,31,11,1,1
774216000006,"Kalamazoo City, Precinct 6",7,30,33,5,0
774216000007,"Kalamazoo City, Precinct 7",3,9,3,2,0
774216000008,"Kalamazoo City, Precinct 8",0,10,2,3,0
774216000009,"Kalamazoo City, Precinct 9",7,43,11,2,0
774216000010,"Kalamazoo City, Precinct 10",7,28,30,2,0
774216000011,"Kalamazoo City, Precinct 11",4,3,2,1,0
774216000012,"Kalamazoo City, Precinct 12",3,31,16,8,0
774216000013,"Kalamazoo City, Precinct 13",5,7,8,1,0
774216000014,"Kalamazoo City, Precinct 14",16,57,26,4,1
774216000015,"Kalamazoo City, Precinct 15",2,11,3,0,0
774216000016,"Kalamazoo City, Precinct 16",7,25,10,1,0
774216000017,"Kalamazoo City, Precinct 17",13,23,10,0,0
774216000018,"Kalamazoo City, Precinct 18",5,14,11,2,0
774216000019,"Kalamazoo City, Precinct 19",11,19,9,2,0
774216000020,"Kalamazoo City, Precinct 20",9,28,17,3,0
774216000021,"Kalamazoo City, Precinct 21",16,38,18,3,0
776140000001,"Oshtemo Charter Township, Precinct 1",13,58,41,8,0
776140000002,"Oshtemo Charter Township, Precinct 2",30,73,50,8,0
776140000003,"Oshtemo Charter Township, Precinct 3",14,59,32,3,1
776140000004,"Oshtemo Charter Township, Precinct 4",16,62,46,9,0
776140000005,"Oshtemo Charter Township, Precinct 5",21,75,58,12,1
776140000006,"Oshtemo Charter Township, Precinct 6",16,38,16,6,0
776140000007,"Oshtemo Charter Township, Precinct 7",14,49,35,5,0
776140000008,"Oshtemo Charter Township, Precinct 8",15,25,16,5,0
776140000009,"Oshtemo Charter Township, Precinct 9",13,61,30,8,0
776234000001,"Parchment City, Precinct 1",0,0,0,0,0
776296000001,"Charter Township of Pavilion, Precinct 1",24,71,50,5,0
776296000002,"Charter Township of Pavilion, Precinct 2",8,32,37,3,1
776296000003,"Charter Township of Pavilion, Precinct 3",5,23,28,2,0
776556000001,"Portage City, Precinct 1",23,48,27,7,0
776556000002,"Portage City, Precinct 2",7,11,14,0,0
776556000003,"Portage City, Precinct 3",49,117,105,16,0
776556000004,"Portage City, Precinct 4",34,139,97,9,0
776556000005,"Portage City, Precinct 5",61,182,98,3,2
776556000006,"Portage City, Precinct 6",16,67,35,3,0
776556000007,"Portage City, Precinct 7",18,91,63,4,0
776556000008,"Portage City, Precinct 8",24,115,53,11,2
776556000009,"Portage City, Precinct 9",20,51,28,8,0
776556000010,"Portage City, Precinct 10",32,184,97,9,0
776556000011,"Portage City, Precinct 11",11,71,41,3,0
776556000012,"Portage City, Precinct 12",12,51,25,3,1
776556000013,"Portage City, Precinct 13",32,85,33,8,0
776620000001,"Prairie Ronde Township, Precinct 1",17,97,54,6,0
776826000001,"Richland Township, Precinct 1",23,122,73,10,0
776826000002,"Richland Township, Precinct 2",55,172,90,9,2
776982000001,"Ross Township, Precinct 1",25,74,56,4,0
776982000002,"Ross Township, Precinct 2",37,151,67,10,0
777188000001,"Schoolcraft Township, Precinct 1",16,72,53,8,0
777188000002,"Schoolcraft Township, Precinct 2",10,27,17,8,1
777188000003,"Schoolcraft Township, Precinct 3",29,90,58,4,1
777188000004,"Schoolcraft Township, Precinct 4",9,61,33,4,0
777930000001,"Texas Charter Township, Precinct 1",27,91,40,9,0
777930000002,"Texas Charter Township, Precinct 2",24,82,44,7,0
777930000003,"Texas Charter Township, Precinct 3",24,60,33,2,0
777930000004,"Texas Charter Township, Precinct 4",22,106,34,7,0
777930000005,"Texas Charter Township, Precinct 5",31,137,63,10,0
777930000006,"Texas Charter Township, Precinct 6",29,111,62,11,0
778284000001,"Wakeshma Township, Precinct 1",0,0,0,0,0
