id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
770084000001,"Alamo Township, Precinct 1",0,0,0,0,0
770084000002,"Alamo Township, Precinct 2",0,1,0,0,0
770992000001,"Brady Charter Township, Precinct 1",0,3,1,0,0
770992000002,"Brady Charter Township, Precinct 2",1,4,8,0,0
771472000001,"Charleston Township, Precinct 1",1,0,1,1,0
771646000001,"Climax Township, Precinct 1",0,13,6,0,0
771768000001,"Comstock Charter Township, Precinct 1",0,8,5,0,0
771768000002,"Comstock Charter Township, Precinct 2",2,7,12,1,0
771768000003,"Comstock Charter Township, Precinct 3",2,7,5,0,0
771768000004,"Comstock Charter Township, Precinct 4",0,5,1,1,0
771768000005,"Comstock Charter Township, Precinct 5",0,2,4,0,0
771768000006,"Comstock Charter Township, Precinct 6",0,6,1,0,0
771798000001,"Cooper Charter Township, Precinct 1",1,6,8,1,0
771798000002,"Cooper Charter Township, Precinct 2",0,7,1,0,0
771798000003,"Cooper Charter Township, Precinct 3",1,4,2,1,0
771798000004,"Cooper Charter Township, Precinct 4",0,24,6,2,0
773126000001,"Galesburg City, Precinct 1",0,2,1,0,0
774218000001,"Kalamazoo Charter Township, Precinct 1",0,5,0,0,0
774218000002,"Kalamazoo Charter Township, Precinct 2",4,3,5,0,0
774218000003,"Kalamazoo Charter Township, Precinct 3",0,3,1,0,0
774218000004,"Kalamazoo Charter Township, Precinct 4",0,3,0,0,0
774218000005,"Kalamazoo Charter Township, Precinct 5",0,1,0,0,0
774218000006,"Kalamazoo Charter Township, Precinct 6",0,1,3,0,0
774216000002,"Kalamazoo City, Precinct 2",0,2,0,0,0
774216000003,"Kalamazoo City, Precinct 3",0,1,1,0,0
774216000004,"Kalamazoo City, Precinct 4",1,0,0,0,0
774216000005,"Kalamazoo City, Precinct 5",0,3,1,0,0
774216000006,"Kalamazoo City, Precinct 6",0,1,0,0,0
774216000007,"Kalamazoo City, Precinct 7",0,1,4,0,0
774216000008,"Kalamazoo City, Precinct 8",0,0,0,0,0
774216000009,"Kalamazoo City, Precinct 9",0,1,0,0,0
774216000010,"Kalamazoo City, Precinct 10",0,3,0,0,0
774216000011,"Kalamazoo City, Precinct 11",0,1,0,0,0
774216000012,"Kalamazoo City, Precinct 12",0,0,0,0,0
774216000013,"Kalamazoo City, Precinct 13",0,2,1,0,0
774216000014,"Kalamazoo City, Precinct 14",0,1,2,0,0
774216000015,"Kalamazoo City, Precinct 15",0,1,0,0,0
774216000016,"Kalamazoo City, Precinct 16",1,0,1,0,0
774216000017,"Kalamazoo City, Precinct 17",0,0,0,0,0
774216000018,"Kalamazoo City, Precinct 18",0,6,0,0,0
774216000019,"Kalamazoo City, Precinct 19",0,0,1,0,0
774216000020,"Kalamazoo City, Precinct 20",0,2,1,0,0
774216000021,"Kalamazoo City, Precinct 21",0,2,0,0,0
776140000001,"Oshtemo Charter Township, Precinct 1",1,1,1,0,0
776140000002,"Oshtemo Charter Township, Precinct 2",0,2,0,0,0
776140000003,"Oshtemo Charter Township, Precinct 3",0,1,2,0,0
776140000004,"Oshtemo Charter Township, Precinct 4",0,1,0,0,0
776140000005,"Oshtemo Charter Township, Precinct 5",0,3,1,0,0
776140000006,"Oshtemo Charter Township, Precinct 6",1,0,0,0,0
776140000007,"Oshtemo Charter Township, Precinct 7",0,1,0,0,0
776140000008,"Oshtemo Charter Township, Precinct 8",0,0,1,0,0
776140000009,"Oshtemo Charter Township, Precinct 9",0,4,0,0,0
776234000001,"Parchment City, Precinct 1",0,2,0,0,0
776296000001,"Charter Township of Pavilion, Precinct 1",1,18,12,0,0
776296000002,"Charter Township of Pavilion, Precinct 2",1,12,3,0,0
776296000003,"Charter Township of Pavilion, Precinct 3",0,7,3,0,0
776556000001,"Portage City, Precinct 1",0,5,4,0,0
776556000002,"Portage City, Precinct 2",0,0,0,0,0
776556000003,"Portage City, Precinct 3",0,12,11,0,0
776556000004,"Portage City, Precinct 4",3,12,2,0,0
776556000005,"Portage City, Precinct 5",1,10,4,2,0
776556000006,"Portage City, Precinct 6",0,6,3,0,0
776556000007,"Portage City, Precinct 7",1,5,1,1,0
776556000008,"Portage City, Precinct 8",2,6,1,0,0
776556000009,"Portage City, Precinct 9",0,1,1,0,0
776556000010,"Portage City, Precinct 10",2,9,8,0,0
776556000011,"Portage City, Precinct 11",1,6,2,0,0
776556000012,"Portage City, Precinct 12",0,4,1,0,0
776556000013,"Portage City, Precinct 13",1,3,4,0,0
776620000001,"Prairie Ronde Township, Precinct 1",0,3,0,2,0
776826000001,"Richland Township, Precinct 1",1,9,3,0,0
776826000002,"Richland Township, Precinct 2",0,4,5,0,0
776982000001,"Ross Township, Precinct 1",1,6,1,0,0
776982000002,"Ross Township, Precinct 2",0,4,0,0,0
777188000001,"Schoolcraft Township, Precinct 1",0,2,1,0,0
777188000002,"Schoolcraft Township, Precinct 2",0,0,0,0,0
777188000003,"Schoolcraft Township, Precinct 3",0,8,4,0,0
777188000004,"Schoolcraft Township, Precinct 4",0,1,1,0,0
777930000001,"Texas Charter Township, Precinct 1",1,7,0,0,0
777930000002,"Texas Charter Township, Precinct 2",0,1,2,0,0
777930000003,"Texas Charter Township, Precinct 3",0,1,1,0,0
777930000004,"Texas Charter Township, Precinct 4",0,6,2,0,0
777930000005,"Texas Charter Township, Precinct 5",0,9,0,0,0
777930000006,"Texas Charter Township, Precinct 6",0,2,0,0,0
778284000001,"Wakeshma Township, Precinct 1",0,0,0,0,0
