id,name,Bill Huizenga,Philip Tanis,Write-in
770084000001,"Alamo Township, Precinct 1",229,17,0
770084000002,"Alamo Township, Precinct 2",363,40,1
771472000001,"Charleston Township, Precinct 1",257,31,0
771646000001,"Climax Township, Precinct 1",301,48,0
771768000001,"Comstock Charter Township, Precinct 1",261,30,0
771768000002,"Comstock Charter Township, Precinct 2",168,33,1
771768000003,"Comstock Charter Township, Precinct 3",179,26,1
771768000004,"Comstock Charter Township, Precinct 4",216,27,1
771768000005,"Comstock Charter Township, Precinct 5",247,30,1
771768000006,"Comstock Charter Township, Precinct 6",183,28,2
771798000001,"Cooper Charter Township, Precinct 1",172,21,0
771798000002,"Cooper Charter Township, Precinct 2",174,34,2
771798000003,"Cooper Charter Township, Precinct 3",296,45,4
771798000004,"Cooper Charter Township, Precinct 4",446,48,0
773126000001,"Galesburg City, Precinct 1",85,12,1
774218000001,"Kalamazoo Charter Township, Precinct 1",27,10,0
774218000002,"Kalamazoo Charter Township, Precinct 2",293,29,1
774218000003,"Kalamazoo Charter Township, Precinct 3",255,24,1
774218000004,"Kalamazoo Charter Township, Precinct 4",152,14,0
774218000005,"Kalamazoo Charter Township, Precinct 5",93,12,0
774218000006,"Kalamazoo Charter Township, Precinct 6",114,19,0
774216000002,"Kalamazoo City, Precinct 2",16,2,0
774216000003,"Kalamazoo City, Precinct 3",55,10,0
774216000004,"Kalamazoo City, Precinct 4",74,10,0
774216000005,"Kalamazoo City, Precinct 5",72,9,1
774216000006,"Kalamazoo City, Precinct 6",120,9,0
774216000007,"Kalamazoo City, Precinct 7",29,8,1
774216000008,"Kalamazoo City, Precinct 8",23,8,0
774216000009,"Kalamazoo City, Precinct 9",100,9,0
774216000010,"Kalamazoo City, Precinct 10",124,22,0
774216000011,"Kalamazoo City, Precinct 11",20,4,0
774216000012,"Kalamazoo City, Precinct 12",102,21,0
774216000013,"Kalamazoo City, Precinct 13",55,15,0
774216000014,"Kalamazoo City, Precinct 14",149,12,1
774216000015,"Kalamazoo City, Precinct 15",34,9,1
774216000016,"Kalamazoo City, Precinct 16",80,19,0
774216000017,"Kalamazoo City, Precinct 17",81,16,0
774216000018,"Kalamazoo City, Precinct 18",77,14,1
774216000019,"Kalamazoo City, Precinct 19",68,5,1
774216000020,"Kalamazoo City, Precinct 20",97,16,1
774216000021,"Kalamazoo City, Precinct 21",128,12,0
776140000001,"Oshtemo Charter Township, Precinct 1",229,20,1
776140000002,"Oshtemo Charter Township, Precinct 2",259,33,0
776140000003,"Oshtemo Charter Township, Precinct 3",163,13,0
776140000004,"Oshtemo Charter Township, Precinct 4",167,16,0
776140000005,"Oshtemo Charter Township, Precinct 5",197,29,1
776140000006,"Oshtemo Charter Township, Precinct 6",126,12,0
776140000007,"Oshtemo Charter Township, Precinct 7",161,12,0
776140000008,"Oshtemo Charter Township, Precinct 8",81,9,0
776140000009,"Oshtemo Charter Township, Precinct 9",176,23,0
776234000001,"Parchment City, Precinct 1",112,16,0
776296000001,"Charter Township of Pavilion, Precinct 1",291,28,1
776296000002,"Charter Township of Pavilion, Precinct 2",178,22,0
776296000003,"Charter Township of Pavilion, Precinct 3",131,17,2
776556000001,"Portage City, Precinct 1",188,36,1
776556000002,"Portage City, Precinct 2",59,7,0
776556000003,"Portage City, Precinct 3",460,45,0
776556000004,"Portage City, Precinct 4",478,48,0
776556000005,"Portage City, Precinct 5",505,56,1
776556000006,"Portage City, Precinct 6",192,39,3
776556000007,"Portage City, Precinct 7",262,38,0
776556000008,"Portage City, Precinct 8",339,46,4
776556000009,"Portage City, Precinct 9",165,21,0
776556000010,"Portage City, Precinct 10",452,46,0
776556000011,"Portage City, Precinct 11",206,21,0
776556000012,"Portage City, Precinct 12",135,25,1
776556000013,"Portage City, Precinct 13",296,37,0
776826000001,"Richland Township, Precinct 1",399,56,0
776826000002,"Richland Township, Precinct 2",524,59,1
776982000001,"Ross Township, Precinct 1",278,36,0
776982000002,"Ross Township, Precinct 2",406,44,0
777930000001,"Texas Charter Township, Precinct 1",310,29,0
777930000002,"Texas Charter Township, Precinct 2",287,21,0
777930000003,"Texas Charter Township, Precinct 3",179,18,0
777930000004,"Texas Charter Township, Precinct 4",268,31,0
777930000005,"Texas Charter Township, Precinct 5",357,48,0
777930000006,"Texas Charter Township, Precinct 6",390,53,1
