id,name,Mike Rogers,Write-in
770084000001,"Alamo Township, Precinct 1",233,1
770084000002,"Alamo Township, Precinct 2",390,3
770992000001,"Brady Charter Township, Precinct 1",280,0
770992000002,"Brady Charter Township, Precinct 2",312,1
771472000001,"Charleston Township, Precinct 1",275,3
771646000001,"Climax Township, Precinct 1",336,0
771768000001,"Comstock Charter Township, Precinct 1",278,3
771768000002,"Comstock Charter Township, Precinct 2",191,0
771768000003,"Comstock Charter Township, Precinct 3",202,2
771768000004,"Comstock Charter Township, Precinct 4",228,2
771768000005,"Comstock Charter Township, Precinct 5",269,1
771768000006,"Comstock Charter Township, Precinct 6",195,2
771798000001,"Cooper Charter Township, Precinct 1",189,1
771798000002,"Cooper Charter Township, Precinct 2",200,3
771798000003,"Cooper Charter Township, Precinct 3",330,5
771798000004,"Cooper Charter Township, Precinct 4",475,3
773126000001,"Galesburg City, Precinct 1",92,2
774218000001,"Kalamazoo Charter Township, Precinct 1",36,1
774218000002,"Kalamazoo Charter Township, Precinct 2",309,4
774218000003,"Kalamazoo Charter Township, Precinct 3",273,2
774218000004,"Kalamazoo Charter Township, Precinct 4",156,1
774218000005,"Kalamazoo Charter Township, Precinct 5",102,1
774218000006,"Kalamazoo Charter Township, Precinct 6",129,1
774216000002,"Kalamazoo City, Precinct 2",18,0
774216000003,"Kalamazoo City, Precinct 3",63,0
774216000004,"Kalamazoo City, Precinct 4",80,0
774216000005,"Kalamazoo City, Precinct 5",78,1
774216000006,"Kalamazoo City, Precinct 6",124,0
774216000007,"Kalamazoo City, Precinct 7",35,1
774216000008,"Kalamazoo City, Precinct 8",27,0
774216000009,"Kalamazoo City, Precinct 9",105,1
774216000010,"Kalamazoo City, Precinct 10",137,2
774216000011,"Kalamazoo City, Precinct 11",24,0
774216000012,"Kalamazoo City, Precinct 12",122,1
774216000013,"Kalamazoo City, Precinct 13",65,2
774216000014,"Kalamazoo City, Precinct 14",154,2
774216000015,"Kalamazoo City, Precinct 15",40,2
774216000016,"Kalamazoo City, Precinct 16",94,0
774216000017,"Kalamazoo City, Precinct 17",95,1
774216000018,"Kalamazoo City, Precinct 18",87,1
774216000019,"Kalamazoo City, Precinct 19",73,0
774216000020,"Kalamazoo City, Precinct 20",110,1
774216000021,"Kalamazoo City, Precinct 21",133,1
776140000001,"Oshtemo Charter Township, Precinct 1",241,2
776140000002,"Oshtemo Charter Township, Precinct 2",270,1
776140000003,"Oshtemo Charter Township, Precinct 3",176,0
776140000004,"Oshtemo Charter Township, Precinct 4",178,0
776140000005,"Oshtemo Charter Township, Precinct 5",215,0
776140000006,"Oshtemo Charter Township, Precinct 6",131,0
776140000007,"Oshtemo Charter Township, Precinct 7",165,0
776140000008,"Oshtemo Charter Township, Precinct 8",85,1
776140000009,"Oshtemo Charter Township, Precinct 9",188,0
776234000001,"Parchment City, Precinct 1",120,1
776296000001,"Charter Township of Pavilion, Precinct 1",294,0
776296000002,"Charter Township of Pavilion, Precinct 2",199,0
776296000003,"Charter Township of Pavilion, Precinct 3",142,2
776556000001,"Portage City, Precinct 1",213,2
776556000002,"Portage City, Precinct 2",63,0
776556000003,"Portage City, Precinct 3",480,1
776556000004,"Portage City, Precinct 4",508,1
776556000005,"Portage City, Precinct 5",531,3
776556000006,"Portage City, Precinct 6",219,2
776556000007,"Portage City, Precinct 7",284,0
776556000008,"Portage City, Precinct 8",373,2
776556000009,"Portage City, Precinct 9",180,2
776556000010,"Portage City, Precinct 10",478,2
776556000011,"Portage City, Precinct 11",222,0
776556000012,"Portage City, Precinct 12",154,1
776556000013,"Portage City, Precinct 13",318,1
776620000001,"Prairie Ronde Township, Precinct 1",340,1
776826000001,"Richland Township, Precinct 1",444,0
776826000002,"Richland Township, Precinct 2",571,2
776982000001,"Ross Township, Precinct 1",303,1
776982000002,"Ross Township, Precinct 2",436,3
777188000001,"Schoolcraft Township, Precinct 1",236,1
777188000002,"Schoolcraft Township, Precinct 2",118,1
777188000003,"Schoolcraft Township, Precinct 3",306,3
777188000004,"Schoolcraft Township, Precinct 4",185,0
777930000001,"Texas Charter Township, Precinct 1",327,0
777930000002,"Texas Charter Township, Precinct 2",299,0
777930000003,"Texas Charter Township, Precinct 3",185,1
777930000004,"Texas Charter Township, Precinct 4",292,3
777930000005,"Texas Charter Township, Precinct 5",384,2
777930000006,"Texas Charter Township, Precinct 6",412,2
778284000001,"Wakeshma Township, Precinct 1",163,0
