id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
810024000001,"Ada Township, Precinct 1",28,2,1
810024000002,"Ada Township, Precinct 2",28,2,0
810024000003,"Ada Township, Precinct 3",33,3,0
810024000004,"Ada Township, Precinct 4",21,0,0
810024000005,"Ada Township, Precinct 5",25,1,0
810024000006,"Ada Township, Precinct 6",46,5,0
810116000001,"Algoma Township, Precinct 1",8,3,0
810116000002,"Algoma Township, Precinct 2",11,3,0
810116000003,"Algoma Township, Precinct 3",11,2,0
810116000004,"Algoma Township, Precinct 4",9,0,0
810116000005,"Algoma Township, Precinct 5",23,2,0
810184000001,"Alpine Township, Precinct 1",17,2,0
810184000002,"Alpine Township, Precinct 2",13,2,0
810184000003,"Alpine Township, Precinct 3",31,1,0
810184000004,"Alpine Township, Precinct 4",10,2,0
810184000005,"Alpine Township, Precinct 5",3,0,0
810184000006,"Alpine Township, Precinct 6",13,3,0
810978000001,"Bowne Township, Precinct 1",17,3,0
811224000001,"Byron Township, Precinct 1",16,5,0
811224000002,"Byron Township, Precinct 2",23,2,0
811224000003,"Byron Township, Precinct 3",6,1,0
811224000004,"Byron Township, Precinct 4",10,3,0
811224000005,"Byron Township, Precinct 5",12,3,0
811224000006,"Byron Township, Precinct 6",11,2,0
811224000007,"Byron Township, Precinct 7",4,2,0
811224000008,"Byron Township, Precinct 8",22,4,0
811250000001,"Caledonia Charter Township, Precinct 1",8,3,0
811250000002,"Caledonia Charter Township, Precinct 2",12,2,0
811250000003,"Caledonia Charter Township, Precinct 3",5,1,0
811250000004,"Caledonia Charter Township, Precinct 4",2,4,0
811250000005,"Caledonia Charter Township, Precinct 5",35,5,0
811250000006,"Caledonia Charter Township, Precinct 6",20,0,0
811308000001,"Cannon Township, Precinct 1",30,8,1
811308000002,"Cannon Township, Precinct 2",71,6,0
811308000003,"Cannon Township, Precinct 3",48,8,0
811308000004,"Cannon Township, Precinct 4",65,3,0
811366000001,"Cascade Charter Township, Precinct 1",47,5,0
811366000002,"Cascade Charter Township, Precinct 2",40,6,0
811366000003,"Cascade Charter Township, Precinct 3",91,14,0
811366000004,"Cascade Charter Township, Precinct 4",43,8,0
811366000005,"Cascade Charter Township, Precinct 5",55,6,0
811420000001,"Cedar Springs City, Precinct 1",12,8,0
811850000001,"Courtland Township, Precinct 1",21,2,0
811850000002,"Courtland Township, Precinct 2",25,4,0
811850000003,"Courtland Township, Precinct 3",24,3,0
