id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
810024000001,"Ada Township, Precinct 1",311,29,2
810024000002,"Ada Township, Precinct 2",514,49,0
810024000003,"Ada Township, Precinct 3",500,40,2
810024000004,"Ada Township, Precinct 4",231,16,0
810024000005,"Ada Township, Precinct 5",320,39,1
810024000006,"Ada Township, Precinct 6",519,51,0
810116000001,"Algoma Township, Precinct 1",175,24,0
810116000002,"Algoma Township, Precinct 2",218,28,0
810116000003,"Algoma Township, Precinct 3",243,40,0
810116000004,"Algoma Township, Precinct 4",259,43,2
810116000005,"Algoma Township, Precinct 5",460,63,0
810184000001,"Alpine Township, Precinct 1",191,27,1
810184000002,"Alpine Township, Precinct 2",238,37,3
810184000003,"Alpine Township, Precinct 3",456,54,1
810184000004,"Alpine Township, Precinct 4",315,45,1
810184000005,"Alpine Township, Precinct 5",118,21,1
810184000006,"Alpine Township, Precinct 6",183,37,3
810978000001,"Bowne Township, Precinct 1",227,54,0
811224000001,"Byron Township, Precinct 1",371,42,2
811224000002,"Byron Township, Precinct 2",448,62,1
811224000003,"Byron Township, Precinct 3",210,40,1
811224000004,"Byron Township, Precinct 4",223,38,3
811224000005,"Byron Township, Precinct 5",318,41,0
811224000006,"Byron Township, Precinct 6",260,28,2
811224000007,"Byron Township, Precinct 7",358,42,0
811224000008,"Byron Township, Precinct 8",418,45,2
811250000001,"Caledonia Charter Township, Precinct 1",199,38,1
811250000002,"Caledonia Charter Township, Precinct 2",329,32,2
811250000003,"Caledonia Charter Township, Precinct 3",289,44,0
811250000004,"Caledonia Charter Township, Precinct 4",164,31,2
811250000005,"Caledonia Charter Township, Precinct 5",394,64,2
811250000006,"Caledonia Charter Township, Precinct 6",375,58,3
811308000001,"Cannon Township, Precinct 1",489,59,2
811308000002,"Cannon Township, Precinct 2",621,77,2
811308000003,"Cannon Township, Precinct 3",563,59,4
811308000004,"Cannon Township, Precinct 4",482,38,0
811366000001,"Cascade Charter Township, Precinct 1",792,56,0
811366000002,"Cascade Charter Township, Precinct 2",705,86,2
811366000003,"Cascade Charter Township, Precinct 3",1056,127,2
811366000004,"Cascade Charter Township, Precinct 4",695,101,0
811366000005,"Cascade Charter Township, Precinct 5",759,79,2
811420000001,"Cedar Springs City, Precinct 1",239,78,3
811850000001,"Courtland Township, Precinct 1",356,49,2
811850000002,"Courtland Township, Precinct 2",497,67,0
811850000003,"Courtland Township, Precinct 3",335,54,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",1016,95,1
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",1026,94,6
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",1084,101,7
813124000001,"Gaines Charter Township, Precinct 1",284,44,2
813124000002,"Gaines Charter Township, Precinct 2",323,41,0
813124000003,"Gaines Charter Township, Precinct 3",261,36,0
813124000004,"Gaines Charter Township, Precinct 4",182,41,0
813124000005,"Gaines Charter Township, Precinct 5",334,58,1
813124000006,"Gaines Charter Township, Precinct 6",301,39,3
813124000007,"Gaines Charter Township, Precinct 7",467,74,0
813124000008,"Gaines Charter Township, Precinct 8",309,61,1
813124000009,"Gaines Charter Township, Precinct 9",319,31,0
813402000001,"Grand Rapids Charter Township, Precinct 1",804,66,7
813402000002,"Grand Rapids Charter Township, Precinct 2",267,34,3
813402000003,"Grand Rapids Charter Township, Precinct 3",515,40,1
813402000004,"Grand Rapids Charter Township, Precinct 4",752,92,5
813402000005,"Grand Rapids Charter Township, Precinct 5",444,83,3
813402000006,"Grand Rapids Charter Township, Precinct 6",618,68,3
813400001001,"Grand Rapids City, Ward 1, Precinct 1",402,109,4
813400001002,"Grand Rapids City, Ward 1, Precinct 2",494,93,4
813400001003,"Grand Rapids City, Ward 1, Precinct 3",660,58,1
813400001004,"Grand Rapids City, Ward 1, Precinct 4",594,59,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",555,70,1
813400001006,"Grand Rapids City, Ward 1, Precinct 6",354,44,1
813400001007,"Grand Rapids City, Ward 1, Precinct 7",855,104,1
813400001008,"Grand Rapids City, Ward 1, Precinct 8",432,74,4
813400001009,"Grand Rapids City, Ward 1, Precinct 9",311,73,1
813400001010,"Grand Rapids City, Ward 1, Precinct 10",341,47,1
813400001011,"Grand Rapids City, Ward 1, Precinct 11",497,95,2
813400001012,"Grand Rapids City, Ward 1, Precinct 12",288,51,1
813400001013,"Grand Rapids City, Ward 1, Precinct 13",246,51,2
813400001014,"Grand Rapids City, Ward 1, Precinct 14",447,93,6
