id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
810024000001,"Ada Township, Precinct 1",8,43,19,0,0
810024000002,"Ada Township, Precinct 2",3,83,31,2,0
810024000003,"Ada Township, Precinct 3",13,98,63,1,0
810024000004,"Ada Township, Precinct 4",4,48,36,0,0
810024000005,"Ada Township, Precinct 5",7,112,72,1,0
810024000006,"Ada Township, Precinct 6",7,69,41,0,0
810116000001,"Algoma Township, Precinct 1",6,60,51,1,0
810116000002,"Algoma Township, Precinct 2",22,80,52,0,1
810116000003,"Algoma Township, Precinct 3",16,141,92,2,0
810116000004,"Algoma Township, Precinct 4",9,57,54,3,1
810116000005,"Algoma Township, Precinct 5",10,105,56,1,0
810184000001,"Alpine Township, Precinct 1",10,59,31,1,0
810184000002,"Alpine Township, Precinct 2",9,36,40,0,0
810184000003,"Alpine Township, Precinct 3",8,91,71,3,0
810184000004,"Alpine Township, Precinct 4",6,79,56,2,0
810184000005,"Alpine Township, Precinct 5",6,72,59,3,0
810184000006,"Alpine Township, Precinct 6",0,13,16,1,0
810978000001,"Bowne Township, Precinct 1",16,204,156,5,0
811224000001,"Byron Township, Precinct 1",14,186,70,11,0
811224000002,"Byron Township, Precinct 2",17,125,68,6,0
811224000003,"Byron Township, Precinct 3",9,41,42,2,0
811224000004,"Byron Township, Precinct 4",14,146,97,8,0
811224000005,"Byron Township, Precinct 5",9,144,96,5,0
811224000006,"Byron Township, Precinct 6",7,85,48,3,0
811224000007,"Byron Township, Precinct 7",20,135,53,5,0
811224000008,"Byron Township, Precinct 8",3,93,48,7,0
811250000001,"Caledonia Charter Township, Precinct 1",10,54,30,2,0
811250000002,"Caledonia Charter Township, Precinct 2",16,99,64,1,0
811250000003,"Caledonia Charter Township, Precinct 3",10,117,80,3,1
811250000004,"Caledonia Charter Township, Precinct 4",6,105,54,1,0
811250000005,"Caledonia Charter Township, Precinct 5",15,144,62,0,0
811250000006,"Caledonia Charter Township, Precinct 6",4,43,31,1,0
811308000001,"Cannon Township, Precinct 1",21,131,59,4,0
811308000002,"Cannon Township, Precinct 2",25,172,102,2,0
811308000003,"Cannon Township, Precinct 3",18,171,84,4,1
811308000004,"Cannon Township, Precinct 4",15,154,66,0,1
811366000001,"Cascade Charter Township, Precinct 1",25,130,70,1,1
811366000002,"Cascade Charter Township, Precinct 2",13,157,54,4,0
811366000003,"Cascade Charter Township, Precinct 3",25,200,86,1,0
811366000004,"Cascade Charter Township, Precinct 4",21,202,109,2,1
811366000005,"Cascade Charter Township, Precinct 5",27,138,52,2,0
811420000001,"Cedar Springs City, Precinct 1",18,112,33,0,0
811850000001,"Courtland Township, Precinct 1",13,105,76,4,0
811850000002,"Courtland Township, Precinct 2",29,159,102,5,0
811850000003,"Courtland Township, Precinct 3",16,101,68,4,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",6,79,21,0,0
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",5,62,33,0,0
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",10,80,32,0,0
813124000001,"Gaines Charter Township, Precinct 1",10,170,97,10,0
813124000002,"Gaines Charter Township, Precinct 2",2,68,29,2,0
813124000003,"Gaines Charter Township, Precinct 3",11,93,66,6,0
813124000004,"Gaines Charter Township, Precinct 4",4,53,38,1,0
813124000005,"Gaines Charter Township, Precinct 5",1,35,19,3,0
813124000006,"Gaines Charter Township, Precinct 6",8,106,53,8,0
813124000007,"Gaines Charter Township, Precinct 7",13,149,79,3,0
813124000008,"Gaines Charter Township, Precinct 8",15,60,59,6,0
813124000009,"Gaines Charter Township, Precinct 9",6,52,43,1,0
813402000001,"Grand Rapids Charter Township, Precinct 1",8,131,68,2,0
813402000002,"Grand Rapids Charter Township, Precinct 2",10,53,25,2,0
813402000003,"Grand Rapids Charter Township, Precinct 3",1,69,17,3,0
813402000004,"Grand Rapids Charter Township, Precinct 4",18,123,45,3,0
813402000005,"Grand Rapids Charter Township, Precinct 5",12,82,37,0,0
813402000006,"Grand Rapids Charter Township, Precinct 6",19,143,86,3,0
813400001001,"Grand Rapids City, Ward 1, Precinct 1",5,22,18,2,0
813400001002,"Grand Rapids City, Ward 1, Precinct 2",4,24,15,0,0
813400001003,"Grand Rapids City, Ward 1, Precinct 3",3,44,20,2,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",6,28,15,2,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",12,92,67,1,2
813400001006,"Grand Rapids City, Ward 1, Precinct 6",3,5,7,0,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",10,79,38,5,0
813400001008,"Grand Rapids City, Ward 1, Precinct 8",10,66,68,0,1
813400001009,"Grand Rapids City, Ward 1, Precinct 9",4,15,12,1,0
813400001010,"Grand Rapids City, Ward 1, Precinct 10",3,24,8,0,0
813400001011,"Grand Rapids City, Ward 1, Precinct 11",12,37,22,2,0
813400001012,"Grand Rapids City, Ward 1, Precinct 12",2,13,2,0,0
813400001013,"Grand Rapids City, Ward 1, Precinct 13",0,7,7,0,0
813400001014,"Grand Rapids City, Ward 1, Precinct 14",10,47,35,4,0
813400001015,"Grand Rapids City, Ward 1, Precinct 15",1,2,2,0,0
813400001016,"Grand Rapids City, Ward 1, Precinct 16",7,26,20,1,0
813400001017,"Grand Rapids City, Ward 1, Precinct 17",9,69,46,4,1
813400001018,"Grand Rapids City, Ward 1, Precinct 18",16,105,76,0,1
813400001019,"Grand Rapids City, Ward 1, Precinct 19",4,83,45,1,0
813400001020,"Grand Rapids City, Ward 1, Precinct 20",0,2,4,0,0
813400002021,"Grand Rapids City, Ward 2, Precinct 21",9,20,18,1,0
813400002022,"Grand Rapids City, Ward 2, Precinct 22",8,34,17,0,0
813400002023,"Grand Rapids City, Ward 2, Precinct 23",3,37,32,2,0
813400002024,"Grand Rapids City, Ward 2, Precinct 24",13,39,38,1,0
813400002025,"Grand Rapids City, Ward 2, Precinct 25",8,43,21,1,0
813400002026,"Grand Rapids City, Ward 2, Precinct 26",8,40,14,1,0
813400002027,"Grand Rapids City, Ward 2, Precinct 27",4,25,8,1,0
813400002028,"Grand Rapids City, Ward 2, Precinct 28",4,36,21,1,0
813400002029,"Grand Rapids City, Ward 2, Precinct 29",12,79,49,0,0
813400002030,"Grand Rapids City, Ward 2, Precinct 30",5,61,46,0,0
813400002031,"Grand Rapids City, Ward 2, Precinct 31",2,22,12,0,0
813400002032,"Grand Rapids City, Ward 2, Precinct 32",4,20,7,1,0
813400002033,"Grand Rapids City, Ward 2, Precinct 33",3,18,3,0,0
813400002034,"Grand Rapids City, Ward 2, Precinct 34",12,61,34,1,0
813400002035,"Grand Rapids City, Ward 2, Precinct 35",4,49,31,1,0
813400002036,"Grand Rapids City, Ward 2, Precinct 36",12,101,77,1,0
813400002037,"Grand Rapids City, Ward 2, Precinct 37",8,97,36,0,0
813400002038,"Grand Rapids City, Ward 2, Precinct 38",8,42,15,0,0
813400002039,"Grand Rapids City, Ward 2, Precinct 39",4,60,38,1,0
813400002040,"Grand Rapids City, Ward 2, Precinct 40",3,22,14,0,0
813400003041,"Grand Rapids City, Ward 3, Precinct 41",9,25,15,2,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",7,54,21,1,1
813400003043,"Grand Rapids City, Ward 3, Precinct 43",10,124,43,0,0
813400003044,"Grand Rapids City, Ward 3, Precinct 44",11,93,43,0,0
813400003045,"Grand Rapids City, Ward 3, Precinct 45",7,48,34,1,0
813400003046,"Grand Rapids City, Ward 3, Precinct 46",10,79,31,0,0
813400003047,"Grand Rapids City, Ward 3, Precinct 47",4,12,5,0,0
813400003048,"Grand Rapids City, Ward 3, Precinct 48",0,12,2,0,0
813400003049,"Grand Rapids City, Ward 3, Precinct 49",2,6,8,0,0
813400003050,"Grand Rapids City, Ward 3, Precinct 50",5,23,6,2,0
813400003051,"Grand Rapids City, Ward 3, Precinct 51",2,17,16,0,0
813400003052,"Grand Rapids City, Ward 3, Precinct 52",0,5,2,0,0
813400003053,"Grand Rapids City, Ward 3, Precinct 53",0,3,5,0,0
813400003054,"Grand Rapids City, Ward 3, Precinct 54",4,26,14,0,0
813400003055,"Grand Rapids City, Ward 3, Precinct 55",1,12,15,0,0
813400003056,"Grand Rapids City, Ward 3, Precinct 56",6,70,32,1,0
813400003057,"Grand Rapids City, Ward 3, Precinct 57",4,25,12,1,2
813400003058,"Grand Rapids City, Ward 3, Precinct 58",0,4,0,0,0
813400003059,"Grand Rapids City, Ward 3, Precinct 59",4,57,21,1,0
813416000001,"Grandville City, Precinct 1",11,66,53,0,0
813416000002,"Grandville City, Precinct 2",16,74,40,1,0
813416000003,"Grandville City, Precinct 3",13,74,71,0,0
813416000004,"Grandville City, Precinct 4",8,101,73,3,0
813416000005,"Grandville City, Precinct 5",17,105,80,2,0
813416000006,"Grandville City, Precinct 6",8,111,74,1,0
813456000001,"Grattan Township, Precinct 1",11,137,71,5,0
813456000002,"Grattan Township, Precinct 2",9,101,74,2,0
814282001001,"Kentwood City, Ward 1, Precinct 1",4,26,38,1,0
814282001002,"Kentwood City, Ward 1, Precinct 2",7,70,30,5,0
814282001003,"Kentwood City, Ward 1, Precinct 3",6,43,43,5,2
814282001004,"Kentwood City, Ward 1, Precinct 4",10,27,36,0,0
814282001005,"Kentwood City, Ward 1, Precinct 5",3,25,25,0,0
814282001006,"Kentwood City, Ward 1, Precinct 6",7,63,27,1,0
814282001007,"Kentwood City, Ward 1, Precinct 7",6,38,29,0,0
814282001008,"Kentwood City, Ward 1, Precinct 8",10,90,40,0,0
814282001009,"Kentwood City, Ward 1, Precinct 9",5,44,20,0,1
814282001017,"Kentwood City, Ward 1, Precinct 17",6,38,18,0,0
814282002010,"Kentwood City, Ward 2, Precinct 10",8,49,19,3,0
814282002011,"Kentwood City, Ward 2, Precinct 11",8,54,22,3,0
814282002012,"Kentwood City, Ward 2, Precinct 12",4,34,21,2,0
814282002013,"Kentwood City, Ward 2, Precinct 13",4,30,25,1,0
814282002014,"Kentwood City, Ward 2, Precinct 14",4,48,17,3,0
814282002015,"Kentwood City, Ward 2, Precinct 15",5,31,10,0,0
814282002016,"Kentwood City, Ward 2, Precinct 16",7,72,46,2,0
814956000001,"Lowell Charter Township, Precinct 1",15,154,127,5,1
814956000002,"Lowell Charter Township, Precinct 2",27,90,70,1,0
814954000001,"Lowell City, Precinct 1",9,64,62,1,0
814954000002,"Lowell City, Precinct 2",9,52,29,0,0
815692000001,"Nelson Township, Precinct 1",15,124,75,4,3
815692000002,"Nelson Township, Precinct 2",15,80,62,1,0
815958000001,"Oakfield Township, Precinct 1",5,83,57,0,0
815958000002,"Oakfield Township, Precinct 2",15,109,85,0,0
815958000003,"Oakfield Township, Precinct 3",7,76,37,0,1
816466000001,"Plainfield Charter Township, Precinct 1",11,136,91,3,0
816466000002,"Plainfield Charter Township, Precinct 2",15,141,72,3,0
816466000003,"Plainfield Charter Township, Precinct 3",19,126,96,5,1
816466000004,"Plainfield Charter Township, Precinct 4",4,53,50,3,0
816466000006,"Plainfield Charter Township, Precinct 6",34,104,68,0,0
816466000007,"Plainfield Charter Township, Precinct 7",17,113,65,1,0
816466000008,"Plainfield Charter Township, Precinct 8",15,102,65,2,0
816466000009,"Plainfield Charter Township, Precinct 9",21,86,54,0,0
816466000010,"Plainfield Charter Township, Precinct 10",18,109,79,3,0
816466000011,"Plainfield Charter Township, Precinct 11",12,107,70,2,0
816908000001,"Rockford City, Precinct 1",1,54,45,2,0
816908000002,"Rockford City, Precinct 2",22,92,51,1,0
817446000001,"Solon Township, Precinct 1",26,91,85,1,0
817446000002,"Solon Township, Precinct 2",6,62,53,3,0
817446000003,"Solon Township, Precinct 3",12,70,71,2,0
817544000001,"Sparta Township, Precinct 1",30,131,97,3,1
817544000002,"Sparta Township, Precinct 2",41,184,145,7,1
817556000001,"Spencer Township, Precinct 1",11,123,82,2,2
817556000002,"Spencer Township, Precinct 2",16,74,63,1,1
818114000001,"Tyrone Township, Precinct 1",35,167,153,1,0
818192000001,"Vergennes Township, Precinct 1",13,109,90,6,0
818192000002,"Vergennes Township, Precinct 2",11,97,68,4,0
818296001001,"Walker City, Ward 1, Precinct 1",7,53,29,0,0
818296001002,"Walker City, Ward 1, Precinct 2",20,88,71,6,0
818296002003,"Walker City, Ward 2, Precinct 3",23,123,81,1,0
818296002004,"Walker City, Ward 2, Precinct 4",10,92,58,4,0
818296003005,"Walker City, Ward 3, Precinct 5",15,129,67,0,0
818296003006,"Walker City, Ward 3, Precinct 6",19,131,91,4,1
818894001001,"Wyoming City, Ward 1, Precinct 1",13,70,40,1,0
818894001002,"Wyoming City, Ward 1, Precinct 2",8,56,39,2,0
818894001003,"Wyoming City, Ward 1, Precinct 3",18,148,83,2,0
818894001004,"Wyoming City, Ward 1, Precinct 4",5,41,42,0,0
818894001005,"Wyoming City, Ward 1, Precinct 5",9,75,66,3,0
818894001006,"Wyoming City, Ward 1, Precinct 6",14,67,50,3,0
818894002007,"Wyoming City, Ward 2, Precinct 7",8,74,63,2,0
818894002008,"Wyoming City, Ward 2, Precinct 8",11,42,23,1,0
818894002009,"Wyoming City, Ward 2, Precinct 9",7,38,29,0,0
818894002010,"Wyoming City, Ward 2, Precinct 10",6,73,47,0,0
818894002011,"Wyoming City, Ward 2, Precinct 11",8,63,44,1,0
818894002012,"Wyoming City, Ward 2, Precinct 12",2,33,47,2,0
818894003013,"Wyoming City, Ward 3, Precinct 13",15,76,70,3,0
818894003014,"Wyoming City, Ward 3, Precinct 14",6,67,30,2,0
818894003015,"Wyoming City, Ward 3, Precinct 15",12,119,66,2,0
818894003016,"Wyoming City, Ward 3, Precinct 16",12,105,75,4,1
818894003017,"Wyoming City, Ward 3, Precinct 17",9,86,54,6,0
818894003018,"Wyoming City, Ward 3, Precinct 18",5,81,46,0,0
