id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
810024000001,"Ada Township, Precinct 1",36,153,60,3,0
810024000002,"Ada Township, Precinct 2",30,201,82,7,0
810024000003,"Ada Township, Precinct 3",58,241,134,6,0
810024000004,"Ada Township, Precinct 4",26,148,93,4,0
810024000005,"Ada Township, Precinct 5",48,247,138,4,0
810024000006,"Ada Township, Precinct 6",36,219,99,4,0
810116000001,"Algoma Township, Precinct 1",21,154,130,4,0
810116000002,"Algoma Township, Precinct 2",44,175,140,8,1
810116000003,"Algoma Township, Precinct 3",45,213,167,4,1
810116000004,"Algoma Township, Precinct 4",23,144,129,8,1
810116000005,"Algoma Township, Precinct 5",54,234,168,2,0
810184000001,"Alpine Township, Precinct 1",31,110,86,6,1
810184000002,"Alpine Township, Precinct 2",27,77,69,1,0
810184000003,"Alpine Township, Precinct 3",38,177,146,6,0
810184000004,"Alpine Township, Precinct 4",26,172,133,5,0
810184000005,"Alpine Township, Precinct 5",22,108,92,5,0
810184000006,"Alpine Township, Precinct 6",1,22,23,1,0
810978000001,"Bowne Township, Precinct 1",43,341,260,13,0
811224000001,"Byron Township, Precinct 1",57,419,191,34,1
811224000002,"Byron Township, Precinct 2",101,433,223,35,0
811224000003,"Byron Township, Precinct 3",23,87,79,10,0
811224000004,"Byron Township, Precinct 4",55,382,237,33,0
811224000005,"Byron Township, Precinct 5",36,361,225,26,0
811224000006,"Byron Township, Precinct 6",51,186,112,18,0
811224000007,"Byron Township, Precinct 7",67,250,140,12,0
811224000008,"Byron Township, Precinct 8",59,293,172,20,0
811250000001,"Caledonia Charter Township, Precinct 1",24,103,77,2,0
811250000002,"Caledonia Charter Township, Precinct 2",53,270,164,6,1
811250000003,"Caledonia Charter Township, Precinct 3",45,260,154,6,1
811250000004,"Caledonia Charter Township, Precinct 4",28,200,97,4,0
811250000005,"Caledonia Charter Township, Precinct 5",68,316,164,7,0
811250000006,"Caledonia Charter Township, Precinct 6",48,210,126,7,0
811308000001,"Cannon Township, Precinct 1",72,364,167,10,0
811308000002,"Cannon Township, Precinct 2",66,442,204,5,1
811308000003,"Cannon Township, Precinct 3",75,361,192,7,1
811308000004,"Cannon Township, Precinct 4",73,374,206,7,2
811366000001,"Cascade Charter Township, Precinct 1",99,337,190,6,1
811366000002,"Cascade Charter Township, Precinct 2",39,369,128,10,0
811366000003,"Cascade Charter Township, Precinct 3",61,432,191,4,1
811366000004,"Cascade Charter Township, Precinct 4",75,415,213,16,1
811366000005,"Cascade Charter Township, Precinct 5",77,323,138,6,1
811420000001,"Cedar Springs City, Precinct 1",35,173,70,3,0
811850000001,"Courtland Township, Precinct 1",43,210,168,12,0
811850000002,"Courtland Township, Precinct 2",93,382,246,22,0
811850000003,"Courtland Township, Precinct 3",49,219,155,8,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",32,184,48,0,0
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",19,137,62,3,0
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",24,163,54,1,0
813124000001,"Gaines Charter Township, Precinct 1",57,360,223,28,0
813124000002,"Gaines Charter Township, Precinct 2",11,148,81,12,0
813124000003,"Gaines Charter Township, Precinct 3",18,172,118,12,1
813124000004,"Gaines Charter Township, Precinct 4",16,99,71,5,0
813124000005,"Gaines Charter Township, Precinct 5",5,64,40,4,0
813124000006,"Gaines Charter Township, Precinct 6",21,224,117,11,0
813124000007,"Gaines Charter Township, Precinct 7",52,345,175,24,0
813124000008,"Gaines Charter Township, Precinct 8",49,223,150,21,0
813124000009,"Gaines Charter Township, Precinct 9",23,113,85,6,0
813402000001,"Grand Rapids Charter Township, Precinct 1",46,340,156,9,0
813402000002,"Grand Rapids Charter Township, Precinct 2",22,88,41,8,1
813402000003,"Grand Rapids Charter Township, Precinct 3",46,210,78,16,2
813402000004,"Grand Rapids Charter Township, Precinct 4",70,294,123,9,2
813402000005,"Grand Rapids Charter Township, Precinct 5",33,147,61,6,1
813402000006,"Grand Rapids Charter Township, Precinct 6",45,238,146,5,0
813400001001,"Grand Rapids City, Ward 1, Precinct 1",15,36,29,4,0
813400001002,"Grand Rapids City, Ward 1, Precinct 2",10,36,34,0,0
813400001003,"Grand Rapids City, Ward 1, Precinct 3",9,87,39,5,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",7,47,25,3,0
