id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
810116000001,"Algoma Township, Precinct 1",87,61,26,4
810116000002,"Algoma Township, Precinct 2",101,92,25,1
810116000003,"Algoma Township, Precinct 3",118,89,55,0
810116000004,"Algoma Township, Precinct 4",138,94,37,1
810116000005,"Algoma Township, Precinct 5",231,168,66,3
810978000001,"Bowne Township, Precinct 1",127,89,26,0
811250000001,"Caledonia Charter Township, Precinct 1",108,83,20,2
811250000002,"Caledonia Charter Township, Precinct 2",167,128,40,1
811250000003,"Caledonia Charter Township, Precinct 3",178,74,49,2
811250000004,"Caledonia Charter Township, Precinct 4",116,44,13,0
811250000005,"Caledonia Charter Township, Precinct 5",199,160,62,3
811250000006,"Caledonia Charter Township, Precinct 6",203,148,49,5
811420000001,"Cedar Springs City, Precinct 1",119,142,32,1
811850000001,"Courtland Township, Precinct 1",150,152,52,3
811850000002,"Courtland Township, Precinct 2",240,182,86,1
811850000003,"Courtland Township, Precinct 3",179,140,40,0
813456000001,"Grattan Township, Precinct 1",91,108,19,0
813456000002,"Grattan Township, Precinct 2",165,91,34,2
814956000001,"Lowell Charter Township, Precinct 1",229,153,54,5
814956000002,"Lowell Charter Township, Precinct 2",219,215,70,1
814954000001,"Lowell City, Precinct 1",194,103,34,2
814954000002,"Lowell City, Precinct 2",94,96,14,0
815692000001,"Nelson Township, Precinct 1",79,109,27,4
815692000002,"Nelson Township, Precinct 2",102,86,37,0
815958000001,"Oakfield Township, Precinct 1",113,102,46,2
815958000002,"Oakfield Township, Precinct 2",85,122,35,3
815958000003,"Oakfield Township, Precinct 3",112,81,33,0
817446000001,"Solon Township, Precinct 1",114,111,32,3
817446000002,"Solon Township, Precinct 2",97,121,25,2
817446000003,"Solon Township, Precinct 3",74,61,32,1
817544000001,"Sparta Township, Precinct 1",206,194,43,6
817544000002,"Sparta Township, Precinct 2",195,205,51,4
817556000001,"Spencer Township, Precinct 1",108,110,35,1
817556000002,"Spencer Township, Precinct 2",75,60,10,1
818114000001,"Tyrone Township, Precinct 1",144,143,59,7
818192000001,"Vergennes Township, Precinct 1",186,88,65,2
818192000002,"Vergennes Township, Precinct 2",178,134,55,1
