id,name,John Moolenaar,Write-in
810116000001,"Algoma Township, Precinct 1",18,0
810116000002,"Algoma Township, Precinct 2",21,0
810116000003,"Algoma Township, Precinct 3",20,0
810116000004,"Algoma Township, Precinct 4",22,0
810116000005,"Algoma Township, Precinct 5",27,0
810978000001,"Bowne Township, Precinct 1",38,0
811250000001,"Caledonia Charter Township, Precinct 1",6,0
811250000002,"Caledonia Charter Township, Precinct 2",17,0
811250000003,"Caledonia Charter Township, Precinct 3",25,0
811250000004,"Caledonia Charter Township, Precinct 4",18,0
811250000005,"Caledonia Charter Township, Precinct 5",20,0
811250000006,"Caledonia Charter Township, Precinct 6",30,0
811420000001,"Cedar Springs City, Precinct 1",15,0
811850000001,"Courtland Township, Precinct 1",38,0
811850000002,"Courtland Township, Precinct 2",61,0
811850000003,"Courtland Township, Precinct 3",27,0
813456000001,"Grattan Township, Precinct 1",36,0
813456000002,"Grattan Township, Precinct 2",26,1
814956000001,"Lowell Charter Township, Precinct 1",36,0
814956000002,"Lowell Charter Township, Precinct 2",18,0
814954000001,"Lowell City, Precinct 1",29,0
814954000002,"Lowell City, Precinct 2",12,0
815692000001,"Nelson Township, Precinct 1",27,0
815692000002,"Nelson Township, Precinct 2",17,0
815958000001,"Oakfield Township, Precinct 1",23,0
815958000002,"Oakfield Township, Precinct 2",25,0
815958000003,"Oakfield Township, Precinct 3",19,0
817446000001,"Solon Township, Precinct 1",17,0
817446000002,"Solon Township, Precinct 2",27,0
817446000003,"Solon Township, Precinct 3",18,0
817544000001,"Sparta Township, Precinct 1",29,0
817544000002,"Sparta Township, Precinct 2",37,0
817556000001,"Spencer Township, Precinct 1",26,0
817556000002,"Spencer Township, Precinct 2",27,0
818114000001,"Tyrone Township, Precinct 1",53,0
818192000001,"Vergennes Township, Precinct 1",44,1
818192000002,"Vergennes Township, Precinct 2",39,0
