id,name,John Moolenaar,Write-in
810116000001,"Algoma Township, Precinct 1",116,0
810116000002,"Algoma Township, Precinct 2",147,0
810116000003,"Algoma Township, Precinct 3",233,0
810116000004,"Algoma Township, Precinct 4",117,0
810116000005,"Algoma Township, Precinct 5",157,1
810978000001,"Bowne Township, Precinct 1",360,0
811250000001,"Caledonia Charter Township, Precinct 1",87,0
811250000002,"Caledonia Charter Township, Precinct 2",174,0
811250000003,"Caledonia Charter Township, Precinct 3",197,0
811250000004,"Caledonia Charter Township, Precinct 4",161,1
811250000005,"Caledonia Charter Township, Precinct 5",216,1
811250000006,"Caledonia Charter Township, Precinct 6",78,0
811420000001,"Cedar Springs City, Precinct 1",157,1
811850000001,"Courtland Township, Precinct 1",186,0
811850000002,"Courtland Township, Precinct 2",281,1
811850000003,"Courtland Township, Precinct 3",175,0
813456000001,"Grattan Township, Precinct 1",202,3
813456000002,"Grattan Township, Precinct 2",161,1
814956000001,"Lowell Charter Township, Precinct 1",285,2
814956000002,"Lowell Charter Township, Precinct 2",171,0
814954000001,"Lowell City, Precinct 1",120,1
814954000002,"Lowell City, Precinct 2",85,0
815692000001,"Nelson Township, Precinct 1",200,0
815692000002,"Nelson Township, Precinct 2",153,0
815958000001,"Oakfield Township, Precinct 1",137,0
815958000002,"Oakfield Township, Precinct 2",199,1
815958000003,"Oakfield Township, Precinct 3",114,0
817446000001,"Solon Township, Precinct 1",193,1
817446000002,"Solon Township, Precinct 2",115,1
817446000003,"Solon Township, Precinct 3",152,0
817544000001,"Sparta Township, Precinct 1",244,1
817544000002,"Sparta Township, Precinct 2",356,0
817556000001,"Spencer Township, Precinct 1",210,2
817556000002,"Spencer Township, Precinct 2",153,1
818114000001,"Tyrone Township, Precinct 1",329,0
818192000001,"Vergennes Township, Precinct 1",200,0
818192000002,"Vergennes Township, Precinct 2",164,1
