id,name,John Moolenaar,Write-in
810116000001,"Algoma Township, Precinct 1",297,0
810116000002,"Algoma Township, Precinct 2",346,0
810116000003,"Algoma Township, Precinct 3",397,0
810116000004,"Algoma Township, Precinct 4",286,1
810116000005,"Algoma Township, Precinct 5",429,2
810978000001,"Bowne Township, Precinct 1",615,0
811250000001,"Caledonia Charter Township, Precinct 1",190,0
811250000002,"Caledonia Charter Township, Precinct 2",462,0
811250000003,"Caledonia Charter Township, Precinct 3",439,0
811250000004,"Caledonia Charter Township, Precinct 4",312,1
811250000005,"Caledonia Charter Township, Precinct 5",533,3
811250000006,"Caledonia Charter Township, Precinct 6",372,0
811420000001,"Cedar Springs City, Precinct 1",272,1
811850000001,"Courtland Township, Precinct 1",402,0
811850000002,"Courtland Township, Precinct 2",696,1
811850000003,"Courtland Township, Precinct 3",395,0
813456000001,"Grattan Township, Precinct 1",379,3
813456000002,"Grattan Township, Precinct 2",347,3
814956000001,"Lowell Charter Township, Precinct 1",531,2
814956000002,"Lowell Charter Township, Precinct 2",352,0
814954000001,"Lowell City, Precinct 1",200,1
814954000002,"Lowell City, Precinct 2",181,0
815692000001,"Nelson Township, Precinct 1",332,0
815692000002,"Nelson Township, Precinct 2",299,0
815958000001,"Oakfield Township, Precinct 1",274,0
815958000002,"Oakfield Township, Precinct 2",384,1
815958000003,"Oakfield Township, Precinct 3",233,0
817446000001,"Solon Township, Precinct 1",391,2
817446000002,"Solon Township, Precinct 2",234,1
817446000003,"Solon Township, Precinct 3",251,1
817544000001,"Sparta Township, Precinct 1",465,2
817544000002,"Sparta Township, Precinct 2",674,0
817556000001,"Spencer Township, Precinct 1",377,3
817556000002,"Spencer Township, Precinct 2",251,1
818114000001,"Tyrone Township, Precinct 1",646,1
818192000001,"Vergennes Township, Precinct 1",420,1
818192000002,"Vergennes Township, Precinct 2",335,2
