id,name,Hillary Scholten,Write-in
810024000001,"Ada Township, Precinct 1",27,2
810024000002,"Ada Township, Precinct 2",28,0
810024000003,"Ada Township, Precinct 3",35,0
810024000004,"Ada Township, Precinct 4",21,0
810024000005,"Ada Township, Precinct 5",24,1
810024000006,"Ada Township, Precinct 6",48,0
810184000001,"Alpine Township, Precinct 1",18,0
810184000002,"Alpine Township, Precinct 2",14,0
810184000003,"Alpine Township, Precinct 3",32,0
810184000004,"Alpine Township, Precinct 4",11,1
810184000005,"Alpine Township, Precinct 5",3,0
810184000006,"Alpine Township, Precinct 6",15,2
811224000001,"Byron Township, Precinct 1",21,0
811224000002,"Byron Township, Precinct 2",23,1
811224000003,"Byron Township, Precinct 3",7,0
811224000004,"Byron Township, Precinct 4",12,0
811224000005,"Byron Township, Precinct 5",14,0
811224000006,"Byron Township, Precinct 6",11,0
811224000007,"Byron Township, Precinct 7",5,1
811224000008,"Byron Township, Precinct 8",24,0
811308000001,"Cannon Township, Precinct 1",35,0
811308000002,"Cannon Township, Precinct 2",71,2
811308000003,"Cannon Township, Precinct 3",52,0
811308000004,"Cannon Township, Precinct 4",67,0
811366000001,"Cascade Charter Township, Precinct 1",49,1
811366000002,"Cascade Charter Township, Precinct 2",40,1
811366000003,"Cascade Charter Township, Precinct 3",98,0
811366000004,"Cascade Charter Township, Precinct 4",46,1
811366000005,"Cascade Charter Township, Precinct 5",55,1
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",127,4
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",141,2
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",105,1
813124000001,"Gaines Charter Township, Precinct 1",16,0
813124000002,"Gaines Charter Township, Precinct 2",19,1
813124000003,"Gaines Charter Township, Precinct 3",3,0
813124000004,"Gaines Charter Township, Precinct 4",2,0
813124000005,"Gaines Charter Township, Precinct 5",15,0
813124000006,"Gaines Charter Township, Precinct 6",13,1
813124000007,"Gaines Charter Township, Precinct 7",29,0
813124000008,"Gaines Charter Township, Precinct 8",12,1
813124000009,"Gaines Charter Township, Precinct 9",21,2
813402000001,"Grand Rapids Charter Township, Precinct 1",60,1
813402000002,"Grand Rapids Charter Township, Precinct 2",13,0
813402000003,"Grand Rapids Charter Township, Precinct 3",30,0
813402000004,"Grand Rapids Charter Township, Precinct 4",54,1
813402000005,"Grand Rapids Charter Township, Precinct 5",25,2
813402000006,"Grand Rapids Charter Township, Precinct 6",33,3
813400001001,"Grand Rapids City, Ward 1, Precinct 1",28,3
813400001002,"Grand Rapids City, Ward 1, Precinct 2",30,2
813400001003,"Grand Rapids City, Ward 1, Precinct 3",50,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",36,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",22,0
813400001006,"Grand Rapids City, Ward 1, Precinct 6",20,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",27,0
813400001008,"Grand Rapids City, Ward 1, Precinct 8",19,0
813400001009,"Grand Rapids City, Ward 1, Precinct 9",20,1
813400001010,"Grand Rapids City, Ward 1, Precinct 10",15,2
813400001011,"Grand Rapids City, Ward 1, Precinct 11",31,5
813400001012,"Grand Rapids City, Ward 1, Precinct 12",12,0
813400001013,"Grand Rapids City, Ward 1, Precinct 13",10,1
813400001014,"Grand Rapids City, Ward 1, Precinct 14",13,0
813400001015,"Grand Rapids City, Ward 1, Precinct 15",9,0
813400001016,"Grand Rapids City, Ward 1, Precinct 16",27,1
813400001017,"Grand Rapids City, Ward 1, Precinct 17",16,0
813400001018,"Grand Rapids City, Ward 1, Precinct 18",15,0
813400001019,"Grand Rapids City, Ward 1, Precinct 19",19,0
813400001020,"Grand Rapids City, Ward 1, Precinct 20",5,0
813400002021,"Grand Rapids City, Ward 2, Precinct 21",57,3
813400002022,"Grand Rapids City, Ward 2, Precinct 22",47,1
813400002023,"Grand Rapids City, Ward 2, Precinct 23",47,1
813400002024,"Grand Rapids City, Ward 2, Precinct 24",41,5
813400002025,"Grand Rapids City, Ward 2, Precinct 25",31,0
813400002026,"Grand Rapids City, Ward 2, Precinct 26",31,2
813400002027,"Grand Rapids City, Ward 2, Precinct 27",27,0
813400002028,"Grand Rapids City, Ward 2, Precinct 28",48,2
813400002029,"Grand Rapids City, Ward 2, Precinct 29",41,2
813400002030,"Grand Rapids City, Ward 2, Precinct 30",51,1
813400002031,"Grand Rapids City, Ward 2, Precinct 31",38,0
813400002032,"Grand Rapids City, Ward 2, Precinct 32",73,2
813400002033,"Grand Rapids City, Ward 2, Precinct 33",46,2
813400002034,"Grand Rapids City, Ward 2, Precinct 34",13,0
813400002035,"Grand Rapids City, Ward 2, Precinct 35",37,2
813400002036,"Grand Rapids City, Ward 2, Precinct 36",66,3
813400002037,"Grand Rapids City, Ward 2, Precinct 37",28,0
813400002038,"Grand Rapids City, Ward 2, Precinct 38",19,1
813400002039,"Grand Rapids City, Ward 2, Precinct 39",33,0
813400002040,"Grand Rapids City, Ward 2, Precinct 40",31,3
813400003041,"Grand Rapids City, Ward 3, Precinct 41",9,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",32,0
813400003043,"Grand Rapids City, Ward 3, Precinct 43",45,1
813400003044,"Grand Rapids City, Ward 3, Precinct 44",61,0
813400003045,"Grand Rapids City, Ward 3, Precinct 45",20,1
813400003046,"Grand Rapids City, Ward 3, Precinct 46",43,1
813400003047,"Grand Rapids City, Ward 3, Precinct 47",22,0
813400003048,"Grand Rapids City, Ward 3, Precinct 48",30,4
813400003049,"Grand Rapids City, Ward 3, Precinct 49",12,1
813400003050,"Grand Rapids City, Ward 3, Precinct 50",13,1
813400003051,"Grand Rapids City, Ward 3, Precinct 51",11,0
813400003052,"Grand Rapids City, Ward 3, Precinct 52",8,3
813400003053,"Grand Rapids City, Ward 3, Precinct 53",16,0
813400003054,"Grand Rapids City, Ward 3, Precinct 54",24,3
813400003055,"Grand Rapids City, Ward 3, Precinct 55",33,2
813400003056,"Grand Rapids City, Ward 3, Precinct 56",46,1
813400003057,"Grand Rapids City, Ward 3, Precinct 57",46,0
813400003058,"Grand Rapids City, Ward 3, Precinct 58",17,1
813400003059,"Grand Rapids City, Ward 3, Precinct 59",62,3
813416000001,"Grandville City, Precinct 1",25,3
813416000002,"Grandville City, Precinct 2",19,0
813416000003,"Grandville City, Precinct 3",19,0
813416000004,"Grandville City, Precinct 4",22,0
813416000005,"Grandville City, Precinct 5",17,0
813416000006,"Grandville City, Precinct 6",36,1
814282001001,"Kentwood City, Ward 1, Precinct 1",13,0
814282001002,"Kentwood City, Ward 1, Precinct 2",20,2
814282001003,"Kentwood City, Ward 1, Precinct 3",22,4
814282001004,"Kentwood City, Ward 1, Precinct 4",21,0
814282001005,"Kentwood City, Ward 1, Precinct 5",13,0
814282001006,"Kentwood City, Ward 1, Precinct 6",19,0
814282001007,"Kentwood City, Ward 1, Precinct 7",16,0
814282001008,"Kentwood City, Ward 1, Precinct 8",40,0
814282001009,"Kentwood City, Ward 1, Precinct 9",20,0
814282001017,"Kentwood City, Ward 1, Precinct 17",42,0
814282002010,"Kentwood City, Ward 2, Precinct 10",13,0
814282002011,"Kentwood City, Ward 2, Precinct 11",47,0
814282002012,"Kentwood City, Ward 2, Precinct 12",43,0
814282002013,"Kentwood City, Ward 2, Precinct 13",27,1
814282002014,"Kentwood City, Ward 2, Precinct 14",22,0
814282002015,"Kentwood City, Ward 2, Precinct 15",21,1
814282002016,"Kentwood City, Ward 2, Precinct 16",40,0
816466000001,"Plainfield Charter Township, Precinct 1",27,0
816466000002,"Plainfield Charter Township, Precinct 2",15,0
816466000003,"Plainfield Charter Township, Precinct 3",37,0
816466000004,"Plainfield Charter Township, Precinct 4",18,0
816466000006,"Plainfield Charter Township, Precinct 6",19,0
816466000007,"Plainfield Charter Township, Precinct 7",24,2
816466000008,"Plainfield Charter Township, Precinct 8",24,0
816466000009,"Plainfield Charter Township, Precinct 9",25,1
816466000010,"Plainfield Charter Township, Precinct 10",16,0
816466000011,"Plainfield Charter Township, Precinct 11",23,1
816908000001,"Rockford City, Precinct 1",17,1
816908000002,"Rockford City, Precinct 2",57,0
818296001001,"Walker City, Ward 1, Precinct 1",25,1
818296001002,"Walker City, Ward 1, Precinct 2",25,1
818296002003,"Walker City, Ward 2, Precinct 3",31,0
818296002004,"Walker City, Ward 2, Precinct 4",23,0
818296003005,"Walker City, Ward 3, Precinct 5",17,0
818296003006,"Walker City, Ward 3, Precinct 6",18,1
818894001001,"Wyoming City, Ward 1, Precinct 1",31,0
