id,name,Hillary Scholten,Write-in
810024000001,"Ada Township, Precinct 1",312,4
810024000002,"Ada Township, Precinct 2",520,4
810024000003,"Ada Township, Precinct 3",513,2
810024000004,"Ada Township, Precinct 4",238,0
810024000005,"Ada Township, Precinct 5",331,5
810024000006,"Ada Township, Precinct 6",539,5
810184000001,"Alpine Township, Precinct 1",212,0
810184000002,"Alpine Township, Precinct 2",260,2
810184000003,"Alpine Township, Precinct 3",481,8
810184000004,"Alpine Township, Precinct 4",333,3
810184000005,"Alpine Township, Precinct 5",132,0
810184000006,"Alpine Township, Precinct 6",208,6
811224000001,"Byron Township, Precinct 1",382,4
811224000002,"Byron Township, Precinct 2",480,5
811224000003,"Byron Township, Precinct 3",241,4
811224000004,"Byron Township, Precinct 4",247,3
811224000005,"Byron Township, Precinct 5",340,3
811224000006,"Byron Township, Precinct 6",274,3
811224000007,"Byron Township, Precinct 7",383,3
811224000008,"Byron Township, Precinct 8",445,4
811308000001,"Cannon Township, Precinct 1",519,3
811308000002,"Cannon Township, Precinct 2",655,4
811308000003,"Cannon Township, Precinct 3",582,9
811308000004,"Cannon Township, Precinct 4",501,0
811366000001,"Cascade Charter Township, Precinct 1",807,13
811366000002,"Cascade Charter Township, Precinct 2",724,13
811366000003,"Cascade Charter Township, Precinct 3",1114,12
811366000004,"Cascade Charter Township, Precinct 4",750,9
811366000005,"Cascade Charter Township, Precinct 5",791,4
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",1050,12
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",1063,17
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",1125,15
813124000001,"Gaines Charter Township, Precinct 1",301,2
813124000002,"Gaines Charter Township, Precinct 2",338,5
813124000003,"Gaines Charter Township, Precinct 3",282,3
813124000004,"Gaines Charter Township, Precinct 4",205,2
813124000005,"Gaines Charter Township, Precinct 5",372,3
813124000006,"Gaines Charter Township, Precinct 6",322,3
813124000007,"Gaines Charter Township, Precinct 7",509,5
813124000008,"Gaines Charter Township, Precinct 8",359,5
813124000009,"Gaines Charter Township, Precinct 9",337,4
813402000001,"Grand Rapids Charter Township, Precinct 1",826,7
813402000002,"Grand Rapids Charter Township, Precinct 2",274,5
813402000003,"Grand Rapids Charter Township, Precinct 3",510,8
813402000004,"Grand Rapids Charter Township, Precinct 4",780,10
813402000005,"Grand Rapids Charter Township, Precinct 5",493,3
813402000006,"Grand Rapids Charter Township, Precinct 6",640,13
813400001001,"Grand Rapids City, Ward 1, Precinct 1",439,18
813400001002,"Grand Rapids City, Ward 1, Precinct 2",527,11
813400001003,"Grand Rapids City, Ward 1, Precinct 3",653,6
813400001004,"Grand Rapids City, Ward 1, Precinct 4",594,9
813400001005,"Grand Rapids City, Ward 1, Precinct 5",588,4
813400001006,"Grand Rapids City, Ward 1, Precinct 6",353,8
813400001007,"Grand Rapids City, Ward 1, Precinct 7",863,10
813400001008,"Grand Rapids City, Ward 1, Precinct 8",463,5
