id,name,Ryan Cushman,Terri DeBoer,Write-in
810024000001,"Ada Township, Precinct 1",47,202,0
810024000002,"Ada Township, Precinct 2",73,234,0
810024000003,"Ada Township, Precinct 3",100,334,0
810024000004,"Ada Township, Precinct 4",54,210,0
810024000005,"Ada Township, Precinct 5",114,313,1
810024000006,"Ada Township, Precinct 6",72,279,0
810184000001,"Alpine Township, Precinct 1",46,182,0
810184000002,"Alpine Township, Precinct 2",45,127,0
810184000003,"Alpine Township, Precinct 3",74,287,0
810184000004,"Alpine Township, Precinct 4",63,268,0
810184000005,"Alpine Township, Precinct 5",53,171,0
810184000006,"Alpine Township, Precinct 6",14,33,0
811224000001,"Byron Township, Precinct 1",166,535,1
811224000002,"Byron Township, Precinct 2",179,609,0
811224000003,"Byron Township, Precinct 3",52,145,0
811224000004,"Byron Township, Precinct 4",144,556,0
811224000005,"Byron Township, Precinct 5",136,505,0
811224000006,"Byron Township, Precinct 6",74,288,0
811224000007,"Byron Township, Precinct 7",105,360,0
811224000008,"Byron Township, Precinct 8",91,442,0
811308000001,"Cannon Township, Precinct 1",112,494,0
811308000002,"Cannon Township, Precinct 2",137,572,1
811308000003,"Cannon Township, Precinct 3",134,489,1
811308000004,"Cannon Township, Precinct 4",135,511,1
811366000001,"Cascade Charter Township, Precinct 1",136,483,1
811366000002,"Cascade Charter Township, Precinct 2",95,438,0
811366000003,"Cascade Charter Township, Precinct 3",140,535,0
811366000004,"Cascade Charter Township, Precinct 4",123,577,1
811366000005,"Cascade Charter Township, Precinct 5",125,409,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",45,215,0
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",44,174,0
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",35,204,0
813124000001,"Gaines Charter Township, Precinct 1",144,509,0
813124000002,"Gaines Charter Township, Precinct 2",42,205,0
813124000003,"Gaines Charter Township, Precinct 3",63,255,1
813124000004,"Gaines Charter Township, Precinct 4",36,152,0
813124000005,"Gaines Charter Township, Precinct 5",26,85,0
813124000006,"Gaines Charter Township, Precinct 6",68,298,0
813124000007,"Gaines Charter Township, Precinct 7",139,445,1
813124000008,"Gaines Charter Township, Precinct 8",82,359,0
813124000009,"Gaines Charter Township, Precinct 9",50,172,0
813402000001,"Grand Rapids Charter Township, Precinct 1",93,446,0
813402000002,"Grand Rapids Charter Township, Precinct 2",32,115,1
813402000003,"Grand Rapids Charter Township, Precinct 3",58,271,3
813402000004,"Grand Rapids Charter Township, Precinct 4",102,372,1
813402000005,"Grand Rapids Charter Township, Precinct 5",28,206,1
813402000006,"Grand Rapids Charter Township, Precinct 6",80,345,2
813400001001,"Grand Rapids City, Ward 1, Precinct 1",15,66,2
813400001002,"Grand Rapids City, Ward 1, Precinct 2",21,60,0
813400001003,"Grand Rapids City, Ward 1, Precinct 3",19,118,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",14,61,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",77,252,0
813400001006,"Grand Rapids City, Ward 1, Precinct 6",13,27,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",50,207,0
813400001008,"Grand Rapids City, Ward 1, Precinct 8",56,208,0
813400001009,"Grand Rapids City, Ward 1, Precinct 9",15,32,0
813400001010,"Grand Rapids City, Ward 1, Precinct 10",25,46,0
813400001011,"Grand Rapids City, Ward 1, Precinct 11",26,113,2
813400001012,"Grand Rapids City, Ward 1, Precinct 12",4,16,0
813400001013,"Grand Rapids City, Ward 1, Precinct 13",11,17,0
813400001014,"Grand Rapids City, Ward 1, Precinct 14",37,118,0
813400001015,"Grand Rapids City, Ward 1, Precinct 15",4,5,0
813400001016,"Grand Rapids City, Ward 1, Precinct 16",24,73,1
813400001017,"Grand Rapids City, Ward 1, Precinct 17",74,281,1
813400001018,"Grand Rapids City, Ward 1, Precinct 18",84,227,2
813400001019,"Grand Rapids City, Ward 1, Precinct 19",50,236,3
813400001020,"Grand Rapids City, Ward 1, Precinct 20",4,6,0
813400002021,"Grand Rapids City, Ward 2, Precinct 21",17,52,0
813400002022,"Grand Rapids City, Ward 2, Precinct 22",32,83,0
813400002023,"Grand Rapids City, Ward 2, Precinct 23",21,101,0
813400002024,"Grand Rapids City, Ward 2, Precinct 24",50,135,0
813400002025,"Grand Rapids City, Ward 2, Precinct 25",14,102,0
813400002026,"Grand Rapids City, Ward 2, Precinct 26",26,72,0
