id,name,Mike Rogers,Write-in
810024000001,"Ada Township, Precinct 1",17,0
810024000002,"Ada Township, Precinct 2",14,0
810024000003,"Ada Township, Precinct 3",21,0
810024000004,"Ada Township, Precinct 4",11,0
810024000005,"Ada Township, Precinct 5",18,0
810024000006,"Ada Township, Precinct 6",25,0
810116000001,"Algoma Township, Precinct 1",18,0
810116000002,"Algoma Township, Precinct 2",22,0
810116000003,"Algoma Township, Precinct 3",21,0
810116000004,"Algoma Township, Precinct 4",21,0
810116000005,"Algoma Township, Precinct 5",28,0
810184000001,"Alpine Township, Precinct 1",13,0
810184000002,"Alpine Township, Precinct 2",8,0
810184000003,"Alpine Township, Precinct 3",26,0
810184000004,"Alpine Township, Precinct 4",28,0
810184000005,"Alpine Township, Precinct 5",18,0
810184000006,"Alpine Township, Precinct 6",3,0
810978000001,"Bowne Township, Precinct 1",38,0
811224000001,"Byron Township, Precinct 1",15,0
811224000002,"Byron Township, Precinct 2",26,1
811224000003,"Byron Township, Precinct 3",8,0
811224000004,"Byron Township, Precinct 4",34,0
811224000005,"Byron Township, Precinct 5",21,0
811224000006,"Byron Township, Precinct 6",10,0
811224000007,"Byron Township, Precinct 7",14,0
811224000008,"Byron Township, Precinct 8",8,0
811250000001,"Caledonia Charter Township, Precinct 1",6,0
811250000002,"Caledonia Charter Township, Precinct 2",17,0
811250000003,"Caledonia Charter Township, Precinct 3",25,0
811250000004,"Caledonia Charter Township, Precinct 4",18,0
811250000005,"Caledonia Charter Township, Precinct 5",20,0
811250000006,"Caledonia Charter Township, Precinct 6",32,0
811308000001,"Cannon Township, Precinct 1",69,0
811308000002,"Cannon Township, Precinct 2",75,0
811308000003,"Cannon Township, Precinct 3",52,0
811308000004,"Cannon Township, Precinct 4",76,0
811366000001,"Cascade Charter Township, Precinct 1",32,0
811366000002,"Cascade Charter Township, Precinct 2",25,0
811366000003,"Cascade Charter Township, Precinct 3",48,0
811366000004,"Cascade Charter Township, Precinct 4",28,0
811366000005,"Cascade Charter Township, Precinct 5",32,0
811420000001,"Cedar Springs City, Precinct 1",15,0
811850000001,"Courtland Township, Precinct 1",41,0
811850000002,"Courtland Township, Precinct 2",63,0
811850000003,"Courtland Township, Precinct 3",27,0
812398001001,"East Grand Rapids City, Ward 1, Precinct 1",34,0
812398002002,"East Grand Rapids City, Ward 2, Precinct 2",16,0
812398003003,"East Grand Rapids City, Ward 3, Precinct 3",27,0
813124000001,"Gaines Charter Township, Precinct 1",28,0
813124000002,"Gaines Charter Township, Precinct 2",8,0
813124000003,"Gaines Charter Township, Precinct 3",17,0
813124000004,"Gaines Charter Township, Precinct 4",6,0
813124000005,"Gaines Charter Township, Precinct 5",1,0
813124000006,"Gaines Charter Township, Precinct 6",7,0
813124000007,"Gaines Charter Township, Precinct 7",21,0
813124000008,"Gaines Charter Township, Precinct 8",16,0
813124000009,"Gaines Charter Township, Precinct 9",18,0
813402000001,"Grand Rapids Charter Township, Precinct 1",19,0
813402000002,"Grand Rapids Charter Township, Precinct 2",3,0
813402000003,"Grand Rapids Charter Township, Precinct 3",9,0
813402000004,"Grand Rapids Charter Township, Precinct 4",22,0
813402000005,"Grand Rapids Charter Township, Precinct 5",7,0
813402000006,"Grand Rapids Charter Township, Precinct 6",15,0
813400001001,"Grand Rapids City, Ward 1, Precinct 1",1,0
813400001002,"Grand Rapids City, Ward 1, Precinct 2",2,0
813400001003,"Grand Rapids City, Ward 1, Precinct 3",7,0
813400001004,"Grand Rapids City, Ward 1, Precinct 4",2,0
813400001005,"Grand Rapids City, Ward 1, Precinct 5",5,0
813400001006,"Grand Rapids City, Ward 1, Precinct 6",0,0
813400001007,"Grand Rapids City, Ward 1, Precinct 7",16,0
813400001008,"Grand Rapids City, Ward 1, Precinct 8",5,0
813400001009,"Grand Rapids City, Ward 1, Precinct 9",1,0
813400001010,"Grand Rapids City, Ward 1, Precinct 10",3,0
813400001011,"Grand Rapids City, Ward 1, Precinct 11",5,0
813400001012,"Grand Rapids City, Ward 1, Precinct 12",0,0
813400001013,"Grand Rapids City, Ward 1, Precinct 13",0,0
813400001014,"Grand Rapids City, Ward 1, Precinct 14",9,0
813400001015,"Grand Rapids City, Ward 1, Precinct 15",0,0
813400001016,"Grand Rapids City, Ward 1, Precinct 16",10,0
813400001017,"Grand Rapids City, Ward 1, Precinct 17",11,0
813400001018,"Grand Rapids City, Ward 1, Precinct 18",8,0
813400001019,"Grand Rapids City, Ward 1, Precinct 19",7,1
813400001020,"Grand Rapids City, Ward 1, Precinct 20",0,0
813400002021,"Grand Rapids City, Ward 2, Precinct 21",1,0
813400002022,"Grand Rapids City, Ward 2, Precinct 22",6,0
813400002023,"Grand Rapids City, Ward 2, Precinct 23",9,0
813400002024,"Grand Rapids City, Ward 2, Precinct 24",6,0
813400002025,"Grand Rapids City, Ward 2, Precinct 25",4,0
813400002026,"Grand Rapids City, Ward 2, Precinct 26",6,0
813400002027,"Grand Rapids City, Ward 2, Precinct 27",3,0
813400002028,"Grand Rapids City, Ward 2, Precinct 28",15,0
813400002029,"Grand Rapids City, Ward 2, Precinct 29",4,0
813400002030,"Grand Rapids City, Ward 2, Precinct 30",19,0
813400002031,"Grand Rapids City, Ward 2, Precinct 31",4,0
813400002032,"Grand Rapids City, Ward 2, Precinct 32",4,0
813400002033,"Grand Rapids City, Ward 2, Precinct 33",4,0
813400002034,"Grand Rapids City, Ward 2, Precinct 34",5,0
813400002035,"Grand Rapids City, Ward 2, Precinct 35",12,0
813400002036,"Grand Rapids City, Ward 2, Precinct 36",23,0
813400002037,"Grand Rapids City, Ward 2, Precinct 37",14,0
813400002038,"Grand Rapids City, Ward 2, Precinct 38",5,1
813400002039,"Grand Rapids City, Ward 2, Precinct 39",12,0
813400002040,"Grand Rapids City, Ward 2, Precinct 40",2,0
813400003041,"Grand Rapids City, Ward 3, Precinct 41",3,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",9,0
813400003043,"Grand Rapids City, Ward 3, Precinct 43",9,0
813400003044,"Grand Rapids City, Ward 3, Precinct 44",14,0
813400003045,"Grand Rapids City, Ward 3, Precinct 45",7,0
813400003046,"Grand Rapids City, Ward 3, Precinct 46",5,0
813400003047,"Grand Rapids City, Ward 3, Precinct 47",0,0
813400003048,"Grand Rapids City, Ward 3, Precinct 48",2,0
813400003049,"Grand Rapids City, Ward 3, Precinct 49",0,0
813400003050,"Grand Rapids City, Ward 3, Precinct 50",0,0
813400003051,"Grand Rapids City, Ward 3, Precinct 51",4,0
813400003052,"Grand Rapids City, Ward 3, Precinct 52",0,1
813400003053,"Grand Rapids City, Ward 3, Precinct 53",3,0
813400003054,"Grand Rapids City, Ward 3, Precinct 54",1,0
813400003055,"Grand Rapids City, Ward 3, Precinct 55",1,0
813400003056,"Grand Rapids City, Ward 3, Precinct 56",4,0
813400003057,"Grand Rapids City, Ward 3, Precinct 57",0,0
813400003058,"Grand Rapids City, Ward 3, Precinct 58",0,0
813400003059,"Grand Rapids City, Ward 3, Precinct 59",9,0
813416000001,"Grandville City, Precinct 1",16,0
813416000002,"Grandville City, Precinct 2",18,0
813416000003,"Grandville City, Precinct 3",10,0
813416000004,"Grandville City, Precinct 4",12,0
813416000005,"Grandville City, Precinct 5",22,0
813416000006,"Grandville City, Precinct 6",14,0
813456000001,"Grattan Township, Precinct 1",37,0
813456000002,"Grattan Township, Precinct 2",27,0
814282001001,"Kentwood City, Ward 1, Precinct 1",5,0
814282001002,"Kentwood City, Ward 1, Precinct 2",18,0
814282001003,"Kentwood City, Ward 1, Precinct 3",12,0
814282001004,"Kentwood City, Ward 1, Precinct 4",3,0
814282001005,"Kentwood City, Ward 1, Precinct 5",1,0
814282001006,"Kentwood City, Ward 1, Precinct 6",14,0
814282001007,"Kentwood City, Ward 1, Precinct 7",8,0
814282001008,"Kentwood City, Ward 1, Precinct 8",17,0
814282001009,"Kentwood City, Ward 1, Precinct 9",1,0
814282001017,"Kentwood City, Ward 1, Precinct 17",10,0
814282002010,"Kentwood City, Ward 2, Precinct 10",13,0
814282002011,"Kentwood City, Ward 2, Precinct 11",10,0
814282002012,"Kentwood City, Ward 2, Precinct 12",16,0
814282002013,"Kentwood City, Ward 2, Precinct 13",9,0
814282002014,"Kentwood City, Ward 2, Precinct 14",10,0
814282002015,"Kentwood City, Ward 2, Precinct 15",4,0
814282002016,"Kentwood City, Ward 2, Precinct 16",13,0
814956000001,"Lowell Charter Township, Precinct 1",37,0
814956000002,"Lowell Charter Township, Precinct 2",19,0
814954000001,"Lowell City, Precinct 1",31,0
814954000002,"Lowell City, Precinct 2",12,0
815692000001,"Nelson Township, Precinct 1",29,0
815692000002,"Nelson Township, Precinct 2",17,0
815958000001,"Oakfield Township, Precinct 1",23,0
815958000002,"Oakfield Township, Precinct 2",26,0
815958000003,"Oakfield Township, Precinct 3",18,0
816466000001,"Plainfield Charter Township, Precinct 1",42,0
816466000002,"Plainfield Charter Township, Precinct 2",13,0
816466000003,"Plainfield Charter Township, Precinct 3",20,0
816466000004,"Plainfield Charter Township, Precinct 4",6,0
816466000006,"Plainfield Charter Township, Precinct 6",31,0
816466000007,"Plainfield Charter Township, Precinct 7",29,0
816466000008,"Plainfield Charter Township, Precinct 8",9,0
816466000009,"Plainfield Charter Township, Precinct 9",14,0
816466000010,"Plainfield Charter Township, Precinct 10",35,0
816466000011,"Plainfield Charter Township, Precinct 11",38,0
816908000001,"Rockford City, Precinct 1",22,0
816908000002,"Rockford City, Precinct 2",29,0
817446000001,"Solon Township, Precinct 1",17,0
817446000002,"Solon Township, Precinct 2",28,0
817446000003,"Solon Township, Precinct 3",18,1
817544000001,"Sparta Township, Precinct 1",28,0
817544000002,"Sparta Township, Precinct 2",36,0
817556000001,"Spencer Township, Precinct 1",28,0
817556000002,"Spencer Township, Precinct 2",27,0
818114000001,"Tyrone Township, Precinct 1",55,0
818192000001,"Vergennes Township, Precinct 1",45,0
818192000002,"Vergennes Township, Precinct 2",39,0
818296001001,"Walker City, Ward 1, Precinct 1",7,0
818296001002,"Walker City, Ward 1, Precinct 2",13,0
818296002003,"Walker City, Ward 2, Precinct 3",19,0
818296002004,"Walker City, Ward 2, Precinct 4",24,0
818296003005,"Walker City, Ward 3, Precinct 5",11,0
818296003006,"Walker City, Ward 3, Precinct 6",9,0
818894001001,"Wyoming City, Ward 1, Precinct 1",8,0
818894001002,"Wyoming City, Ward 1, Precinct 2",3,0
818894001003,"Wyoming City, Ward 1, Precinct 3",17,0
818894001004,"Wyoming City, Ward 1, Precinct 4",21,0
818894001005,"Wyoming City, Ward 1, Precinct 5",18,0
818894001006,"Wyoming City, Ward 1, Precinct 6",17,0
818894002007,"Wyoming City, Ward 2, Precinct 7",19,0
818894002008,"Wyoming City, Ward 2, Precinct 8",1,0
818894002009,"Wyoming City, Ward 2, Precinct 9",6,0
818894002010,"Wyoming City, Ward 2, Precinct 10",12,0
818894002011,"Wyoming City, Ward 2, Precinct 11",7,0
818894002012,"Wyoming City, Ward 2, Precinct 12",5,0
818894003013,"Wyoming City, Ward 3, Precinct 13",14,0
818894003014,"Wyoming City, Ward 3, Precinct 14",3,0
818894003015,"Wyoming City, Ward 3, Precinct 15",12,0
818894003016,"Wyoming City, Ward 3, Precinct 16",12,0
818894003017,"Wyoming City, Ward 3, Precinct 17",16,0
818894003018,"Wyoming City, Ward 3, Precinct 18",13,0
