id,name,Mike Rogers,Write-in
851488000001,"Chase Township, Precinct 1",160,0
851510000002,"Cherry Valley Township, Precinct 2",78,0
852280000003,"Dover Township, Precinct 3",51,0
852480000004,"Eden Township, Precinct 4",102,0
852526000005,"Elk Township, Precinct 5",191,1
852544000006,"Ellsworth Township, Precinct 6",114,0
854432000007,"Lake Township, Precinct 7",177,1
855748000008,"Newkirk Township, Precinct 8",112,1
856312000010,"Peacock Township, Precinct 10",92,0
856444000011,"Pinora Township, Precinct 11",108,1
856488000012,"Pleasant Plains Township, Precinct 12",173,3
857168000015,"Sauble Township, Precinct 15",79,0
857774000016,"Sweetwater Township, Precinct 16",47,0
858506000017,"Webber Township, Precinct 17",120,0
858904000019,"Yates Township, Precinct 19",48,0
