id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
874032000001,"City of Imlay City, Precinct 1",80,19,0
874032000002,"City of Imlay City, Precinct 2",126,41,1
874604000001,"City of Lapeer, Precinct 1",384,134,2
874604000002,"City of Lapeer, Precinct 2",255,120,4
870168000001,"Almont Township, Precinct 1",215,56,2
870168000002,"Almont Township, Precinct 2",357,79,2
870328000001,"Arcadia Township, Precinct 1",192,69,0
870404000001,"Attica Township, Precinct 1",137,41,2
870404000002,"Attica Township, Precinct 2",168,61,0
871184000001,"Burlington Township, Precinct 1",50,34,0
871190000001,"Burnside Township, Precinct 1",67,22,0
872116000001,"Deerfield Township, Precinct 1",169,75,2
872116000002,"Deerfield Township, Precinct 2",191,97,1
872316000001,"Dryden Township, Precinct 1",406,90,3
872516000001,"Elba Township, Precinct 1",104,62,0
872516000002,"Elba Township, Precinct 2",178,84,1
872516000003,"Elba Township, Precinct 3",151,56,0
873296000001,"Goodland Township, Precinct 1",103,20,0
873584000001,"Hadley Township, Precinct 1",455,165,0
874030000001,"Imlay Township, Precinct 1",152,63,2
874606000001,"Lapeer Township, Precinct 1",182,53,0
874606000002,"Lapeer Township, Precinct 2",230,91,1
875142000001,"Marathon Township, Precinct 1",317,156,1
875250000001,"Mayfield Township, Precinct 1",225,88,0
875250000002,"Mayfield Township, Precinct 2",165,74,0
875250000003,"Mayfield Township, Precinct 3",226,85,0
875336000001,"Metamora Township, Precinct 1",230,81,0
875336000002,"Metamora Township, Precinct 2",207,57,0
875809000001,"North Branch Township, Precinct 1",178,83,0
876106000001,"Oregon Township, Precinct 1",244,112,1
876106000002,"Oregon Township, Precinct 2",282,134,0
876816000001,"Rich Township, Precinct 1",58,30,0
