id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
890844000001,"Bingham Township, Precinct 1",193,37,0
891434000001,"Centerville Township, Precinct 1",110,19,1
891640000001,"Cleveland Township, Precinct 1",273,36,0
892570000001,"Elmwood Township, Precinct 1",216,49,0
892570000002,"Elmwood Township, Precinct 2",122,17,0
892600000001,"Empire Township, Precinct 1",464,35,0
893238000001,"Glen Arbor Township, Precinct 1",129,17,0
894232000001,"Kasson Township, Precinct 1",302,43,1
894670000001,"Leelanau Township, Precinct 1",276,29,0
894682000001,"Leland Township, Precinct 1",184,23,1
897450000001,"Solon Township, Precinct 1",132,14,0
897762000001,"Suttons Bay Township, Precinct 1",206,36,0
898034000004,"City of Traverse City, Precinct 4",128,11,0
