id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
890844000001,"Bingham Township, Precinct 1",48,167,69,8,1
891434000001,"Centerville Township, Precinct 1",12,46,36,1,0
891640000001,"Cleveland Township, Precinct 1",0,0,0,0,0
892570000001,"Elmwood Township, Precinct 1",40,114,76,6,0
892570000002,"Elmwood Township, Precinct 2",23,99,44,4,0
892600000001,"Empire Township, Precinct 1",0,0,0,0,0
893238000001,"Glen Arbor Township, Precinct 1",17,71,19,2,0
894232000001,"Kasson Township, Precinct 1",0,0,0,0,0
894670000001,"Leelanau Township, Precinct 1",16,68,50,11,0
894682000001,"Leland Township, Precinct 1",27,114,64,3,0
897450000001,"Solon Township, Precinct 1",11,44,30,3,0
897762000001,"Suttons Bay Township, Precinct 1",42,137,67,4,1
898034000004,"City of Traverse City, Precinct 4",0,0,0,0,0
