id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
890844000001,"Bingham Township, Precinct 1",242,83,12,0
891434000001,"Centerville Township, Precinct 1",113,44,5,0
891640000001,"Cleveland Township, Precinct 1",0,0,0,0
892570000001,"Elmwood Township, Precinct 1",324,132,25,0
892570000002,"Elmwood Township, Precinct 2",194,88,18,0
892600000001,"Empire Township, Precinct 1",0,0,0,0
893238000001,"Glen Arbor Township, Precinct 1",125,36,3,0
894232000001,"Kasson Township, Precinct 1",0,0,0,0
894670000001,"Leelanau Township, Precinct 1",263,145,16,0
894682000001,"Leland Township, Precinct 1",254,68,12,0
897450000001,"Solon Township, Precinct 1",112,60,11,0
897762000001,"Suttons Bay Township, Precinct 1",255,117,20,0
898034000004,"City of Traverse City, Precinct 4",0,0,0,0
