id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
890844000001,"Bingham Township, Precinct 1",123,94,10,0
891434000001,"Centerville Township, Precinct 1",58,63,7,0
891640000001,"Cleveland Township, Precinct 1",179,110,16,2
892570000001,"Elmwood Township, Precinct 1",121,146,4,0
892570000002,"Elmwood Township, Precinct 2",73,61,6,0
892600000001,"Empire Township, Precinct 1",288,183,18,0
893238000001,"Glen Arbor Township, Precinct 1",102,38,5,0
894232000001,"Kasson Township, Precinct 1",194,138,15,0
894670000001,"Leelanau Township, Precinct 1",153,150,3,1
894682000001,"Leland Township, Precinct 1",145,61,6,0
897450000001,"Solon Township, Precinct 1",65,75,2,0
897762000001,"Suttons Bay Township, Precinct 1",110,114,11,0
898034000004,"City of Traverse City, Precinct 4",78,49,8,0
