id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
890844000001,"Bingham Township, Precinct 1",332,21,254,1
891434000001,"Centerville Township, Precinct 1",181,13,117,0
891640000001,"Cleveland Township, Precinct 1",192,6,127,0
892570000001,"Elmwood Township, Precinct 1",483,25,278,1
892570000002,"Elmwood Township, Precinct 2",253,19,188,0
892600000001,"Empire Township, Precinct 1",279,11,228,0
893238000001,"Glen Arbor Township, Precinct 1",173,10,141,0
894232000001,"Kasson Township, Precinct 1",227,10,120,1
894670000001,"Leelanau Township, Precinct 1",464,19,286,0
894682000001,"Leland Township, Precinct 1",291,16,277,0
897450000001,"Solon Township, Precinct 1",218,5,121,0
897762000001,"Suttons Bay Township, Precinct 1",398,19,268,0
898034000004,"City of Traverse City, Precinct 4",87,10,58,0
