id,name,Mike Rogers,Write-in
890844000001,"Bingham Township, Precinct 1",280,1
891434000001,"Centerville Township, Precinct 1",86,0
891640000001,"Cleveland Township, Precinct 1",0,0
892570000001,"Elmwood Township, Precinct 1",210,0
892570000002,"Elmwood Township, Precinct 2",153,0
892600000001,"Empire Township, Precinct 1",0,0
893238000001,"Glen Arbor Township, Precinct 1",104,0
894232000001,"Kasson Township, Precinct 1",0,0
894670000001,"Leelanau Township, Precinct 1",138,1
894682000001,"Leland Township, Precinct 1",194,0
897450000001,"Solon Township, Precinct 1",84,0
897762000001,"Suttons Bay Township, Precinct 1",230,1
898034000004,"City of Traverse City, Precinct 4",0,0
