id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Deandre Barnes
910044000001,"City of Adrian, Precinct 1",,2475,459,0,0,300,18.55,4,300
910044000002,"City of Adrian, Precinct 2",,2713,330,0,0,199,12.16,2,199
910044000003,"City of Adrian, Precinct 3",,2844,370,0,0,223,13.01,0,223
910044000004,"City of Adrian, Precinct 4",,2583,668,0,0,357,25.86,2,357
910044000005,"City of Adrian, Precinct 5",,1993,408,0,0,210,20.47,0,210
910044000006,"City of Adrian, Precinct 6",,2458,509,0,0,301,20.71,1,301
913972000001,"City of Hudson, Precinct 1",,1672,317,0,0,119,18.96,1,119
915550000001,"City of Morenci, Precinct 1",,1982,327,0,0,121,16.5,0,121
910046000001,"Adrian Township, Precinct 1",,2859,923,0,0,371,32.28,0,371
910046000002,"Adrian Township, Precinct 2",,2904,706,0,0,308,24.31,3,308
910902000001,"Blissfield Township, Precinct 1",,548,155,0,0,46,28.28,1,46
910902000002,"Blissfield Township, Precinct 2",,2807,781,0,0,306,27.82,1,306
911272000001,"Cambridge Township, Precinct 1",,1951,587,0,0,196,30.09,2,196
911272000002,"Cambridge Township, Precinct 2",,1776,600,0,0,244,33.78,0,244
911272000003,"Cambridge Township, Precinct 3",,1462,487,0,0,209,33.31,0,209
912120000001,"Deerfield Township, Precinct 1",,1273,325,0,0,98,25.53,0,98
912282000001,"Dover Township, Precinct 1",,1421,274,0,0,77,19.28,1,77
912702000001,"Fairfield Township, Precinct 1",,1394,279,0,0,97,20.01,0,97
913032000001,"Franklin Township, Precinct 1",,2715,833,0,0,309,30.68,2,309
913974000001,"Hudson Township, Precinct 1",,1294,320,0,0,106,24.73,1,106
915054000001,"Madison Charter Township, Precinct 1",,2460,391,0,0,178,15.89,0,178
915054000002,"Madison Charter Township, Precinct 2",,1687,460,0,0,141,27.27,0,141
915054000003,"Madison Charter Township, Precinct 3",,1484,417,0,0,169,28.1,0,169
915282000001,"Medina Township, Precinct 1",,912,192,0,0,56,21.05,0,56
916026000001,"Ogden Township, Precinct 1",,847,186,0,0,52,21.96,0,52
916224000001,"Palmyra Township, Precinct 1",,1766,424,0,0,121,24.01,1,121
916684000001,"Raisin Charter Township, Precinct 1",,2664,696,0,0,282,26.13,2,282
916684000002,"Raisin Charter Township, Precinct 2",,2035,562,0,0,246,27.62,0,246
916684000003,"Raisin Charter Township, Precinct 3",,2225,563,0,0,266,25.3,1,266
916854000001,"Ridgeway Township, Precinct 1",,1237,344,0,0,102,27.81,0,102
916858000001,"Riga Township, Precinct 1",,1157,304,0,0,89,26.27,1,89
916934000001,"Rollin Township, Precinct 1",,2925,825,0,0,277,28.21,0,277
916936000001,"Rome Township, Precinct 1",,1607,362,0,0,100,22.53,0,100
917244000001,"Seneca Township, Precinct 1",,921,168,0,0,42,18.24,1,42
918864000001,"Woodstock Township, Precinct 1",,3311,869,0,0,300,26.25,1,300
