id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Mike Rogers
910044000001,"City of Adrian, Precinct 1",,2475,459,0,0,85,18.55,1,85
910044000002,"City of Adrian, Precinct 2",,2713,330,0,0,77,12.16,0,77
910044000003,"City of Adrian, Precinct 3",,2844,370,0,0,96,13.01,1,96
910044000004,"City of Adrian, Precinct 4",,2583,668,0,0,205,25.86,1,205
910044000005,"City of Adrian, Precinct 5",,1993,408,0,0,145,20.47,1,145
910044000006,"City of Adrian, Precinct 6",,2458,509,0,0,152,20.71,2,152
913972000001,"City of Hudson, Precinct 1",,1672,317,0,0,156,18.96,0,156
915550000001,"City of Morenci, Precinct 1",,1982,327,0,0,171,16.5,0,171
917912001001,"City of Tecumseh, Precinct 1",,3927,1272,0,0,414,32.39,2,414
917912001002,"City of Tecumseh, Precinct 2",,3667,1224,0,0,432,33.38,1,432
910046000001,"Adrian Township, Precinct 1",,2859,923,0,0,421,32.28,1,421
910046000002,"Adrian Township, Precinct 2",,2904,706,0,0,309,24.31,0,309
910902000001,"Blissfield Township, Precinct 1",,548,155,0,0,90,28.28,1,90
910902000002,"Blissfield Township, Precinct 2",,2807,781,0,0,371,27.82,3,371
911272000001,"Cambridge Township, Precinct 1",,1951,587,0,0,313,30.09,0,313
911272000002,"Cambridge Township, Precinct 2",,1776,600,0,0,278,33.78,0,278
911272000003,"Cambridge Township, Precinct 3",,1462,487,0,0,215,33.31,1,215
911650000001,"Clinton Township, Precinct 1",,3139,971,0,0,389,30.93,1,389
912120000001,"Deerfield Township, Precinct 1",,1273,325,0,0,162,25.53,1,162
912282000001,"Dover Township, Precinct 1",,1421,274,0,0,161,19.28,0,161
912702000001,"Fairfield Township, Precinct 1",,1394,279,0,0,160,20.01,0,160
913032000001,"Franklin Township, Precinct 1",,2715,833,0,0,410,30.68,1,410
913974000001,"Hudson Township, Precinct 1",,1294,320,0,0,178,24.73,0,178
915052000001,"Macon Township, Precinct 1",,1125,370,0,0,198,32.89,0,198
915054000001,"Madison Charter Township, Precinct 1",,2460,391,0,0,153,15.89,0,153
915054000002,"Madison Charter Township, Precinct 2",,1687,460,0,0,256,27.27,0,256
915054000003,"Madison Charter Township, Precinct 3",,1484,417,0,0,198,28.1,1,198
915282000001,"Medina Township, Precinct 1",,912,192,0,0,109,21.05,0,109
916026000001,"Ogden Township, Precinct 1",,847,186,0,0,105,21.96,0,105
916224000001,"Palmyra Township, Precinct 1",,1766,424,0,0,262,24.01,0,262
916684000001,"Raisin Charter Township, Precinct 1",,2664,696,0,0,323,26.13,2,323
916684000002,"Raisin Charter Township, Precinct 2",,2035,562,0,0,232,27.62,1,232
916684000003,"Raisin Charter Township, Precinct 3",,2225,563,0,0,218,25.3,0,218
916854000001,"Ridgeway Township, Precinct 1",,1237,344,0,0,201,27.81,2,201
916858000001,"Riga Township, Precinct 1",,1157,304,0,0,168,26.27,0,168
916934000001,"Rollin Township, Precinct 1",,2925,825,0,0,413,28.21,1,413
916936000001,"Rome Township, Precinct 1",,1607,362,0,0,236,22.53,0,236
917244000001,"Seneca Township, Precinct 1",,921,168,0,0,96,18.24,1,96
917914000001,"Tecumseh Township, Precinct 1",,1811,499,0,0,204,27.55,0,204
918864000001,"Woodstock Township, Precinct 1",,3311,869,0,0,438,26.25,0,438
