name,id,Jocelyn Benson,Christopher Robert Swanson,Undervotes,Overvotes,Invalid Votes,Unresolved write-in votes,Precinct Voting Ballots Cast
"City of Brighton, Precinct 1",931062000001,217,45,13,0,11,0,175
"City of Brighton, Precinct 2",931062000002,402,75,10,0,15,0,267
"City of Brighton, Precinct 3",931062000003,693,100,20,1,28,0,373
"City of Howell, Precinct 1",933954000001,715,162,17,0,32,0,569
"City of Howell, Precinct 2",933954000002,401,109,11,0,26,0,379
"Brighton Charter Township, Precinct 1",931064000001,291,58,14,0,14,0,257
"Brighton Charter Township, Precinct 2",931064000002,189,48,6,0,11,0,183
"Brighton Charter Township, Precinct 3",931064000003,476,105,12,0,23,0,359
"Brighton Charter Township, Precinct 4",931064000004,557,97,15,1,14,0,412
"Brighton Charter Township, Precinct 5",931064000005,393,66,6,0,14,0,347
"Brighton Charter Township, Precinct 6",931064000006,430,53,7,0,12,0,359
"Brighton Charter Township, Precinct 7",931064000007,312,49,5,0,11,0,239
"Cohoctah Township, Precinct 1",931692000001,244,79,9,0,33,0,419
"Conway Township, Precinct 1",931792000001,219,63,4,0,14,0,393
"Deerfield Township, Precinct 1",932122000001,366,130,10,0,20,0,574
"Genoa Charter Township, Precinct 1",933186000001,261,70,6,0,18,0,258
"Genoa Charter Township, Precinct 2",933186000002,463,100,5,0,21,0,359
"Genoa Charter Township, Precinct 3",933186000003,479,97,6,0,33,0,460
"Genoa Charter Township, Precinct 4",933186000004,556,69,8,0,12,0,361
"Genoa Charter Township, Precinct 5",933186000005,629,96,19,0,26,0,521
"Genoa Charter Township, Precinct 6",933186000006,288,36,15,0,13,0,261
"Green Oak Charter Township, Precinct 1",933506000001,532,108,11,0,17,0,390
"Green Oak Charter Township, Precinct 2",933506000002,435,91,14,0,24,0,359
"Green Oak Charter Township, Precinct 3",933506000003,277,70,13,0,19,0,244
"Green Oak Charter Township, Precinct 4",933506000004,334,70,9,0,15,0,304
"Green Oak Charter Township, Precinct 5",933506000005,297,60,5,0,16,0,237
"Green Oak Charter Township, Precinct 6",933506000006,424,79,9,0,23,0,304
"Green Oak Charter Township, Precinct 7",933506000007,275,45,11,1,11,0,218
"Green Oak Charter Township, Precinct 8",933506000008,205,40,4,0,7,0,169
"Hamburg Township, Precinct 1",933610000001,578,96,20,0,1,0,396
"Hamburg Township, Precinct 2",933610000002,458,103,19,1,1,0,457
"Hamburg Township, Precinct 3",933610000003,490,119,23,0,0,0,364
"Hamburg Township, Precinct 4",933610000004,513,79,20,0,0,0,373
"Hamburg Township, Precinct 5",933610000005,388,73,17,0,3,0,281
"Hamburg Township, Precinct 6",933610000006,592,82,17,0,3,0,402
"Hamburg Township, Precinct 7",933610000007,607,131,26,0,7,0,547
"Handy Township, Precinct 1",933634000001,188,52,5,0,17,0,245
"Handy Township, Precinct 2",933634000002,187,50,6,0,15,0,216
"Handy Township, Precinct 3",933634000003,242,99,7,0,12,0,373
"Hartland Township, Precinct 1",933704000001,359,107,11,2,16,0,361
"Hartland Township, Precinct 2",933704000002,364,64,15,0,18,0,338
"Hartland Township, Precinct 3",933704000003,413,114,14,0,18,0,396
"Hartland Township, Precinct 4",933704000004,343,82,14,0,15,0,367
"Hartland Township, Precinct 5",933704000005,281,63,8,0,11,0,258
"Howell Township, Precinct 1",933956000001,345,73,3,0,28,0,348
"Howell Township, Precinct 2",933956000002,416,117,13,0,27,0,478
"Iosco Township, Precinct 1",934090000001,136,27,1,0,2,0,211
"Iosco Township, Precinct 2",934090000002,164,56,5,0,4,0,261
"Marion Township, Precinct 1",935164000001,286,85,9,0,17,0,263
"Marion Township, Precinct 2",935164000002,411,90,6,0,13,0,377
"Marion Township, Precinct 3",935164000003,299,66,3,0,13,0,280
"Marion Township, Precinct 4",935164000004,316,71,9,0,6,0,335
"Oceola Township, Precinct 1",936012000001,321,54,7,1,26,0,309
"Oceola Township, Precinct 2",936012000002,390,82,7,0,26,0,296
"Oceola Township, Precinct 3",936012000003,151,30,6,0,6,0,158
"Oceola Township, Precinct 4",936012000004,238,60,4,0,9,0,272
"Oceola Township, Precinct 5",936012000005,287,53,5,0,16,0,199
"Oceola Township, Precinct 6",936012000006,201,63,9,0,10,0,210
"Putnam Township, Precinct 1",936654000004,559,109,25,0,13,0,392
"Putnam Township, Precinct 2",936654000002,573,131,11,0,17,0,484
"Tyrone Township, Precinct 1",938116000001,294,147,2,0,18,0,296
"Tyrone Township, Precinct 2",938116000002,322,173,7,0,14,0,342
"Tyrone Township, Precinct 3",938116000003,256,141,3,0,21,0,319
"Tyrone Township, Precinct 4",938116000004,251,91,6,0,7,0,315
"Unadilla Township, Precinct 1",938124000001,358,92,8,1,26,0,546
